season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2024,NBA,Dallas Mavericks,DAL,TRUE,82,19705,3522,7413,0.475,1075,2921,0.368,2447,4492,0.545,1364,1772,0.77,896,2800,3696,2258,603,331,1127,1667,9483
2024,NBA,Denver Nuggets,DEN,TRUE,82,19705,3332,7210,0.462,919,2587,0.355,2413,4623,0.522,1404,1819,0.772,894,2573,3467,2108,578,394,1014,1467,8987
2024,NBA,Detroit Pistons,DET,FALSE,82,19755,3578,7301,0.49,991,2682,0.37,2587,4619,0.56,1610,2013,0.8,791,2745,3536,2216,727,490,1019,1457,9757
2024,NBA,Golden State Warriors,GSW,FALSE,82,19830,3453,7415,0.466,1088,3030,0.359,2365,4385,0.539,1449,1840,0.788,892,2627,3519,2187,633,407,1067,1471,9443
2024,NBA,Houston Rockets,HOU,FALSE,82,19855,3344,7226,0.463,1012,2904,0.348,2332,4322,0.54,1583,2065,0.767,878,2803,3681,1997,597,482,1132,1609,9283
2024,NBA,Indiana Pacers,IND,TRUE,82,19705,3653,7361,0.496,877,2404,0.365,2776,4957,0.56,1677,2130,0.787,901,2654,3555,2020,543,440,1142,1501,9860
2024,NBA,Los Angeles Clippers,LAC,TRUE,82,19705,3413,7288,0.468,1054,2902,0.363,2359,4386,0.538,1332,1718,0.775,909,2551,3460,2165,597,384,1069,1537,9212
2024,NBA,Los Angeles Lakers,LAL,TRUE,82,19855,3643,7687,0.474,1170,3109,0.376,2473,4578,0.54,1174,1476,0.795,893,2719,3612,2316,673,390,1100,1619,9630
2024,NBA,Memphis Grizzlies,MEM,FALSE,82,19780,3381,7128,0.474,1098,2905,0.378,2283,4223,0.541,1391,1785,0.779,874,2867,3741,2179,668,536,1239,1539,9251
2024,NBA,Miami Heat,MIA,TRUE,82,19755,3297,7056,0.467,1064,3018,0.353,2233,4038,0.553,1230,1577,0.78,757,2750,3507,2173,543,388,1126,1550,8888
2024,NBA,Milwaukee Bucks,MIL,TRUE,82,19805,3543,7537,0.47,1032,2897,0.356,2511,4640,0.541,1423,1764,0.807,843,2765,3608,2169,580,347,986,1576,9541
2024,NBA,Minnesota Timberwolves,MIN,TRUE,82,19805,3198,7114,0.45,937,2645,0.354,2261,4469,0.506,1402,1794,0.781,843,2555,3398,2008,616,371,1166,1630,8735
2024,NBA,New Orleans Pelicans,NOP,TRUE,82,19705,3317,7155,0.464,1109,3176,0.349,2208,3979,0.555,1331,1699,0.783,826,2644,3470,2196,536,424,1168,1507,9074
2024,NBA,New York Knicks,NYK,TRUE,82,19730,3304,7026,0.47,1028,2813,0.365,2276,4213,0.54,1237,1620,0.764,839,2492,3331,2098,552,431,1082,1565,8873
2024,NBA,Oklahoma City Thunder,OKC,TRUE,82,19805,3328,7322,0.455,1101,3052,0.361,2227,4270,0.522,1482,1878,0.789,968,2695,3663,2207,582,419,1287,1548,9239
2024,NBA,Orlando Magic,ORL,TRUE,82,19780,3264,6884,0.474,945,2636,0.358,2319,4248,0.546,1419,1819,0.78,731,2537,3268,1958,666,379,1234,1710,8892
2024,NBA,Philadelphia 76ers,PHI,TRUE,82,19780,3322,7098,0.468,979,2765,0.354,2343,4333,0.541,1524,1926,0.791,903,2742,3645,2143,506,503,1201,1519,9147
2024,NBA,Phoenix Suns,PHO,TRUE,82,19780,3444,7428,0.464,1074,2949,0.364,2370,4479,0.529,1319,1705,0.774,898,2490,3388,2155,685,372,1043,1612,9281
2024,NBA,Portland Trail Blazers,POR,FALSE,82,19880,3485,7104,0.491,957,2730,0.351,2528,4374,0.578,1535,1938,0.792,868,2726,3594,2225,729,528,1173,1467,9462
2024,NBA,Sacramento Kings,SAC,FALSE,82,19855,3414,7114,0.48,1074,2775,0.387,2340,4339,0.539,1513,1892,0.8,747,2740,3487,2208,606,370,1139,1504,9415
2024,NBA,San Antonio Spurs,SAS,FALSE,82,19830,3684,7570,0.487,1040,2791,0.373,2644,4779,0.553,1316,1679,0.784,860,2857,3717,2296,733,380,1098,1470,9724
2024,NBA,Toronto Raptors,TOR,FALSE,82,19805,3669,7476,0.491,1120,2979,0.376,2549,4497,0.567,1283,1627,0.789,919,2785,3704,2346,595,474,1137,1487,9741
2024,NBA,Utah Jazz,UTA,FALSE,82,19805,3654,7509,0.487,1213,3070,0.395,2441,4439,0.55,1364,1768,0.771,900,2564,3464,2442,704,528,1009,1577,9885
2024,NBA,Washington Wizards,WAS,FALSE,82,19730,3777,7618,0.496,1007,2782,0.362,2770,4836,0.573,1528,1966,0.777,993,3020,4013,2382,655,496,1152,1473,10089
2024,NBA,League Average,NA,FALSE,82,19792,3458,7290,0.474,1053,2879,0.366,2405,4412,0.545,1397,1781,0.784,865,2705,3570,2187,613,422,1116,1536,9365
2023,NBA,Atlanta Hawks,ATL,TRUE,82,19855,3592,7398,0.486,979,2748,0.356,2613,4650,0.562,1524,1899,0.803,866,2751,3617,2131,616,414,1162,1612,9687
2023,NBA,Boston Celtics,BOS,TRUE,82,19980,3425,7394,0.463,954,2763,0.345,2471,4631,0.534,1332,1733,0.769,799,2810,3609,1895,544,318,1040,1568,9136
2023,NBA,Brooklyn Nets,BRK,TRUE,82,19730,3360,7257,0.463,968,2640,0.367,2392,4617,0.518,1537,2003,0.767,943,2758,3701,1916,575,317,1126,1517,9225
2023,NBA,Chicago Bulls,CHI,FALSE,82,19905,3339,7142,0.468,1086,3042,0.357,2253,4100,0.55,1406,1806,0.779,791,2763,3554,2131,546,389,1234,1537,9170
2023,NBA,Charlotte Hornets,CHO,FALSE,82,19830,3522,7391,0.477,1004,2812,0.357,2518,4579,0.55,1562,1965,0.795,895,2892,3787,2127,573,471,1177,1667,9610
2023,NBA,Cleveland Cavaliers,CLE,TRUE,82,19880,3201,6847,0.468,924,2508,0.368,2277,4339,0.525,1438,1838,0.782,801,2580,3381,1888,575,360,1284,1675,8764
2023,NBA,Dallas Mavericks,DAL,FALSE,82,19930,3425,7065,0.485,913,2596,0.352,2512,4469,0.562,1597,2046,0.781,830,2838,3668,2044,522,312,1075,1789,9360
2023,NBA,Denver Nuggets,DEN,TRUE,82,19755,3423,7166,0.478,933,2711,0.344,2490,4455,0.559,1443,1861,0.775,832,2516,3348,2105,646,344,1105,1601,9222
2023,NBA,Detroit Pistons,DET,FALSE,82,19805,3533,7222,0.489,984,2732,0.36,2549,4490,0.568,1669,2149,0.777,901,2767,3668,2112,631,453,1108,1718,9719
2023,NBA,Golden State Warriors,GSW,TRUE,82,19830,3478,7423,0.469,1060,2915,0.364,2418,4508,0.536,1589,2067,0.769,880,2673,3553,2110,646,326,1172,1510,9605
2023,NBA,Houston Rockets,HOU,FALSE,82,19755,3480,7226,0.482,1189,3183,0.374,2291,4043,0.567,1576,1986,0.794,861,2543,3404,2143,718,509,1079,1692,9725
2023,NBA,Indiana Pacers,IND,FALSE,82,19755,3549,7323,0.485,1019,2733,0.373,2530,4590,0.551,1679,2100,0.8,993,2721,3714,2163,650,438,1235,1660,9796
2023,NBA,Los Angeles Clippers,LAC,TRUE,82,19830,3430,7243,0.474,1000,2738,0.365,2430,4505,0.539,1413,1832,0.771,838,2699,3537,2048,640,343,1065,1607,9273
2023,NBA,Los Angeles Lakers,LAL,TRUE,82,19880,3607,7698,0.469,1028,2991,0.344,2579,4707,0.548,1319,1706,0.773,908,2770,3678,2104,624,416,1035,1760,9561
2023,NBA,Memphis Grizzlies,MEM,TRUE,82,19780,3340,7365,0.453,1065,2998,0.355,2275,4367,0.521,1519,1931,0.787,902,2738,3640,2167,559,427,1240,1644,9264
2023,NBA,Miami Heat,MIA,TRUE,82,19805,3288,6822,0.482,1077,2933,0.367,2211,3889,0.569,1350,1728,0.781,729,2702,3431,2097,571,309,1288,1643,9003
2023,NBA,Milwaukee Bucks,MIL,TRUE,82,19830,3483,7644,0.456,991,2799,0.354,2492,4845,0.514,1334,1719,0.776,879,2744,3623,1963,578,323,970,1557,9291
2023,NBA,Minnesota Timberwolves,MIN,TRUE,82,19830,3428,7277,0.471,1007,2728,0.369,2421,4549,0.532,1634,2133,0.766,928,2734,3662,2051,674,336,1262,1654,9497
2023,NBA,New Orleans Pelicans,NOP,FALSE,82,19855,3357,7105,0.472,1002,2953,0.339,2355,4152,0.567,1507,1935,0.779,792,2634,3426,2044,600,386,1228,1673,9223
2023,NBA,New York Knicks,NYK,TRUE,82,19955,3343,7229,0.462,1068,2992,0.357,2275,4237,0.537,1520,1943,0.782,830,2617,3447,2062,496,370,1044,1694,9274
2023,NBA,Oklahoma City Thunder,OKC,FALSE,82,19855,3437,7252,0.474,1059,2955,0.358,2378,4297,0.553,1611,2090,0.771,982,2841,3823,2126,572,454,1375,1675,9544
2023,NBA,Orlando Magic,ORL,FALSE,82,19780,3389,7127,0.476,1064,3030,0.351,2325,4097,0.567,1504,1890,0.796,779,2669,3448,2122,634,415,1204,1681,9346
2023,NBA,Philadelphia 76ers,PHI,TRUE,82,19880,3312,7005,0.473,952,2735,0.348,2360,4270,0.553,1518,1943,0.781,782,2593,3375,1986,540,380,1171,1607,9094
2023,NBA,Phoenix Suns,PHO,TRUE,82,19780,3280,7044,0.466,938,2628,0.357,2342,4416,0.53,1651,2101,0.786,840,2676,3516,1915,588,327,1183,1629,9149
2023,NBA,Portland Trail Blazers,POR,FALSE,82,19730,3522,7176,0.491,1029,2717,0.379,2493,4459,0.559,1555,1977,0.787,857,2686,3543,2214,640,352,1108,1679,9628
2023,NBA,Sacramento Kings,SAC,TRUE,82,19830,3589,7288,0.492,1022,2740,0.373,2567,4548,0.564,1481,1882,0.787,795,2665,3460,2187,598,341,1165,1711,9681
2023,NBA,San Antonio Spurs,SAS,FALSE,82,19855,3780,7460,0.507,1036,2651,0.391,2744,4809,0.571,1496,1942,0.77,877,2811,3688,2198,665,431,1135,1516,10092
2023,NBA,Toronto Raptors,TOR,FALSE,82,19805,3312,6752,0.491,1001,2676,0.374,2311,4076,0.567,1508,1893,0.797,757,2709,3466,2148,492,376,1367,1604,9133
2023,NBA,Utah Jazz,UTA,FALSE,82,19805,3555,7515,0.473,1023,2830,0.361,2532,4685,0.54,1544,1989,0.776,919,2644,3563,2047,639,405,1030,1679,9677
2023,NBA,Washington Wizards,WAS,FALSE,82,19755,3481,7363,0.473,984,2688,0.366,2497,4675,0.534,1432,1794,0.798,883,2645,3528,2035,581,406,1008,1590,9378
2023,NBA,League Average,NA,FALSE,82,19828,3442,7241,0.475,1012,2806,0.361,2430,4435,0.548,1508,1929,0.782,856,2706,3562,2076,598,382,1156,1638,9404
2022,NBA,Atlanta Hawks,ATL,TRUE,82,19705,3435,7294,0.471,1051,2888,0.364,2384,4406,0.541,1294,1634,0.792,838,2758,3596,2085,576,367,1046,1668,9215
2022,NBA,Boston Celtics,BOS,TRUE,82,19905,3137,7221,0.434,969,2860,0.339,2168,4361,0.497,1324,1692,0.783,858,2727,3585,1773,618,376,1133,1592,8567
2022,NBA,Brooklyn Nets,BRK,TRUE,82,19755,3340,7395,0.452,1026,2974,0.345,2314,4421,0.523,1488,1888,0.788,926,2690,3616,1954,650,403,1088,1616,9194
2022,NBA,Chicago Bulls,CHI,TRUE,82,19730,3397,7170,0.474,960,2620,0.366,2437,4550,0.536,1430,1799,0.795,764,2777,3541,2049,584,410,1071,1489,9184
2022,NBA,Charlotte Hornets,CHO,FALSE,82,19880,3444,7388,0.466,1148,3170,0.362,2296,4218,0.544,1385,1815,0.763,931,2920,3851,2169,617,377,1229,1609,9421
2022,NBA,Cleveland Cavaliers,CLE,FALSE,82,19730,3236,7152,0.452,960,2721,0.353,2276,4431,0.514,1233,1592,0.774,858,2657,3515,1978,691,380,1101,1638,8665
2022,NBA,Dallas Mavericks,DAL,TRUE,82,19755,3198,7001,0.457,895,2635,0.34,2303,4366,0.527,1296,1689,0.767,780,2799,3579,1925,575,300,1073,1645,8587
2022,NBA,Denver Nuggets,DEN,TRUE,82,19805,3367,7168,0.47,971,2806,0.346,2396,4362,0.549,1349,1783,0.757,795,2680,3475,2082,649,392,1051,1632,9054
2022,NBA,Detroit Pistons,DET,FALSE,82,19780,3333,7051,0.473,966,2668,0.362,2367,4383,0.54,1597,2056,0.777,847,2946,3793,2061,606,427,1197,1625,9229
2022,NBA,Golden State Warriors,GSW,TRUE,82,19730,3111,7098,0.438,1000,2948,0.339,2111,4150,0.509,1426,1880,0.759,792,2705,3497,1875,649,317,1189,1474,8648
2022,NBA,Houston Rockets,HOU,FALSE,82,19755,3562,7374,0.483,1048,2966,0.353,2514,4408,0.57,1520,1943,0.782,915,2831,3746,2103,776,474,1155,1812,9692
2022,NBA,Indiana Pacers,IND,FALSE,82,19880,3485,7212,0.483,985,2645,0.372,2500,4567,0.547,1470,1845,0.797,833,2702,3535,2058,664,401,1087,1575,9425
2022,NBA,Los Angeles Clippers,LAC,FALSE,82,19780,3343,7432,0.45,958,2780,0.345,2385,4652,0.513,1244,1606,0.775,984,2881,3865,1975,631,339,1113,1515,8888
2022,NBA,Los Angeles Lakers,LAL,FALSE,82,19980,3491,7424,0.47,1032,2935,0.352,2459,4489,0.548,1428,1911,0.747,902,2920,3822,2154,684,338,1152,1647,9442
2022,NBA,Memphis Grizzlies,MEM,TRUE,82,19780,3305,7269,0.455,987,2828,0.349,2318,4441,0.522,1417,1837,0.771,821,2706,3527,2047,588,496,1235,1625,9014
2022,NBA,Miami Heat,MIA,TRUE,82,19855,3078,6886,0.447,1064,3138,0.339,2014,3748,0.537,1437,1845,0.779,783,2634,3417,1908,608,330,1228,1686,8657
2022,NBA,Milwaukee Bucks,MIL,TRUE,82,19755,3391,7431,0.456,1186,3328,0.356,2205,4103,0.537,1227,1634,0.751,812,2805,3617,2122,606,357,1070,1612,9195
2022,NBA,Minnesota Timberwolves,MIN,TRUE,82,19780,3298,7163,0.46,1071,3062,0.35,2227,4101,0.543,1624,2081,0.78,904,2858,3762,2149,593,397,1339,1715,9291
2022,NBA,New Orleans Pelicans,NOP,TRUE,82,19755,3301,7009,0.471,1064,2913,0.365,2237,4096,0.546,1377,1753,0.786,759,2666,3425,2039,605,391,1164,1681,9043
2022,NBA,New York Knicks,NYK,FALSE,82,19780,3154,7050,0.447,1038,3032,0.342,2116,4018,0.527,1395,1826,0.764,766,2812,3578,1982,572,379,1039,1671,8741
2022,NBA,Oklahoma City Thunder,OKC,FALSE,82,19805,3398,7421,0.458,1118,3171,0.353,2280,4250,0.536,1256,1629,0.771,906,3060,3966,2142,695,490,1086,1463,9170
2022,NBA,Orlando Magic,ORL,FALSE,82,19780,3346,7300,0.458,1082,2979,0.363,2264,4321,0.524,1429,1851,0.772,852,3014,3866,2034,655,428,1079,1501,9203
2022,NBA,Philadelphia 76ers,PHI,TRUE,82,19805,3253,7097,0.458,931,2692,0.346,2322,4405,0.527,1364,1773,0.769,838,2784,3622,1932,542,379,1087,1594,8801
2022,NBA,Phoenix Suns,PHO,TRUE,82,19730,3216,7243,0.444,953,2805,0.34,2263,4438,0.51,1416,1861,0.761,863,2783,3646,1875,614,327,1206,1553,8801
2022,NBA,Portland Trail Blazers,POR,FALSE,82,19730,3373,7045,0.479,1129,3046,0.371,2244,3999,0.561,1564,2014,0.777,800,2868,3668,2184,672,409,1150,1589,9439
2022,NBA,Sacramento Kings,SAC,FALSE,82,19805,3561,7429,0.479,1065,2864,0.372,2496,4565,0.547,1306,1682,0.776,866,2891,3757,2077,668,395,1106,1665,9493
2022,NBA,San Antonio Spurs,SAS,FALSE,82,19805,3482,7475,0.466,992,2756,0.36,2490,4719,0.528,1313,1711,0.767,933,2902,3835,1970,601,403,1131,1553,9269
2022,NBA,Toronto Raptors,TOR,TRUE,82,19855,3197,6919,0.462,1014,2861,0.354,2183,4058,0.538,1374,1742,0.789,847,2764,3611,2076,549,416,1298,1563,8782
2022,NBA,Utah Jazz,UTA,TRUE,82,19730,3314,7318,0.453,994,2837,0.35,2320,4481,0.518,1199,1581,0.758,809,2599,3408,1917,636,352,982,1664,8821
2022,NBA,Washington Wizards,WAS,FALSE,82,19830,3384,7287,0.464,941,2607,0.361,2443,4680,0.522,1475,1828,0.807,840,2786,3626,1941,598,344,972,1634,9184
2022,NBA,League Average,NA,FALSE,82,19792,3331,7224,0.461,1020,2885,0.354,2311,4340,0.533,1389,1793,0.775,847,2798,3645,2021,626,386,1129,1610,9071
2021,NBA,Atlanta Hawks,ATL,TRUE,72,17405,2971,6418,0.463,858,2460,0.349,2113,3958,0.534,1219,1519,0.803,719,2352,3071,1754,557,363,886,1422,8019
2021,NBA,Boston Celtics,BOS,TRUE,72,17380,2875,6191,0.464,925,2473,0.374,1950,3718,0.524,1329,1692,0.785,677,2382,3059,1732,531,334,1015,1389,8004
2021,NBA,Brooklyn Nets,BRK,TRUE,72,17405,3017,6573,0.459,951,2607,0.365,2066,3966,0.521,1228,1584,0.775,753,2348,3101,1729,550,330,908,1361,8213
2021,NBA,Chicago Bulls,CHI,FALSE,72,17380,2983,6313,0.473,829,2328,0.356,2154,3985,0.541,1238,1600,0.774,624,2410,3034,1737,614,364,917,1277,8033
2021,NBA,Charlotte Hornets,CHO,FALSE,72,17355,2972,6346,0.468,1042,2847,0.366,1930,3499,0.552,1034,1387,0.745,766,2487,3253,1951,582,347,1062,1340,8020
2021,NBA,Cleveland Cavaliers,CLE,FALSE,72,17430,3024,6245,0.484,893,2334,0.383,2131,3911,0.545,1143,1468,0.779,712,2437,3149,1828,613,425,1033,1451,8084
2021,NBA,Dallas Mavericks,DAL,TRUE,72,17305,2885,6269,0.46,925,2537,0.365,1960,3732,0.525,1238,1621,0.764,704,2460,3164,1631,527,264,908,1446,7933
2021,NBA,Denver Nuggets,DEN,TRUE,72,17480,2883,6149,0.469,934,2570,0.363,1949,3579,0.545,1229,1589,0.773,652,2314,2966,1864,540,325,1014,1379,7929
2021,NBA,Detroit Pistons,DET,FALSE,72,17430,2980,6260,0.476,817,2260,0.362,2163,4000,0.541,1221,1607,0.76,717,2475,3192,1785,578,419,1004,1469,7998
2021,NBA,Golden State Warriors,GSW,FALSE,72,17305,2897,6408,0.452,891,2481,0.359,2006,3927,0.511,1426,1834,0.778,769,2635,3404,1711,567,312,1083,1406,8111
2021,NBA,Houston Rockets,HOU,FALSE,72,17305,3075,6411,0.48,966,2532,0.382,2109,3879,0.544,1286,1642,0.783,713,2713,3426,1855,611,378,1055,1388,8402
2021,NBA,Indiana Pacers,IND,FALSE,72,17455,3076,6576,0.468,828,2265,0.366,2248,4311,0.521,1325,1695,0.782,813,2555,3368,1877,535,381,1066,1306,8305
2021,NBA,Los Angeles Clippers,LAC,TRUE,72,17280,2887,6223,0.464,833,2341,0.356,2054,3882,0.529,1157,1489,0.777,659,2307,2966,1650,510,304,925,1303,7764
2021,NBA,Los Angeles Lakers,LAL,TRUE,72,17455,2862,6221,0.46,818,2321,0.352,2044,3900,0.524,1144,1475,0.776,634,2392,3026,1776,593,327,1095,1530,7686
2021,NBA,Memphis Grizzlies,MEM,TRUE,72,17405,2953,6387,0.462,926,2526,0.367,2027,3861,0.525,1251,1588,0.788,704,2515,3219,1827,552,377,1068,1318,8083
2021,NBA,Miami Heat,MIA,TRUE,72,17380,2815,6137,0.459,1027,2814,0.365,1788,3323,0.538,1122,1435,0.782,684,2404,3088,1857,541,287,1085,1414,7779
2021,NBA,Milwaukee Bucks,MIL,TRUE,72,17330,3052,6688,0.456,1068,2778,0.384,1984,3910,0.507,1053,1350,0.78,693,2435,3128,1804,507,348,947,1320,8225
2021,NBA,Minnesota Timberwolves,MIN,FALSE,72,17405,3098,6426,0.482,945,2412,0.392,2153,4014,0.536,1332,1695,0.786,718,2579,3297,1932,550,398,1102,1432,8473
2021,NBA,New Orleans Pelicans,NOP,FALSE,72,17430,3016,6431,0.469,1043,2745,0.38,1973,3686,0.535,1197,1516,0.79,644,2366,3010,1866,555,426,961,1534,8272
2021,NBA,New York Knicks,NYK,TRUE,72,17430,2730,6209,0.44,864,2565,0.337,1866,3644,0.512,1216,1598,0.761,695,2478,3173,1696,472,391,918,1286,7540
2021,NBA,Oklahoma City Thunder,OKC,FALSE,72,17355,3123,6603,0.473,978,2688,0.364,2145,3915,0.548,1102,1426,0.773,729,2663,3392,1856,647,378,942,1336,8326
