season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,e_fg_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
2025,NBA,Paolo Banchero,banchpa01,22,ORL,PF,46,46,1582,13,28.8,0.452,2.7,8.6,0.32,10.3,20.2,0.509,0.5,8.8,12.2,0.727,1.6,9.3,10.9,6.9,1.1,0.9,4.3,3.1,37.6,109,110
2025,NBA,Desmond Bane,banede01,26,MEM,SG,69,68,2205,10.4,21.5,0.484,3.5,8.8,0.392,6.9,12.6,0.548,0.565,3.7,4.2,0.894,1.3,7.5,8.8,7.8,1.7,0.6,3.6,3.5,28,119,113
2025,NBA,Dalano Banton,bantoda01,25,POR,PG,67,7,1120,8.6,22,0.391,3.1,9.6,0.324,5.5,12.4,0.442,0.462,3.9,5.4,0.728,1.3,4.6,5.9,6.9,1.9,1.5,3.7,2.5,24.3,103,115
2025,NBA,Dominick Barlow,barlodo01,21,ATL,SF,35,4,375,7.5,14.1,0.531,0.9,3.4,0.259,6.6,10.7,0.616,0.562,2.6,4.1,0.636,4.4,6.2,10.6,2.4,1.1,2,0.6,5.9,18.5,129,116
2025,NBA,Harrison Barnes,barneha02,32,SAS,PF,82,82,2230,7.5,14.8,0.508,3.4,7.8,0.433,4.1,7,0.591,0.622,3.5,4.3,0.809,2.1,4.6,6.7,2.9,0.8,0.3,1.1,1.6,21.9,132,122
2025,NBA,Scottie Barnes,barnesc01,23,TOR,PF,65,65,2134,10.7,24,0.446,1.7,6.3,0.271,9,17.7,0.508,0.482,5.1,6.8,0.755,2.5,8.9,11.3,8.5,2.1,1.4,4.2,2.5,28.2,107,112
2025,NBA,RJ Barrett,barrerj01,24,TOR,SF,58,58,1869,11.8,25.3,0.468,2.8,7.9,0.35,9.1,17.4,0.522,0.523,5,8,0.63,1.6,7.9,9.4,8.1,1.2,0.4,4.2,3.5,31.5,108,116
2025,NBA,Charles Bassey,bassech01,24,SAS,C,36,1,376,8.7,15,0.581,0,0,NA,8.7,15,0.581,0.581,2.7,4.2,0.636,7.2,12.3,19.5,2.2,1.8,3.9,3,6.4,20.2,118,110
2025,NBA,Emoni Bates,batesem01,21,CLE,SF,10,0,75,8.3,24.4,0.342,7.1,19.2,0.367,1.3,5.1,0.25,0.487,0,0,NA,0,4.5,4.5,5.1,0.6,0.6,1.3,2.6,23.7,105,117
2025,NBA,Jamison Battle,battlja01,23,TOR,SF,59,10,1042,6.9,16,0.429,4.9,12,0.405,2,4.1,0.5,0.581,0.7,0.8,0.889,1.7,5.6,7.3,2.4,0.8,0.5,1.2,4.3,19.4,118,118
2025,NBA,Nicolas Batum,batumni01,36,LAC,PF,78,8,1367,3.7,8.6,0.437,3.2,7.3,0.433,0.6,1.3,0.457,0.622,0.6,0.8,0.81,1.7,6.2,7.9,3,1.9,1.3,1.2,4,11.3,126,111
2025,NBA,Damion Baugh,baughda01,24,CHO,SG,15,2,370,5.6,17.3,0.323,1.6,7.4,0.214,4,9.8,0.405,0.369,1.7,2,0.867,1.9,4.8,6.6,7.4,2,0.3,4.1,2.9,14.5,87,118
2025,NBA,Bradley Beal,bealbr01,31,PHO,SG,53,38,1702,10,20.2,0.497,3,7.7,0.386,7.1,12.5,0.565,0.571,3.2,4,0.803,1,4.2,5.1,5.7,1.7,0.8,2.9,4,26.2,114,121
2025,NBA,Malik Beasley,beaslma01,28,DET,SG,82,18,2283,9.7,22.6,0.43,6.7,16.1,0.416,3,6.4,0.466,0.579,2,2.9,0.679,1,3.5,4.5,2.9,1.5,0.1,1.7,2.6,28.1,116,117
2025,NBA,MarJon Beauchamp,beaucma01,24,3TM,SF,35,0,156,8.4,20.2,0.415,3.1,9,0.345,5.3,11.2,0.472,0.492,4.7,6.2,0.75,3.4,10.3,13.7,3.4,1.2,0.3,4.7,4.4,24.6,99,113
2025,NBA,MarJon Beauchamp,beaucma01,24,MIL,SF,26,0,122,7.1,18.6,0.383,2.8,8.3,0.333,4.4,10.3,0.423,0.457,3.6,4.8,0.75,2.8,9.9,12.7,3.2,1.2,0.4,5.2,4,20.6,90,113
2025,NBA,MarJon Beauchamp,beaucma01,24,LAC,SF,3,0,17,11.6,20.3,0.571,5.8,8.7,0.667,5.8,11.6,0.5,0.714,5.8,11.6,0.5,5.8,2.9,8.7,5.8,0,0,2.9,5.8,34.8,133,118
2025,NBA,MarJon Beauchamp,beaucma01,24,NYK,SF,6,0,17,14.6,32.1,0.455,2.9,14.6,0.2,11.7,17.5,0.667,0.5,11.7,11.7,1,5.8,20.4,26.3,2.9,2.9,0,2.9,5.8,43.8,122,104
2025,NBA,Reece Beekman,beekmre01,23,2TM,PG,36,4,469,3.7,11.4,0.327,0.7,4.2,0.175,3,7.1,0.418,0.36,1.7,2.2,0.762,1.4,2.8,4.1,6.7,3.5,0.2,2.2,3.8,9.9,95,115
2025,NBA,Reece Beekman,beekmre01,23,GSW,PG,2,0,4,12.2,12.2,1,0,0,NA,12.2,12.2,1,1,0,0,NA,12.2,0,12.2,12.2,12.2,0,0,12.2,24.3,216,93
2025,NBA,Reece Beekman,beekmre01,23,BRK,PG,34,4,465,3.6,11.3,0.321,0.7,4.3,0.175,2.9,7.1,0.409,0.354,1.7,2.2,0.762,1.3,2.8,4.1,6.6,3.4,0.2,2.2,3.7,9.7,94,115
2025,NBA,Goga Bitadze,bitadgo01,25,ORL,C,70,42,1430,7.2,11.8,0.611,0.1,1,0.107,7.1,10.9,0.656,0.615,3,4.6,0.639,5.8,10.3,16.2,4.8,1.7,3.4,2.5,5.2,17.5,127,105
2025,NBA,Bismack Biyombo,biyombi01,32,SAS,C,28,26,528,6.1,10.4,0.588,0,0,NA,6.1,10.4,0.588,0.588,0.9,2.3,0.4,3.9,10.5,14.5,2.8,1.5,2.1,2.5,4.8,13.2,111,114
2025,NBA,Anthony Black,blackan01,21,ORL,PG,78,10,1887,6.9,16.4,0.423,1.6,5.2,0.318,5.3,11.2,0.471,0.473,4,5.2,0.761,1.4,4.7,6.1,6.4,2.3,1.3,3.7,4.4,19.5,103,110
2025,NBA,Bogdan Bogdanović,bogdabo01,32,2TM,SG,54,4,1348,7.5,17.6,0.427,3.7,10.3,0.363,3.7,7.2,0.517,0.534,2.1,2.4,0.879,0.9,4.8,5.7,5.2,1.5,0.4,2.6,4.5,20.8,110,116
2025,NBA,Bogdan Bogdanović,bogdabo01,32,ATL,SG,24,0,598,6.5,17.5,0.371,3.4,11.4,0.301,3.1,6.1,0.5,0.469,2.3,2.7,0.882,0.9,4.2,5.2,3.8,1.6,0.5,2.9,4.5,18.8,98,118
2025,NBA,Bogdan Bogdanović,bogdabo01,32,LAC,SG,30,4,750,8.3,17.6,0.474,4,9.4,0.427,4.3,8.2,0.528,0.588,1.8,2.1,0.875,0.8,5.3,6.1,6.4,1.4,0.3,2.4,4.6,22.5,120,113
2025,NBA,Bol Bol,bolbo01,25,PHO,PF,36,10,448,10.6,20.2,0.525,3.5,10.3,0.344,7.1,9.9,0.711,0.612,2.2,2.9,0.769,2.2,9.3,11.5,2.4,1,2.8,2.2,2.2,26.9,117,117
2025,NBA,Adem Bona,bonaad01,21,PHI,C,58,11,905,7.4,10.5,0.703,0,0.1,0,7.4,10.4,0.707,0.703,3.6,5.4,0.67,5,8.3,13.3,1.5,1.4,3.8,3.3,6.8,18.4,123,115
2025,NBA,Devin Booker,bookede01,28,PHO,SG,75,75,2795,11.6,25.1,0.461,3.2,9.7,0.332,8.3,15.4,0.542,0.525,7.6,8.5,0.894,1.3,4.1,5.4,9.4,1.2,0.3,3.9,3.5,34,119,123
2025,NBA,Brandon Boston Jr.,bostobr01,23,NOP,SG,42,10,993,8.1,18.6,0.436,2.4,6.8,0.35,5.7,11.8,0.485,0.5,3.3,4.1,0.788,1.4,5.2,6.5,4.5,2.6,0.4,2.5,3.6,21.9,107,120
2025,NBA,Chris Boucher,bouchch01,32,TOR,PF,50,0,862,10.2,20.7,0.492,3.9,10.8,0.363,6.3,9.9,0.633,0.586,3.8,4.9,0.782,3.9,8.6,12.5,1.8,1.3,1.4,1.6,3.8,28,123,114
2025,NBA,Jamaree Bouyea,bouyeja01,25,MIL,PG,5,1,62,4.7,9.4,0.5,0.8,3.9,0.2,3.9,5.5,0.714,0.542,3.1,4.7,0.667,0.8,3.1,3.9,7.8,3.1,1.6,6.2,1.6,13.3,94,112
2025,NBA,Tony Bradley,bradlto01,27,IND,C,14,0,113,12.3,19.1,0.644,0.4,1.3,0.333,11.9,17.9,0.667,0.656,0.9,2.6,0.333,7.7,10.2,17.9,2.6,0.9,3.8,2.1,4.7,25.9,127,111
2025,NBA,Malaki Branham,branhma01,21,SAS,SG,47,0,427,9.8,21.5,0.458,3.8,9.5,0.405,6,12,0.5,0.547,3.1,3.7,0.818,0.8,5,5.8,4.3,1.2,0.2,3.8,3.3,26.6,104,120
2025,NBA,Christian Braun,braunch01,23,DEN,SG,79,77,2675,8.6,14.8,0.58,1.6,4,0.397,7,10.7,0.648,0.634,3.2,3.8,0.827,1.8,5.6,7.4,3.7,1.5,0.7,1.5,3.1,21.9,133,118
2025,NBA,Jalen Bridges,bridgja01,23,PHO,SF,8,0,30,3.3,11.5,0.286,3.3,11.5,0.286,0,0,NA,0.429,4.9,6.6,0.75,0,6.6,6.6,0,0,0,6.6,0,14.8,69,124
2025,NBA,Mikal Bridges,bridgmi01,28,NYK,SF,82,82,3036,9.7,19.3,0.5,2.7,7.6,0.354,7,11.8,0.594,0.57,1.6,1.9,0.814,1.2,3.1,4.2,5,1.2,0.7,2.2,2.1,23.6,117,118
2025,NBA,Miles Bridges,bridgmi02,26,CHO,PF,64,64,2029,11.4,26.4,0.431,3.4,10.9,0.313,8,15.5,0.513,0.495,5.4,6.2,0.87,1.7,9.9,11.7,6,1.1,1.1,3.3,2.3,31.5,110,116
2025,NBA,Oshae Brissett,brissos01,26,PHI,SF,6,2,142,6.6,13.5,0.487,2.1,6.2,0.333,4.5,7.3,0.619,0.564,2.8,4.9,0.571,2.4,5.2,7.6,1.4,1.4,1,2.8,4.9,18.1,105,120
2025,NBA,Malcolm Brogdon,brogdma01,32,WAS,PG,24,13,564,8.8,20.2,0.433,1.3,4.7,0.286,7.4,15.5,0.478,0.467,6.8,7.8,0.88,1.8,5.9,7.7,8.3,1.1,0.4,3.2,2.5,25.7,113,121
2025,NBA,Dillon Brooks,brookdi01,29,HOU,SF,75,75,2388,7.8,18.2,0.429,3.8,9.6,0.397,4,8.7,0.465,0.533,2,2.5,0.818,1.5,4.1,5.6,2.6,1.2,0.3,1.5,4.9,21.5,117,114
2025,NBA,Keion Brooks Jr.,brookke02,24,NOP,SF,14,6,332,7.7,15.9,0.486,2,6.3,0.326,5.7,9.6,0.591,0.55,3.2,4.4,0.733,1.8,6.7,8.5,1.9,1.5,1.5,1.8,4.4,20.7,114,120
2025,NBA,Bruce Brown,brownbr01,28,2TM,PG,41,12,922,6.8,16.2,0.421,1.4,4.2,0.333,5.4,11.9,0.452,0.464,2.8,3.4,0.815,2.1,6.5,8.6,4.4,1.8,0.5,2,3.7,17.8,107,118
2025,NBA,Bruce Brown,brownbr01,28,TOR,PG,18,0,353,7.8,17.9,0.435,1.5,4.9,0.306,6.3,13,0.484,0.477,3.5,4,0.897,2.3,7,9.3,3.8,2.3,0.4,2.6,3.5,20.6,106,114
2025,NBA,Bruce Brown,brownbr01,28,NOP,PG,23,12,569,6.2,15.2,0.41,1.4,3.8,0.356,4.9,11.3,0.429,0.455,2.3,3.1,0.75,2,6.2,8.2,4.8,1.4,0.6,1.7,3.8,16.1,107,121
2025,NBA,Jaylen Brown,brownja02,28,BOS,SF,63,63,2158,12,26,0.463,2.7,8.3,0.324,9.3,17.7,0.529,0.515,5.7,7.5,0.764,1.9,6.6,8.6,6.6,1.7,0.4,3.8,3.6,32.5,112,112
2025,NBA,Kobe Brown,brownko01,25,LAC,PF,40,0,272,6,13,0.458,1.1,4.7,0.231,4.9,8.3,0.587,0.5,0.9,1.3,0.714,3.4,8.3,11.8,4.3,1.3,0.7,2.2,4.2,13.9,110,111
2025,NBA,Moses Brown,brownmo01,25,2TM,C,13,2,119,13.8,19.9,0.694,0,0,NA,13.8,19.9,0.694,0.694,3.2,4.5,0.727,4.9,13,17.8,0.8,2.4,1.6,4.5,6.9,30.8,116,109
2025,NBA,Moses Brown,brownmo01,25,IND,C,9,0,46,13.6,20.9,0.65,0,0,NA,13.6,20.9,0.65,0.65,3.1,5.2,0.6,4.2,9.4,13.6,0,2.1,1,6.3,6.3,30.3,98,112
2025,NBA,Moses Brown,brownmo01,25,DAL,C,4,2,73,13.9,19.2,0.724,0,0,NA,13.9,19.2,0.724,0.724,3.3,4,0.833,5.3,15.2,20.5,1.3,2.7,2,3.3,7.3,31.1,130,107
2025,NBA,Jalen Brunson,brunsja01,28,NYK,PG,65,65,2301,12.6,25.9,0.488,3.3,8.6,0.383,9.3,17.3,0.539,0.551,7.9,9.7,0.821,0.6,3.5,4,10.2,1.3,0.2,3.5,3,36.4,123,118
2025,NBA,Thomas Bryant,bryanth01,27,2TM,C,66,8,963,8.2,16.1,0.508,2.4,7.4,0.324,5.8,8.7,0.665,0.583,2.8,3.2,0.859,4.2,8.4,12.6,2.7,1.4,2.1,1.5,3.8,21.5,125,113
2025,NBA,Thomas Bryant,bryanth01,27,MIA,C,10,0,115,5.2,12.1,0.429,2.6,7.4,0.353,2.6,4.8,0.545,0.536,4.8,4.8,1,2.6,11.3,13.9,1.7,0.4,3.9,0.9,3.9,17.8,131,109
2025,NBA,Thomas Bryant,bryanth01,27,IND,C,56,8,848,8.6,16.6,0.515,2.4,7.4,0.321,6.2,9.2,0.673,0.587,2.5,3,0.83,4.4,8,12.4,2.8,1.5,1.8,1.6,3.8,22,125,113
2025,NBA,Kobe Bufkin,bufkiko01,21,ATL,SG,10,0,124,6.8,17.7,0.383,1.5,7.2,0.211,5.3,10.6,0.5,0.426,4.9,6.8,0.722,1.9,6,7.9,6.4,1.1,0.8,3,3.4,20,103,118
2025,NBA,Alec Burks,burksal01,33,MIA,SG,49,14,863,6.6,15.7,0.424,5.1,12,0.425,1.6,3.7,0.422,0.587,2.2,2.8,0.776,0.9,6.3,7.2,3.2,1.6,0.4,1.7,2.1,20.6,117,114
2025,NBA,Jared Butler,butleja02,24,2TM,SG,60,17,1044,9.5,21.1,0.448,2.8,7.9,0.355,6.7,13.2,0.504,0.514,3.5,4.2,0.824,1.2,4,5.1,10.3,2,0.6,3.7,4.5,25.2,112,120
2025,NBA,Jared Butler,butleja02,24,WAS,PG,32,0,362,11.2,23.1,0.483,2,5.4,0.366,9.2,17.7,0.519,0.526,4.6,5.9,0.778,1.8,3.5,5.4,10.8,1.6,0.7,3.8,5.3,28.9,114,122
2025,NBA,Jared Butler,butleja02,24,PHI,SG,28,17,682,8.5,20,0.426,3.3,9.3,0.352,5.3,10.8,0.49,0.507,2.9,3.3,0.87,0.8,4.2,5,10,2.2,0.6,3.7,4.1,23.2,110,119
2025,NBA,Jimmy Butler,butleji01,35,2TM,SF,55,55,1746,8.5,16.8,0.504,0.9,2.9,0.308,7.6,13.9,0.546,0.531,9.3,11,0.842,3.5,4.8,8.3,8.4,2.2,0.5,2.1,1.5,27.2,136,113
2025,NBA,Jimmy Butler,butleji01,35,MIA,PF,25,25,766,9.2,17.1,0.54,0.8,2.3,0.361,8.4,14.8,0.568,0.565,8.4,10.5,0.801,3.6,4.9,8.5,7.8,1.8,0.7,2,1.5,27.7,136,114
2025,NBA,Jimmy Butler,butleji01,35,GSW,SF,30,30,980,7.9,16.6,0.476,0.9,3.4,0.279,6.9,13.2,0.526,0.504,10,11.5,0.87,3.5,4.7,8.2,8.8,2.5,0.4,2.2,1.4,26.7,136,113
2025,NBA,Matas Buzelis,buzelma01,20,CHI,SF,80,31,1511,7.8,17.1,0.454,3,8.2,0.361,4.8,8.9,0.54,0.541,2.7,3.3,0.815,1.7,6.9,8.6,2.4,0.9,2.3,2.3,4,21.3,108,115
2025,NBA,Jamal Cain,cainja01,25,NOP,SF,37,0,502,6.6,15.2,0.43,2.5,7.7,0.325,4.1,7.5,0.538,0.513,3.3,4.8,0.68,2.6,5.6,8.2,2.1,2.2,0.9,2.1,4.4,18.9,109,120
2025,NBA,Kentavious Caldwell-Pope,caldwke01,31,ORL,SG,77,77,2279,5.2,11.9,0.439,2.5,7.2,0.342,2.8,4.7,0.589,0.543,1.8,2.1,0.863,0.7,3,3.7,3,2.2,0.7,1.4,3,14.7,115,112
2025,NBA,Toumani Camara,camarto01,24,POR,PF,78,78,2548,6.3,13.7,0.458,2.6,6.9,0.375,3.7,6.8,0.542,0.552,1.7,2.4,0.722,3.3,5.3,8.6,3.3,2.2,1,2.1,4.4,16.8,117,115
2025,NBA,Vlatko Čančar,cancavl01,27,DEN,PF,13,0,136,3.5,9.2,0.385,1.4,5.3,0.267,2.1,3.9,0.545,0.462,0,0,NA,2.1,9.2,11.3,3.2,1.1,0.7,3.9,3.5,8.5,83,116
2025,NBA,Clint Capela,capelca01,30,ATL,C,55,41,1176,8.7,15.5,0.559,0,0,0,8.7,15.5,0.56,0.559,2.1,3.9,0.536,6.9,11.7,18.7,2.5,1.4,2.1,1.9,4.2,19.4,120,113
2025,NBA,Branden Carlson,carlsbr01,25,OKC,C,32,0,246,8.4,18.9,0.443,4.3,12.9,0.333,4.1,6,0.677,0.557,2.7,3.5,0.778,3.3,7.2,10.5,2.7,1,4.1,1.4,4.3,23.8,122,106
2025,NBA,Bub Carrington,carrica01,19,WAS,PG,82,57,2458,5.8,14.5,0.401,2.7,7.9,0.339,3.1,6.6,0.475,0.493,1.3,1.6,0.812,0.6,6,6.6,7,1,0.4,2.7,3.7,15.6,104,121
2025,NBA,Devin Carter,cartede02,22,SAC,PG,36,0,396,5.8,15.7,0.37,2.2,7.5,0.295,3.6,8.2,0.439,0.441,3.2,5.4,0.591,2.3,7,9.4,5.1,2.6,0.5,2.2,4.8,17,104,114
2025,NBA,Jevon Carter,carteje01,29,CHI,PG,36,1,321,8,21.2,0.377,5.1,15.3,0.333,2.9,6,0.488,0.497,1.2,1.5,0.8,0.6,5.1,5.7,5.8,1.9,0.4,1.6,2.2,22.2,107,117
2025,NBA,Wendell Carter Jr.,cartewe01,25,ORL,C,68,51,1758,6.4,13.9,0.46,1.1,4.5,0.234,5.4,9.5,0.568,0.498,3.7,5,0.737,4.3,9.7,14,3.8,1.5,1.2,2.2,5.7,17.6,115,109
2025,NBA,D.J. Carton,cartodj01,24,TOR,SG,4,0,33,1.5,10.2,0.143,0,4.4,0,1.5,5.8,0.25,0.143,1.5,1.5,1,0,5.8,5.8,4.4,2.9,0,5.8,1.5,4.4,43,114
2025,NBA,Alex Caruso,carusal01,30,OKC,SG,54,3,1041,6.5,14.5,0.446,2.8,7.8,0.353,3.7,6.6,0.556,0.541,1.9,2.4,0.824,1.8,5.6,7.3,6.3,4,1.4,1.7,4.7,17.6,122,104
2025,NBA,Colin Castleton,castlco01,24,3TM,C,26,4,432,5.1,10.9,0.469,0.2,1.8,0.125,4.9,9.2,0.537,0.48,3.2,4.2,0.763,5.9,7.7,13.6,3.1,0.9,1.1,2.6,5.7,13.7,114,116
