season,lg,overall_pick,round,tm,player,player_id,college
2024,NBA,32,2,UTA,Kyle Filipowski,filipky01,Duke
2024,NBA,33,2,MIL,Tyler Smith,smithty02,NA
2024,NBA,34,2,POR,Tyler Kolek,kolekty01,Marquette
2024,NBA,35,2,SAS,Johnny Furphy,furphjo01,Kansas
2024,NBA,36,2,IND,Juan Nunez,nunezju01,NA
2024,NBA,37,2,MIN,Bobi Klintman,klintbo01,NA
2024,NBA,38,2,NYK,Ajay Mitchell,mitchaj01,UC Santa Barbara
2024,NBA,39,2,MEM,Jaylen Wells,wellsja01,Washington State
2024,NBA,40,2,POR,Oso Ighodaro,ighodos01,Marquette
2024,NBA,41,2,PHI,Adem Bona,bonaad01,UCLA
2024,NBA,42,2,CHO,KJ Simpson,simpskj01,Colorado
2024,NBA,43,2,MIA,Nikola Djurisic,djurini01,NA
2024,NBA,44,2,HOU,Pelle Larsson,larsspe01,Arizona
2024,NBA,45,2,SAC,Jamal Shead,sheadja01,Houston
2024,NBA,46,2,LAC,Cam Christie,chrisca02,Minnesota
2024,NBA,47,2,ORL,Antonio Reeves,reevean01,Kentucky
2024,NBA,48,2,SAS,Harrison Ingram,ingraha01,UNC
2024,NBA,49,2,IND,Tristen Newton,newtotr01,UConn
2024,NBA,50,2,IND,Enrique Freeman,freemen01,University of Akron
2024,NBA,51,2,NYK,Melvin Ajinça,ajincme01,NA
2024,NBA,52,2,GSW,Quinten Post,postqu01,Boston College
2024,NBA,53,2,DET,Cam Spencer,spencca01,UConn
2024,NBA,54,2,BOS,Anton Watson,watsoan02,Gonzaga
2024,NBA,55,2,LAL,Bronny James,jamesbr02,USC
2024,NBA,56,2,PHO,Kevin McCullar Jr.,mcculke01,Kansas
2024,NBA,57,2,MEM,Ulrich Chomche,chomcul01,NA
2024,NBA,58,2,DAL,Ariel Hukporti,hukpoar01,NA
2023,NBA,1,1,SAS,Victor Wembanyama,wembavi01,NA
2023,NBA,2,1,CHO,Brandon Miller,millebr02,Alabama
2023,NBA,3,1,POR,Scoot Henderson,hendesc01,NA
2023,NBA,4,1,HOU,Amen Thompson,thompam01,NA
2023,NBA,5,1,DET,Ausar Thompson,thompau01,NA
2023,NBA,6,1,ORL,Anthony Black,blackan01,Arkansas
2023,NBA,7,1,IND,Bilal Coulibaly,coulibi01,NA
2023,NBA,8,1,WAS,Jarace Walker,walkeja02,Houston
2023,NBA,9,1,UTA,Taylor Hendricks,hendrta01,Central Florida
2023,NBA,10,1,DAL,Cason Wallace,wallaca01,Kentucky
2023,NBA,11,1,ORL,Jett Howard,howarje01,Michigan
2023,NBA,12,1,OKC,Dereck Lively II,livelde01,Duke
2023,NBA,13,1,TOR,Gradey Dick,dickgr01,Kansas
2023,NBA,14,1,NOP,Jordan Hawkins,hawkijo01,UConn
2023,NBA,15,1,ATL,Kobe Bufkin,bufkiko01,Michigan
2023,NBA,16,1,UTA,Keyonte George,georgke01,Baylor
2023,NBA,17,1,LAL,Jalen Hood-Schifino,hoodsja01,Indiana
2023,NBA,18,1,MIA,Jaime Jaquez Jr.,jaqueja01,UCLA
2023,NBA,19,1,GSW,Brandin Podziemski,podzibr01,Santa Clara
2023,NBA,20,1,HOU,Cam Whitmore,whitmca01,Villanova
2023,NBA,21,1,BRK,Noah Clowney,clownno01,Alabama
2023,NBA,22,1,BRK,Dariq Whitehead,whiteda01,Duke
2023,NBA,23,1,POR,Kris Murray,murrakr01,Iowa
2023,NBA,24,1,SAC,Olivier-Maxence Prosper,prospol01,Marquette
2023,NBA,25,1,MEM,Marcus Sasser,sassema01,Houston
2023,NBA,26,1,IND,Ben Sheppard,sheppbe01,Belmont
2023,NBA,27,1,CHO,Nick Smith Jr.,smithni01,Arkansas
2023,NBA,28,1,UTA,Brice Sensabaugh,sensabr01,Ohio State
2023,NBA,29,1,IND,Julian Strawther,strawju01,Gonzaga
2023,NBA,30,1,LAC,Kobe Brown,brownko01,Missouri
2023,NBA,31,2,DET,James Nnaji,nnajija01,NA
2023,NBA,32,2,IND,Jalen Pickett,pickeja02,Penn State
2023,NBA,33,2,SAS,Leonard Miller,millele01,NA
2023,NBA,34,2,CHO,Colby Jones,jonesco02,Xavier
2023,NBA,35,2,BOS,Julian Phillips,phillju01,Tennessee
2023,NBA,36,2,ORL,Andre Jackson Jr.,jacksan01,UConn
2023,NBA,37,2,OKC,Hunter Tyson,tysonhu01,Clemson
2023,NBA,38,2,SAC,Jordan Walsh,walshjo01,Arkansas
2023,NBA,39,2,CHO,Mouhamed Gueye,gueyemo02,Washington State
2023,NBA,40,2,DEN,Maxwell Lewis,lewisma05,Pepperdine
2023,NBA,41,2,CHO,Amari Bailey,baileam01,UCLA
2023,NBA,42,2,WAS,Tristan Vukcevic,vukcetr01,NA
2023,NBA,43,2,POR,Rayan Rupert,ruperra01,NA
2023,NBA,44,2,SAS,Sidy Cissoko,cissosi01,NA
2023,NBA,45,2,MEM,GG Jackson II,jacksgg01,South Carolina
2023,NBA,46,2,ATL,Seth Lundy,lundyse01,Penn State
2023,NBA,47,2,LAL,Mojave King,kingmo01,NA
2023,NBA,48,2,LAC,Jordan Miller,millejo02,Miami (FL)
2023,NBA,49,2,CLE,Emoni Bates,batesem01,Eastern Michigan
2023,NBA,50,2,OKC,Keyontae Johnson,johnske08,Kansas State
2023,NBA,51,2,BRK,Jalen Wilson,wilsoja03,Kansas
2023,NBA,52,2,PHO,Toumani Camara,camarto01,Dayton
2023,NBA,53,2,MIN,Jaylen Clark,clarkja02,UCLA
2023,NBA,54,2,SAC,Jalen Slawson,slawsja01,Furman University
2023,NBA,55,2,IND,Isaiah Wong,wongis01,Miami (FL)
2023,NBA,56,2,MEM,Tarik Biberovic,biberta01,NA
2023,NBA,57,2,WAS,Trayce Jackson-Davis,jackstr02,Indiana
2023,NBA,58,2,MIL,Chris Livingston,livinch01,Kentucky
2022,NBA,1,1,ORL,Paolo Banchero,banchpa01,Duke
2022,NBA,2,1,OKC,Chet Holmgren,holmgch01,Gonzaga
2022,NBA,3,1,HOU,Jabari Smith Jr.,smithja05,Auburn
2022,NBA,4,1,SAC,Keegan Murray,murrake02,Iowa
2022,NBA,5,1,DET,Jaden Ivey,iveyja01,Purdue
2022,NBA,6,1,IND,Bennedict Mathurin,mathube01,Arizona
2022,NBA,7,1,POR,Shaedon Sharpe,sharpsh01,Kentucky
2022,NBA,8,1,NOP,Dyson Daniels,daniedy01,NA
2022,NBA,9,1,SAS,Jeremy Sochan,sochaje01,Baylor
2022,NBA,10,1,WAS,Johnny Davis,davisjo06,Wisconsin
2022,NBA,11,1,NYK,Ousmane Dieng,diengou01,NA
2022,NBA,12,1,OKC,Jalen Williams,willija06,Santa Clara
2022,NBA,13,1,CHO,Jalen Duren,durenja01,Memphis
2022,NBA,14,1,CLE,Ochai Agbaji,agbajoc01,Kansas
2022,NBA,15,1,CHO,Mark Williams,willima07,Duke
2022,NBA,16,1,ATL,AJ Griffin,griffaj01,Duke
2022,NBA,17,1,HOU,Tari Eason,easonta01,LSU
2022,NBA,18,1,CHI,Dalen Terry,terryda01,Arizona
2022,NBA,19,1,MIN,Jake LaRavia,laravja01,Wake Forest
2022,NBA,20,1,SAS,Malaki Branham,branhma01,Ohio State
2022,NBA,21,1,DEN,Christian Braun,braunch01,Kansas
2022,NBA,22,1,MEM,Walker Kessler,kesslwa01,Auburn
2022,NBA,23,1,PHI,David Roddy,roddyda01,Colorado State
2022,NBA,24,1,MIL,MarJon Beauchamp,beaucma01,NA
2022,NBA,25,1,SAS,Blake Wesley,weslebl01,Notre Dame
2022,NBA,26,1,DAL,Wendell Moore Jr.,moorewe01,Duke
2022,NBA,27,1,MIA,Nikola Jović,jovicni01,NA
2022,NBA,28,1,GSW,Patrick Baldwin Jr.,baldwpa01,UW-Milwaukee
2022,NBA,29,1,MEM,TyTy Washington Jr.,washity02,Kentucky
2022,NBA,30,1,OKC,Peyton Watson,watsope01,UCLA
2022,NBA,31,2,IND,Andrew Nembhard,nembhan01,Gonzaga
2022,NBA,32,2,ORL,Caleb Houstan,houstca01,Michigan
2022,NBA,33,2,TOR,Christian Koloko,kolokch01,Arizona
2022,NBA,34,2,OKC,Jaylin Williams,willija07,Arkansas
2022,NBA,35,2,LAL,Max Christie,chrisma02,Michigan State
2022,NBA,36,2,POR,Gabriele Procida,prociga01,NA
2022,NBA,37,2,SAC,Jaden Hardy,hardyja02,NA
2022,NBA,38,2,SAS,Kennedy Chandler,chandke01,Tennessee
2022,NBA,39,2,CLE,Khalifa Diop,diopkh01,NA
2022,NBA,40,2,MIN,Bryce McGowens,mcgowbr01,Nebraska
2022,NBA,41,2,NOP,E.J. Liddell,liddeej01,Ohio State
2022,NBA,42,2,NYK,Trevor Keels,keelstr01,Duke
2022,NBA,43,2,LAC,Moussa Diabaté,diabamo01,Michigan
2022,NBA,44,2,ATL,Ryan Rollins,rolliry01,Toledo
2022,NBA,45,2,CHO,Josh Minott,minotjo01,Memphis
2022,NBA,46,2,DET,Ismael Kamagate,kamagis01,NA
2022,NBA,47,2,MEM,Vince Williams Jr.,willivi01,VCU
2022,NBA,48,2,MIN,Kendall Brown,brownke03,Baylor
2022,NBA,49,2,CLE,Isaiah Mobley,mobleis01,USC
2022,NBA,50,2,MIN,Matteo Spagnolo,spagnma01,NA
2022,NBA,51,2,GSW,Tyrese Martin,martity01,UConn
2022,NBA,52,2,NOP,Karlo Matković,matkoka01,NA
2022,NBA,53,2,BOS,JD Davison,davisjd01,Alabama
2022,NBA,54,2,WAS,Yannick Nzosa,nzosaya01,NA
2022,NBA,55,2,GSW,Gui Santos,santogu01,NA
2022,NBA,56,2,CLE,Luke Travers,travelu01,NA
2022,NBA,57,2,POR,Jabari Walker,walkeja01,Colorado
2022,NBA,58,2,IND,Hugo Besson,bessohu01,NA
2021,NBA,1,1,DET,Cade Cunningham,cunnica01,Oklahoma State
2021,NBA,2,1,HOU,Jalen Green,greenja05,NA
2021,NBA,3,1,CLE,Evan Mobley,mobleev01,USC
2021,NBA,4,1,TOR,Scottie Barnes,barnesc01,Florida State
2021,NBA,5,1,ORL,Jalen Suggs,suggsja01,Gonzaga
2021,NBA,6,1,OKC,Josh Giddey,giddejo01,NA
2021,NBA,7,1,GSW,Jonathan Kuminga,kuminjo01,NA
2021,NBA,8,1,ORL,Franz Wagner,wagnefr01,Michigan
2021,NBA,9,1,SAC,Davion Mitchell,mitchda01,Baylor
2021,NBA,10,1,NOP,Ziaire Williams,willizi02,Stanford
2021,NBA,11,1,CHO,James Bouknight,bouknja01,UConn
2021,NBA,12,1,SAS,Joshua Primo,primojo01,Alabama
2021,NBA,13,1,IND,Chris Duarte,duartch01,Oregon
2021,NBA,14,1,GSW,Moses Moody,moodymo01,Arkansas
2021,NBA,15,1,WAS,Corey Kispert,kispeco01,Gonzaga
2021,NBA,16,1,OKC,Alperen Şengün,sengual01,NA
2021,NBA,17,1,MEM,Trey Murphy III,murphtr02,Virginia
2021,NBA,18,1,OKC,Tre Mann,manntr01,Florida
2021,NBA,19,1,NYK,Kai Jones,joneska01,Texas
2021,NBA,20,1,ATL,Jalen Johnson,johnsja05,Duke
2021,NBA,21,1,NYK,Keon Johnson,johnske07,Tennessee
2021,NBA,22,1,LAL,Isaiah Jackson,jacksis01,Kentucky
2021,NBA,23,1,HOU,Usman Garuba,garubus01,NA
2021,NBA,24,1,HOU,Josh Christopher,chrisjo01,Arizona State
2021,NBA,25,1,LAC,Quentin Grimes,grimequ01,Houston
2021,NBA,26,1,DEN,Bones Hyland,hylanbo01,VCU
2021,NBA,27,1,BRK,Cam Thomas,thomaca02,LSU
2021,NBA,28,1,PHI,Jaden Springer,sprinja01,Tennessee
2021,NBA,29,1,PHO,Day'Ron Sharpe,sharpda01,UNC
2021,NBA,30,1,UTA,Santi Aldama,aldamsa01,Loyola (MD)
2021,NBA,31,2,MIL,Isaiah Todd,toddis01,NA
2021,NBA,32,2,NYK,Jeremiah Robinson-Earl,robinje02,Villanova
2021,NBA,33,2,ORL,Jason Preston,prestja01,Ohio University
2021,NBA,34,2,OKC,Rokas Jokubaitis,jokubro01,NA
2021,NBA,35,2,NOP,Herbert Jones,joneshe01,Alabama
2021,NBA,36,2,OKC,Miles McBride,mcbrimi01,West Virginia
2021,NBA,37,2,DET,JT Thor,thorjt01,Auburn
2021,NBA,38,2,CHI,Ayo Dosunmu,dosunay01,Illinois
2021,NBA,39,2,SAC,Neemias Queta,quetane01,Utah State University
2021,NBA,40,2,NOP,Jared Butler,butleja02,Baylor
2021,NBA,41,2,SAS,Joe Wieskamp,wieskjo01,Iowa
2021,NBA,42,2,DET,Isaiah Livers,liveris01,Michigan
2021,NBA,43,2,NOP,Greg Brown III,browngr01,Texas
2021,NBA,44,2,BRK,Kessler Edwards,edwarke02,Pepperdine
2021,NBA,45,2,BOS,Juhann Begarin,begarju01,NA
2021,NBA,46,2,TOR,Dalano Banton,bantoda01,Nebraska
2021,NBA,47,2,TOR,David Johnson,johnsda08,Louisville
2021,NBA,48,2,ATL,Sharife Cooper,coopesh01,Auburn
2021,NBA,49,2,BRK,Marcus Zegarowski,zegarma01,Creighton
2021,NBA,50,2,PHI,Filip Petrušev,petrufi01,Gonzaga
2021,NBA,51,2,MEM,Brandon Boston Jr.,bostobr01,Kentucky
2021,NBA,52,2,DET,Luka Garza,garzalu01,Iowa
2021,NBA,53,2,PHI,Charles Bassey,bassech01,Western Kentucky
2021,NBA,54,2,IND,Sandro Mamukelashvili,mamuksa01,Seton Hall
2021,NBA,55,2,OKC,Aaron Wiggins,wiggiaa01,Maryland
2021,NBA,56,2,CHO,Scottie Lewis,lewissc01,Florida
2021,NBA,57,2,CHO,Balša Koprivica,kopriba01,Florida State
2021,NBA,58,2,NYK,Jericho Sims,simsje01,Texas
2021,NBA,59,2,BRK,RaiQuan Gray,grayra01,Florida State
2021,NBA,60,2,IND,Georgios Kalaitzakis,kalaige01,NA
2020,NBA,1,1,MIN,Anthony Edwards,edwaran01,Georgia
2020,NBA,2,1,GSW,James Wiseman,wisemja01,Memphis
2020,NBA,3,1,CHO,LaMelo Ball,ballla01,NA
2020,NBA,4,1,CHI,Patrick Williams,willipa01,Florida State
2020,NBA,5,1,CLE,Isaac Okoro,okorois01,Auburn
2020,NBA,6,1,ATL,Onyeka Okongwu,okongon01,USC
2020,NBA,7,1,DET,Killian Hayes,hayeski01,NA
2020,NBA,8,1,NYK,Obi Toppin,toppiob01,Dayton
2020,NBA,9,1,WAS,Deni Avdija,avdijde01,NA
2020,NBA,10,1,PHO,Jalen Smith,smithja04,Maryland
2020,NBA,11,1,SAS,Devin Vassell,vassede01,Florida State
2020,NBA,12,1,SAC,Tyrese Haliburton,halibty01,Iowa State
2020,NBA,13,1,NOP,Kira Lewis Jr.,lewiski01,Alabama
2020,NBA,14,1,BOS,Aaron Nesmith,nesmiaa01,Vanderbilt
2020,NBA,15,1,ORL,Cole Anthony,anthoco01,UNC
2020,NBA,16,1,POR,Isaiah Stewart,stewais01,Washington
2020,NBA,17,1,MIN,Aleksej Pokusevski,pokusal01,NA
2020,NBA,18,1,DAL,Josh Green,greenjo02,Arizona
2020,NBA,19,1,BRK,Saddiq Bey,beysa01,Villanova
2020,NBA,20,1,MIA,Precious Achiuwa,achiupr01,Memphis
2020,NBA,21,1,PHI,Tyrese Maxey,maxeyty01,Kentucky
2020,NBA,22,1,DEN,Zeke Nnaji,nnajize01,Arizona
2020,NBA,23,1,NYK,Leandro Bolmaro,bolmale01,NA
2020,NBA,24,1,MIL,R.J. Hampton,hamptrj01,NA
2020,NBA,25,1,OKC,Immanuel Quickley,quickim01,Kentucky
2020,NBA,26,1,BOS,Payton Pritchard,pritcpa01,Oregon
2020,NBA,27,1,UTA,Udoka Azubuike,azubuud01,Kansas
2020,NBA,28,1,LAL,Jaden McDaniels,mcdanja02,Washington
2020,NBA,29,1,TOR,Malachi Flynn,flynnma01,San Diego State
2020,NBA,30,1,BOS,Desmond Bane,banede01,TCU
2020,NBA,31,2,DAL,Tyrell Terry,terryty01,Stanford
2020,NBA,32,2,CHO,Vernon Carey Jr.,careyve01,Duke
2020,NBA,33,2,MIN,Daniel Oturu,oturuda01,Minnesota
2020,NBA,34,2,PHI,Théo Maledon,maledth01,NA
2020,NBA,35,2,SAC,Xavier Tillman Sr.,tillmxa01,Michigan State
2020,NBA,36,2,PHI,Tyler Bey,beyty01,Colorado
2020,NBA,37,2,WAS,Vit Krejci,krejcvi01,NA
2020,NBA,38,2,UTA,Saben Lee,leesa01,Vanderbilt
2020,NBA,39,2,NOP,Elijah Hughes,hugheel01,Syracuse
2020,NBA,40,2,MEM,Robert Woodard II,woodaro01,Mississippi State
2020,NBA,41,2,SAS,Tre Jones,jonestr01,Duke
2020,NBA,42,2,NOP,Nick Richards,richani01,Kentucky
2020,NBA,43,2,SAC,Jahmi'us Ramsey,ramseja01,Texas Tech
2020,NBA,44,2,CHI,Marko Simonovic,simonma01,NA
2020,NBA,45,2,MIL,Jordan Nwora,nworajo01,Louisville
2020,NBA,46,2,POR,CJ Elleby,ellebcj01,Washington State
2020,NBA,47,2,BOS,Yam Madar,madarya01,NA
2020,NBA,48,2,GSW,Nico Mannion,mannini01,Arizona
2020,NBA,49,2,PHI,Isaiah Joe,joeis01,Arkansas
2020,NBA,50,2,ATL,Skylar Mays,mayssk01,LSU
2020,NBA,51,2,GSW,Justinian Jessup,jessuju01,Boise State
2020,NBA,52,2,SAC,KJ Martin,martike04,NA
2020,NBA,53,2,OKC,Cassius Winston,winstca01,Michigan State
2020,NBA,54,2,IND,Cassius Stanley,stanlca01,Duke
2020,NBA,55,2,BRK,Jay Scrubb,scrubja01,John A. Logan College
2020,NBA,56,2,CHO,Grant Riller,rillegr01,College of Charleston
2020,NBA,57,2,LAC,Reggie Perry,perryre01,Mississippi State
2020,NBA,58,2,PHI,Paul Reed,reedpa01,DePaul
2020,NBA,59,2,TOR,Jalen Harris,harrija01,Nevada
2020,NBA,60,2,NOP,Sam Merrill,merrisa01,Utah State University
2019,NBA,1,1,NOP,Zion Williamson,willizi01,Duke
2019,NBA,2,1,MEM,Ja Morant,moranja01,Murray State
2019,NBA,3,1,NYK,RJ Barrett,barrerj01,Duke
2019,NBA,4,1,LAL,De'Andre Hunter,huntede01,Virginia
2019,NBA,5,1,CLE,Darius Garland,garlada01,Vanderbilt
2019,NBA,6,1,PHO,Jarrett Culver,culveja01,Texas Tech
2019,NBA,7,1,CHI,Coby White,whiteco01,UNC
2019,NBA,8,1,ATL,Jaxson Hayes,hayesja02,Texas
2019,NBA,9,1,WAS,Rui Hachimura,hachiru01,Gonzaga
2019,NBA,10,1,ATL,Cam Reddish,reddica01,Duke
2019,NBA,11,1,MIN,Cameron Johnson,johnsca02,UNC
2019,NBA,12,1,CHO,P.J. Washington,washipj01,Kentucky
2019,NBA,13,1,MIA,Tyler Herro,herroty01,Kentucky
2019,NBA,14,1,BOS,Romeo Langford,langfro01,Indiana
2019,NBA,15,1,DET,Sekou Doumbouya,doumbse01,NA
2019,NBA,16,1,ORL,Chuma Okeke,okekech01,Auburn
2019,NBA,17,1,BRK,Nickeil Alexander-Walker,alexani01,Virginia Tech
2019,NBA,18,1,IND,Goga Bitadze,bitadgo01,NA
2019,NBA,19,1,SAS,Luka Šamanić,samanlu01,NA
2019,NBA,20,1,BOS,Matisse Thybulle,thybuma01,Washington
2019,NBA,21,1,OKC,Brandon Clarke,clarkbr01,Gonzaga
2019,NBA,22,1,BOS,Grant Williams,willigr01,Tennessee
2019,NBA,23,1,UTA,Darius Bazley,bazleda01,NA
2019,NBA,24,1,PHI,Ty Jerome,jeromty01,Virginia
2019,NBA,25,1,POR,Nassir Little,littlna01,UNC
2019,NBA,26,1,CLE,Dylan Windler,windldy01,Belmont
2019,NBA,27,1,BRK,Mfiondu Kabengele,kabenmf01,Florida State
2019,NBA,28,1,GSW,Jordan Poole,poolejo01,Michigan
2019,NBA,29,1,SAS,Keldon Johnson,johnske04,Kentucky
2019,NBA,30,1,MIL,Kevin Porter Jr.,porteke02,USC
2019,NBA,31,2,BRK,Nic Claxton,claxtni01,Georgia
2019,NBA,32,2,PHO,KZ Okpala,okpalkz01,Stanford
2019,NBA,33,2,PHI,Carsen Edwards,edwarca01,Purdue
2019,NBA,34,2,PHI,Bruno Fernando,fernabr01,Maryland
2019,NBA,35,2,ATL,Didi Louzada,louzama01,NA
2019,NBA,36,2,CHO,Cody Martin,martico01,Nevada
2019,NBA,37,2,DAL,Deividas Sirvydis,sirvyde01,NA
2019,NBA,38,2,CHI,Daniel Gafford,gaffoda01,Arkansas
2019,NBA,39,2,NOP,Alen Smailagić,smailal01,NA
2019,NBA,40,2,SAC,Justin James,jamesju01,Wyoming
2019,NBA,41,2,GSW,Eric Paschall,pascher01,Villanova
2019,NBA,42,2,PHI,Admiral Schofield,schofad01,Tennessee
2019,NBA,43,2,MIN,Jaylen Nowell,nowelja01,Washington
2019,NBA,44,2,MIA,Bol Bol,bolbo01,Oregon
2019,NBA,45,2,DET,Isaiah Roby,robyis01,Nebraska
2019,NBA,46,2,ORL,Talen Horton-Tucker,hortota01,Iowa State
2019,NBA,47,2,SAC,Ignas Brazdeikis,brazdig01,Michigan
2019,NBA,48,2,LAC,Terance Mann,mannte01,Florida State
2019,NBA,49,2,SAS,Quinndary Weatherspoon,weathqu01,Mississippi State
2019,NBA,50,2,IND,Jarrell Brantley,brantja01,College of Charleston
2019,NBA,51,2,BOS,Tremont Waters,watertr01,LSU
2019,NBA,52,2,CHO,Jalen McDaniels,mcdanja01,San Diego State
2019,NBA,53,2,UTA,Justin Wright-Foreman,wrighju02,Hofstra
2019,NBA,54,2,PHI,Marial Shayok,shayoma01,Iowa State
2019,NBA,55,2,NYK,Kyle Guy,guyky01,Virginia
2019,NBA,56,2,LAC,Jaylen Hands,handsja01,UCLA
2019,NBA,57,2,NOP,Jordan Bone,bonejo01,Tennessee
2019,NBA,58,2,GSW,Miye Oni,onimi01,Yale
2019,NBA,59,2,TOR,Dewan Hernandez,hernade01,Miami (FL)
2019,NBA,60,2,SAC,Vanja Marinković,marinva01,NA
2018,NBA,1,1,PHO,Deandre Ayton,aytonde01,Arizona
2018,NBA,2,1,SAC,Marvin Bagley III,baglema01,Duke
2018,NBA,3,1,ATL,Luka Dončić,doncilu01,NA
2018,NBA,4,1,MEM,Jaren Jackson Jr.,jacksja02,Michigan State
2018,NBA,5,1,DAL,Trae Young,youngtr01,Oklahoma
2018,NBA,6,1,ORL,Mo Bamba,bambamo01,Texas
2018,NBA,7,1,CHI,Wendell Carter Jr.,cartewe01,Duke
2018,NBA,8,1,CLE,Collin Sexton,sextoco01,Alabama
2018,NBA,9,1,NYK,Kevin Knox,knoxke01,Kentucky
2018,NBA,10,1,PHI,Mikal Bridges,bridgmi01,Villanova
2018,NBA,11,1,CHO,Shai Gilgeous-Alexander,gilgesh01,Kentucky
2018,NBA,12,1,LAC,Miles Bridges,bridgmi02,Michigan State
2018,NBA,13,1,LAC,Jerome Robinson,robinje01,Boston College
2018,NBA,14,1,DEN,Michael Porter Jr.,portemi01,Missouri
2018,NBA,15,1,WAS,Troy Brown Jr.,browntr01,Oregon
2018,NBA,16,1,PHO,Zhaire Smith,smithzh01,Texas Tech
2018,NBA,17,1,MIL,Donte DiVincenzo,divindo01,Villanova
2018,NBA,18,1,SAS,Lonnie Walker IV,walkelo01,Miami (FL)
2018,NBA,19,1,ATL,Kevin Huerter,huertke01,Maryland
2018,NBA,20,1,MIN,Josh Okogie,okogijo01,Georgia Tech
2018,NBA,21,1,UTA,Grayson Allen,allengr01,Duke
2018,NBA,22,1,CHI,Chandler Hutchison,hutchch01,Boise State
2018,NBA,23,1,IND,Aaron Holiday,holidaa01,UCLA
2018,NBA,24,1,POR,Anfernee Simons,simonan01,NA
2018,NBA,25,1,LAL,Moritz Wagner,wagnemo01,Michigan
2018,NBA,26,1,PHI,Landry Shamet,shamela01,Wichita State
2018,NBA,27,1,BOS,Robert Williams,williro04,Texas A&M
2018,NBA,28,1,GSW,Jacob Evans,evansja02,Cincinnati
2018,NBA,29,1,BRK,Džanan Musa,musadz01,NA
2018,NBA,30,1,ATL,Omari Spellman,spellom01,Villanova
2018,NBA,31,2,PHO,Elie Okobo,okoboel01,NA
2018,NBA,32,2,MEM,Jevon Carter,carteje01,West Virginia
2018,NBA,33,2,DAL,Jalen Brunson,brunsja01,Villanova
2018,NBA,34,2,ATL,Devonte' Graham,grahade01,Kansas
2018,NBA,35,2,ORL,Melvin Frazier,frazime01,Tulane
2018,NBA,36,2,NYK,Mitchell Robinson,robinmi01,NA
2018,NBA,37,2,SAC,Gary Trent Jr.,trentga02,Duke
2018,NBA,38,2,PHI,Khyri Thomas,thomakh01,Creighton
2018,NBA,39,2,PHI,Isaac Bonga,bongais01,NA
2018,NBA,40,2,BRK,Rodions Kurucs,kurucro01,NA
2018,NBA,41,2,ORL,Jarred Vanderbilt,vandeja01,Kentucky
2018,NBA,42,2,DET,Bruce Brown,brownbr01,Miami (FL)
2018,NBA,43,2,DEN,Justin Jackson,jacksju02,Maryland
2018,NBA,44,2,WAS,Issuf Sanon,sanonis01,NA
2018,NBA,45,2,BRK,Hamidou Diallo,diallha01,Kentucky
2018,NBA,46,2,HOU,De'Anthony Melton,meltode01,USC
2018,NBA,47,2,LAL,Svi Mykhailiuk,mykhasv01,Kansas
2018,NBA,48,2,MIN,Keita Bates-Diop,bateske01,Ohio State
2018,NBA,49,2,SAS,Chimezie Metu,metuch01,USC
2018,NBA,50,2,IND,Alize Johnson,johnsal02,Missouri State
2018,NBA,51,2,NOP,Tony Carr,carrto01,Penn State
