season,lg,type,number_tm,position,player,player_id,age,pts_won,pts_max,share,x1st_tm,x2nd_tm,x3rd_tm
2023,nba,all_nba,1T,F,Jayson Tatum,tatumja01,24,484,500,0.968,92,8,0
2023,nba,all_nba,1T,C,Joel Embiid,embiijo01,28,474,500,0.948,87,13,0
2023,nba,all_nba,1T,G,Shai Gilgeous-Alexander,gilgesh01,24,407,500,0.814,63,29,5
2023,nba,all_nba,1T,G,Luka Dončić,doncilu01,23,403,500,0.806,60,33,4
2023,nba,all_nba,2T,C,Nikola Jokić,jokicni01,27,364,500,0.728,32,68,0
2023,nba,all_nba,2T,G,Donovan Mitchell,mitchdo01,26,349,500,0.698,45,36,16
2023,nba,all_nba,2T,G,Stephen Curry,curryst01,34,188,500,0.376,17,20,43
2023,nba,all_nba,2T,F,Jimmy Butler,butleji01,33,182,500,0.364,1,52,21
2023,nba,all_nba,2T,F,Jaylen Brown,brownja02,26,169,500,0.338,1,45,29
2023,nba,all_nba,3T,C,Domantas Sabonis,sabondo01,26,147,500,0.294,0,26,69
2023,nba,all_nba,3T,G,De'Aaron Fox,foxde01,25,144,500,0.288,1,33,40
2023,nba,all_nba,3T,G,Damian Lillard,lillada01,32,137,500,0.274,0,36,29
2023,nba,all_nba,3T,F,Julius Randle,randlju01,28,125,500,0.25,0,30,35
2023,nba,all_nba,3T,F,LeBron James,jamesle01,38,81,500,0.162,0,16,33
2023,nba,all_nba,ORV,C,Anthony Davis,davisan02,29,65,500,0.13,0,13,26
2023,nba,all_nba,ORV,F,Lauri Markkanen,markkla01,25,49,500,0.098,0,6,31
2023,nba,all_nba,ORV,G,Ja Morant,moranja01,23,44,500,0.088,0,10,14
2023,nba,all_nba,ORV,G,Jrue Holiday,holidjr01,32,39,500,0.078,1,5,19
2023,nba,all_nba,ORV,F,Kevin Durant,duranke01,34,35,500,0.07,0,7,14
2023,nba,all_nba,ORV,G,Jalen Brunson,brunsja01,26,23,500,0.046,0,5,8
2023,nba,all_nba,ORV,F,Kawhi Leonard,leonaka01,31,15,500,0.03,0,4,3
2023,nba,all_nba,ORV,F,Pascal Siakam,siakapa01,28,15,500,0.03,0,1,12
2023,nba,all_nba,ORV,F,Anthony Edwards,edwaran01,21,14,500,0.028,0,2,8
2023,nba,all_nba,ORV,F,Jaren Jackson Jr.,jacksja02,23,11,500,0.022,0,1,8
2023,nba,all_nba,ORV,G,Devin Booker,bookede01,26,10,500,0.02,0,1,7
2023,nba,all_nba,ORV,C,Bam Adebayo,adebaba01,25,9,500,0.018,0,0,9
2023,nba,all_nba,ORV,G,James Harden,hardeja01,33,6,500,0.012,0,0,6
2023,nba,all_nba,ORV,F,Mikal Bridges,bridgmi01,26,2,500,0.004,0,0,2
2023,nba,all_nba,ORV,F,DeMar DeRozan,derozde01,33,2,500,0.004,0,0,2
2023,nba,all_nba,ORV,C,Kristaps Porziņģis,porzikr01,27,2,500,0.004,0,0,2
2023,nba,all_nba,ORV,F,Paul George,georgpa01,32,1,500,0.002,0,0,1
2023,nba,all_nba,ORV,G,Tyrese Haliburton,halibty01,22,1,500,0.002,0,0,1
2023,nba,all_nba,ORV,F,Zach LaVine,lavinza01,27,1,500,0.002,0,0,1
2023,nba,all_nba,ORV,C,Brook Lopez,lopezbr01,34,1,500,0.002,0,0,1
2023,nba,all_nba,ORV,G,Trae Young,youngtr01,24,1,500,0.002,0,0,1
2022,nba,all_nba,1T,F,Giannis Antetokounmpo,antetgi01,27,500,500,1,100,0,0
2022,nba,all_nba,1T,G,Luka Dončić,doncilu01,22,476,500,0.952,88,12,0
2022,nba,all_nba,1T,C,Nikola Jokić,jokicni01,26,476,500,0.952,88,12,0
2022,nba,all_nba,1T,G,Devin Booker,bookede01,25,460,500,0.92,82,16,2
2022,nba,all_nba,1T,F,Jayson Tatum,tatumja01,23,390,500,0.78,49,47,4
2022,nba,all_nba,2T,C,Joel Embiid,embiijo01,27,414,500,0.828,57,43,0
2022,nba,all_nba,2T,G,Ja Morant,moranja01,22,301,500,0.602,13,76,8
2022,nba,all_nba,2T,F,Kevin Durant,duranke01,33,276,500,0.552,10,68,22
2022,nba,all_nba,2T,G,Stephen Curry,curryst01,33,274,500,0.548,9,69,22
2022,nba,all_nba,2T,F,DeMar DeRozan,derozde01,32,184,500,0.368,2,39,57
2022,nba,all_nba,3T,C,Karl-Anthony Towns,townska01,26,174,500,0.348,0,38,60
2022,nba,all_nba,3T,F,LeBron James,jamesle01,37,169,500,0.338,2,35,54
2022,nba,all_nba,3T,G,Chris Paul,paulch01,36,114,500,0.228,0,16,66
2022,nba,all_nba,3T,G,Trae Young,youngtr01,23,110,500,0.22,0,11,77
2022,nba,all_nba,3T,F,Pascal Siakam,siakapa01,27,63,500,0.126,0,7,42
2022,nba,all_nba,ORV,C,Rudy Gobert,goberru01,29,45,500,0.09,0,5,30
2022,nba,all_nba,ORV,F,Jimmy Butler,butleji01,32,32,500,0.064,0,2,26
2022,nba,all_nba,ORV,C,Bam Adebayo,adebaba01,24,28,500,0.056,0,4,16
2022,nba,all_nba,ORV,G,Donovan Mitchell,mitchdo01,25,4,500,0.008,0,0,4
2022,nba,all_nba,ORV,F,Jaylen Brown,brownja02,25,3,500,0.006,0,0,3
2022,nba,all_nba,ORV,F,Desmond Bane,banede01,23,1,500,0.002,0,0,1
2022,nba,all_nba,ORV,G,Mikal Bridges,bridgmi01,25,1,500,0.002,0,0,1
2022,nba,all_nba,ORV,G,Jrue Holiday,holidjr01,31,1,500,0.002,0,0,1
2022,nba,all_nba,ORV,G,Kyrie Irving,irvinky01,29,1,500,0.002,0,0,1
2022,nba,all_nba,ORV,F,Khris Middleton,middlkh01,30,1,500,0.002,0,0,1
2022,nba,all_nba,ORV,G,Dejounte Murray,murrade01,25,1,500,0.002,0,0,1
2022,nba,all_nba,ORV,G,Fred VanVleet,vanvlfr01,27,1,500,0.002,0,0,1
2021,nba,all_nba,1st,F,Giannis Antetokounmpo,antetgi01,26,500,500,1,100,0,0
2021,nba,all_nba,1st,C,Nikola Jokić,jokicni01,25,498,500,0.996,99,1,0
2021,nba,all_nba,1st,G,Stephen Curry,curryst01,32,496,500,0.992,98,2,0
2021,nba,all_nba,1st,G,Luka Dončić,doncilu01,21,402,500,0.804,55,41,4
2021,nba,all_nba,1st,F,Kawhi Leonard,leonaka01,29,323,500,0.646,28,58,9
2021,nba,all_nba,2nd,G,Damian Lillard,lillada01,30,372,500,0.744,38,60,2
2021,nba,all_nba,2nd,C,Joel Embiid,embiijo01,26,352,500,0.704,28,70,2
2021,nba,all_nba,2nd,G,Chris Paul,paulch01,35,311,500,0.622,23,62,10
2021,nba,all_nba,2nd,F,Julius Randle,randlju01,26,253,500,0.506,16,46,35
2021,nba,all_nba,2nd,F,LeBron James,jamesle01,36,174,500,0.348,2,44,32
2021,nba,all_nba,3rd,C,Rudy Gobert,goberru01,28,148,500,0.296,0,26,70
2021,nba,all_nba,3rd,F,Jimmy Butler,butleji01,31,131,500,0.262,7,26,18
2021,nba,all_nba,3rd,F,Paul George,georgpa01,30,89,500,0.178,0,13,50
2021,nba,all_nba,3rd,G,Bradley Beal,bealbr01,27,71,500,0.142,0,7,50
2021,nba,all_nba,3rd,G,Kyrie Irving,irvinky01,28,61,500,0.122,0,7,40
2021,nba,all_nba,ORV,F,Jayson Tatum,tatumja01,22,69,500,0.138,2,9,32
2021,nba,all_nba,ORV,G,Russell Westbrook,westbru01,32,44,500,0.088,1,6,21
2021,nba,all_nba,ORV,G,James Harden,hardeja01,31,41,500,0.082,2,3,22
2021,nba,all_nba,ORV,F,Zion Williamson,willizi01,20,37,500,0.074,0,3,28
2021,nba,all_nba,ORV,C,Bam Adebayo,adebaba01,23,32,500,0.064,0,5,17
2021,nba,all_nba,ORV,G,Donovan Mitchell,mitchdo01,24,26,500,0.052,0,2,20
2021,nba,all_nba,ORV,F,Kevin Durant,duranke01,32,23,500,0.046,1,4,6
2021,nba,all_nba,ORV,G,Devin Booker,bookede01,24,21,500,0.042,0,3,12
2021,nba,all_nba,ORV,C,Domantas Sabonis,sabondo01,24,6,500,0.012,0,1,3
2021,nba,all_nba,ORV,C,Clint Capela,capelca01,26,6,500,0.012,0,0,6
2021,nba,all_nba,ORV,C,Anthony Davis,davisan02,27,5,500,0.01,0,1,2
2021,nba,all_nba,ORV,G,Ben Simmons,simmobe01,24,2,500,0.004,0,0,2
2021,nba,all_nba,ORV,C,Nikola Vučević,vucevni01,30,2,500,0.004,0,0,2
2021,nba,all_nba,ORV,G,Trae Young,youngtr01,22,2,500,0.004,0,0,2
2021,nba,all_nba,ORV,C,Draymond Green,greendr01,30,1,500,0.002,0,0,1
2021,nba,all_nba,ORV,G,Zach LaVine,lavinza01,25,1,500,0.002,0,0,1
2021,nba,all_nba,ORV,F,Khris Middleton,middlkh01,29,1,500,0.002,0,0,1
2020,nba,all_nba,1st,F,Giannis Antetokounmpo,antetgi01,25,500,500,1,100,0,0
2020,nba,all_nba,1st,F,LeBron James,jamesle01,35,500,500,1,100,0,0
2020,nba,all_nba,1st,G,James Harden,hardeja01,30,474,500,0.948,89,9,2
2020,nba,all_nba,1st,C,Anthony Davis,davisan02,26,455,500,0.91,79,20,0
2020,nba,all_nba,1st,G,Luka Dončić,doncilu01,20,416,500,0.832,59,40,1
2020,nba,all_nba,2nd,F,Kawhi Leonard,leonaka01,28,372,500,0.744,39,59,0
2020,nba,all_nba,2nd,C,Nikola Jokić,jokicni01,24,311,500,0.622,21,64,14
2020,nba,all_nba,2nd,G,Damian Lillard,lillada01,29,284,500,0.568,6,82,8
2020,nba,all_nba,2nd,G,Chris Paul,paulch01,34,199,500,0.398,2,52,33
2020,nba,all_nba,2nd,F,Pascal Siakam,siakapa01,25,168,500,0.336,1,36,55
2020,nba,all_nba,3rd,F,Jayson Tatum,tatumja01,21,153,500,0.306,0,32,57
2020,nba,all_nba,3rd,F,Jimmy Butler,butleji01,30,147,500,0.294,0,32,51
2020,nba,all_nba,3rd,C,Rudy Gobert,goberru01,27,110,500,0.22,1,19,48
2020,nba,all_nba,3rd,G,Ben Simmons,simmobe01,23,61,500,0.122,0,9,29
2020,nba,all_nba,3rd,G,Russell Westbrook,westbru01,31,56,500,0.112,0,9,29
2020,nba,all_nba,ORV,F,Khris Middleton,middlkh01,28,82,500,0.164,0,10,52
2020,nba,all_nba,ORV,C,Joel Embiid,embiijo01,25,79,500,0.158,3,14,22
2020,nba,all_nba,ORV,G,Bradley Beal,bealbr01,26,32,500,0.064,0,3,23
2020,nba,all_nba,ORV,G,Kyle Lowry,lowryky01,33,26,500,0.052,0,3,17
2020,nba,all_nba,ORV,C,Bam Adebayo,adebaba01,22,26,500,0.052,0,0,26
2020,nba,all_nba,ORV,G,Trae Young,youngtr01,21,13,500,0.026,0,1,10
2020,nba,all_nba,ORV,G,Donovan Mitchell,mitchdo01,23,10,500,0.02,0,1,7
2020,nba,all_nba,ORV,F,Paul George,georgpa01,29,7,500,0.014,0,2,1
2020,nba,all_nba,ORV,F,Brandon Ingram,ingrabr01,22,5,500,0.01,0,1,2
2020,nba,all_nba,ORV,G,Kemba Walker,walkeke02,29,4,500,0.008,0,1,1
2020,nba,all_nba,ORV,C,Andre Drummond,drumman01,26,3,500,0.006,0,1,0
2020,nba,all_nba,ORV,G,Devin Booker,bookede01,23,3,500,0.006,0,0,3
2020,nba,all_nba,ORV,C,Karl-Anthony Towns,townska01,24,2,500,0.004,0,0,2
2020,nba,all_nba,ORV,G,Zach LaVine,lavinza01,24,1,500,0.002,0,0,1
2020,nba,all_nba,ORV,C,Brook Lopez,lopezbr01,31,1,500,0.002,0,0,1
2019,nba,all_nba,1st,F,Giannis Antetokounmpo,antetgi01,24,500,500,1,100,0,0
2019,nba,all_nba,1st,G,James Harden,hardeja01,29,500,500,1,100,0,0
2019,nba,all_nba,1st,G,Stephen Curry,curryst01,30,482,500,0.964,91,9,0
2019,nba,all_nba,1st,F,Paul George,georgpa01,28,433,500,0.866,71,25,3
2019,nba,all_nba,1st,C,Nikola Jokić,jokicni01,23,411,500,0.822,59,38,2
2019,nba,all_nba,2nd,C,Joel Embiid,embiijo01,24,375,500,0.75,40,57,4
2019,nba,all_nba,2nd,F,Kevin Durant,duranke01,30,358,500,0.716,29,71,0
2019,nba,all_nba,2nd,G,Damian Lillard,lillada01,28,306,500,0.612,8,87,5
2019,nba,all_nba,2nd,F,Kawhi Leonard,leonaka01,27,242,500,0.484,0,73,23
2019,nba,all_nba,2nd,G,Kyrie Irving,irvinky01,26,195,500,0.39,0,52,39
2019,nba,all_nba,3rd,G,Russell Westbrook,westbru01,30,178,500,0.356,1,43,44
2019,nba,all_nba,3rd,F,Blake Griffin,griffbl01,29,115,500,0.23,0,13,76
2019,nba,all_nba,3rd,F,LeBron James,jamesle01,34,111,500,0.222,0,13,72
2019,nba,all_nba,3rd,C,Rudy Gobert,goberru01,26,89,500,0.178,1,5,69
2019,nba,all_nba,3rd,G,Kemba Walker,walkeke02,28,51,500,0.102,0,4,39
2019,nba,all_nba,ORV,G,Bradley Beal,bealbr01,25,34,500,0.068,0,1,31
2019,nba,all_nba,ORV,G,Klay Thompson,thompkl01,28,27,500,0.054,0,3,18
2019,nba,all_nba,ORV,C,Karl-Anthony Towns,townska01,23,20,500,0.04,0,0,20
2019,nba,all_nba,ORV,F,LaMarcus Aldridge,aldrila01,33,17,500,0.034,0,2,11
2019,nba,all_nba,ORV,F,Danilo Gallinari,gallida01,30,7,500,0.014,0,1,4
2019,nba,all_nba,ORV,G,Ben Simmons,simmobe01,22,7,500,0.014,0,0,7
2019,nba,all_nba,ORV,G,Mike Conley,conlemi01,31,4,500,0.008,0,0,4
2019,nba,all_nba,ORV,G,Donovan Mitchell,mitchdo01,22,4,500,0.008,0,0,4
2019,nba,all_nba,ORV,F,Pascal Siakam,siakapa01,24,4,500,0.008,0,0,4
2019,nba,all_nba,ORV,C,Nikola Vučević,vucevni01,28,4,500,0.008,0,0,4
2019,nba,all_nba,ORV,F,Luka Dončić,doncilu01,19,3,500,0.006,0,1,0
2019,nba,all_nba,ORV,C,Andre Drummond,drumman01,25,3,500,0.006,0,1,0
2019,nba,all_nba,ORV,G,Dwyane Wade,wadedw01,37,3,500,0.006,0,1,0
2019,nba,all_nba,ORV,G,DeMar DeRozan,derozde01,29,3,500,0.006,0,0,3
2019,nba,all_nba,ORV,G,D'Angelo Russell,russeda01,22,3,500,0.006,0,0,0
2019,nba,all_nba,ORV,F,Tobias Harris,harrito02,26,2,500,0.004,0,0,2
2019,nba,all_nba,ORV,F,Marvin Bagley III,baglema01,19,1,500,0.002,0,0,1
2019,nba,all_nba,ORV,G,Devin Booker,bookede01,22,1,500,0.002,0,0,1
2019,nba,all_nba,ORV,C,Anthony Davis,davisan02,25,1,500,0.002,0,0,1
2019,nba,all_nba,ORV,G,Eric Gordon,gordoer01,30,1,500,0.002,0,0,1
2019,nba,all_nba,ORV,G,Jrue Holiday,holidjr01,28,1,500,0.002,0,0,1
2019,nba,all_nba,ORV,G,Kyle Lowry,lowryky01,32,1,500,0.002,0,0,1
2019,nba,all_nba,ORV,F,Domantas Sabonis,sabondo01,22,1,500,0.002,0,0,1
2019,nba,all_nba,ORV,C,Myles Turner,turnemy01,22,1,500,0.002,0,0,1
2019,nba,all_nba,ORV,G,Lou Williams,willilo02,32,1,500,0.002,0,0,1
2018,nba,all_nba,1st,G,James Harden,hardeja01,28,500,500,1,100,0,0
2018,nba,all_nba,1st,F,LeBron James,jamesle01,33,500,500,1,100,0,0
2018,nba,all_nba,1st,C,Anthony Davis,davisan02,24,492,500,0.984,96,4,0
2018,nba,all_nba,1st,G,Damian Lillard,lillada01,27,432,500,0.864,71,24,5
2018,nba,all_nba,1st,F,Kevin Durant,duranke01,29,426,500,0.852,63,37,0
2018,nba,all_nba,2nd,F,Giannis Antetokounmpo,antetgi01,23,354,500,0.708,28,71,1
2018,nba,all_nba,2nd,G,Russell Westbrook,westbru01,29,322,500,0.644,24,63,13
2018,nba,all_nba,2nd,C,Joel Embiid,embiijo01,23,294,500,0.588,11,78,5
2018,nba,all_nba,2nd,F,LaMarcus Aldridge,aldrila01,32,236,500,0.472,2,68,22
2018,nba,all_nba,2nd,G,DeMar DeRozan,derozde01,28,165,500,0.33,2,39,38
2018,nba,all_nba,3rd,G,Stephen Curry,curryst01,29,164,500,0.328,2,39,37
2018,nba,all_nba,3rd,G,Victor Oladipo,oladivi01,25,105,500,0.21,0,24,33
2018,nba,all_nba,3rd,C,Karl-Anthony Towns,townska01,22,99,500,0.198,0,18,45
2018,nba,all_nba,3rd,F,Jimmy Butler,butleji01,28,81,500,0.162,1,8,52
2018,nba,all_nba,3rd,F,Paul George,georgpa01,27,54,500,0.108,0,4,42
2018,nba,all_nba,ORV,G,Chris Paul,paulch01,32,54,500,0.108,0,NA,NA
2018,nba,all_nba,ORV,C,Rudy Gobert,goberru01,25,51,500,0.102,0,NA,NA
2018,nba,all_nba,ORV,G,Kyrie Irving,irvinky01,25,42,500,0.084,0,NA,NA
2018,nba,all_nba,ORV,F,Ben Simmons,simmobe01,21,36,500,0.072,0,NA,NA
2018,nba,all_nba,ORV,C,Al Horford,horfoal01,31,32,500,0.064,0,NA,NA
2018,nba,all_nba,ORV,C,Nikola Jokić,jokicni01,22,28,500,0.056,0,NA,NA
2018,nba,all_nba,ORV,C,Andre Drummond,drumman01,24,7,500,0.014,0,NA,NA
2018,nba,all_nba,ORV,C,Clint Capela,capelca01,23,6,500,0.012,0,NA,NA
2018,nba,all_nba,ORV,F,Draymond Green,greendr01,27,6,500,0.012,0,NA,NA
2018,nba,all_nba,ORV,G,Kyle Lowry,lowryky01,31,3,500,0.006,0,NA,NA
2018,nba,all_nba,ORV,C,Steven Adams,adamsst01,24,2,500,0.004,0,NA,NA
2018,nba,all_nba,ORV,G,Donovan Mitchell,mitchdo01,21,2,500,0.004,0,NA,NA
2018,nba,all_nba,ORV,G,Klay Thompson,thompkl01,27,2,500,0.004,0,NA,NA
2018,nba,all_nba,ORV,F,Trevor Ariza,arizatr01,32,1,500,0.002,0,NA,NA
2018,nba,all_nba,ORV,C,DeMarcus Cousins,couside01,27,1,500,0.002,0,NA,NA
2018,nba,all_nba,ORV,C,Dwight Howard,howardw01,32,1,500,0.002,0,NA,NA
2018,nba,all_nba,ORV,F,Kevin Love,loveke01,29,1,500,0.002,0,NA,NA
2018,nba,all_nba,ORV,F,Kristaps Porziņģis,porzikr01,22,1,500,0.002,0,NA,NA
2017,nba,all_nba,1st,G,James Harden,hardeja01,27,500,500,1,100,0,0
2017,nba,all_nba,1st,F,LeBron James,jamesle01,32,498,500,0.996,99,1,0
2017,nba,all_nba,1st,G,Russell Westbrook,westbru01,28,498,500,0.996,99,1,0
2017,nba,all_nba,1st,F,Kawhi Leonard,leonaka01,25,490,500,0.98,96,3,1
2017,nba,all_nba,1st,C,Anthony Davis,davisan02,23,343,500,0.686,45,34,16
2017,nba,all_nba,2nd,C,Rudy Gobert,goberru01,24,339,500,0.678,43,38,10
2017,nba,all_nba,2nd,G,Stephen Curry,curryst01,28,290,500,0.58,1,93,6
2017,nba,all_nba,2nd,F,Giannis Antetokounmpo,antetgi01,22,258,500,0.516,0,81,15
2017,nba,all_nba,2nd,F,Kevin Durant,duranke01,28,239,500,0.478,3,66,26
2017,nba,all_nba,2nd,G,Isaiah Thomas,thomais02,27,236,500,0.472,0,71,23
2017,nba,all_nba,3rd,F,Draymond Green,greendr01,26,134,500,0.268,4,21,51
2017,nba,all_nba,3rd,G,John Wall,walljo01,26,125,500,0.25,0,19,68
2017,nba,all_nba,3rd,F,Jimmy Butler,butleji01,27,102,500,0.204,0,19,45
2017,nba,all_nba,3rd,G,DeMar DeRozan,derozde01,27,62,500,0.124,0,4,50
2017,nba,all_nba,3rd,C,DeAndre Jordan,jordade01,28,54,500,0.108,3,7,18
2017,nba,all_nba,ORV,C,Karl-Anthony Towns,townska01,21,50,500,0.1,2,NA,NA
2017,nba,all_nba,ORV,G,Chris Paul,paulch01,31,49,500,0.098,0,NA,NA
2017,nba,all_nba,ORV,C,Marc Gasol,gasolma01,32,48,500,0.096,2,NA,NA
2017,nba,all_nba,ORV,C,DeMarcus Cousins,couside01,26,42,500,0.084,2,NA,NA
2017,nba,all_nba,ORV,F,Paul George,georgpa01,26,40,500,0.08,0,NA,NA
2017,nba,all_nba,ORV,F,Gordon Hayward,haywago01,26,27,500,0.054,0,NA,NA
2017,nba,all_nba,ORV,C,Hassan Whiteside,whiteha01,27,18,500,0.036,0,NA,NA
2017,nba,all_nba,ORV,G,Kyrie Irving,irvinky01,24,14,500,0.028,0,NA,NA
2017,nba,all_nba,ORV,G,Klay Thompson,thompkl01,26,14,500,0.028,0,NA,NA
2017,nba,all_nba,ORV,C,Nikola Jokić,jokicni01,21,12,500,0.024,1,NA,NA
2017,nba,all_nba,ORV,G,Damian Lillard,lillada01,26,12,500,0.024,0,NA,NA
2017,nba,all_nba,ORV,F,Paul Millsap,millspa01,31,3,500,0.006,0,NA,NA
2017,nba,all_nba,ORV,F,LaMarcus Aldridge,aldrila01,31,1,500,0.002,0,0,1
2017,nba,all_nba,ORV,F,Blake Griffin,griffbl01,27,1,500,0.002,0,0,1
2017,nba,all_nba,ORV,C,Al Horford,horfoal01,30,1,500,0.002,0,0,1
2016,nba,all_nba,1st,G,Stephen Curry,curryst01,27,645,645,1,129,0,0
2016,nba,all_nba,1st,F,LeBron James,jamesle01,31,637,645,0.988,125,4,0
2016,nba,all_nba,1st,G,Russell Westbrook,westbru01,27,627,645,0.972,120,9,0
2016,nba,all_nba,1st,F,Kawhi Leonard,leonaka01,24,575,645,0.891,94,35,0
2016,nba,all_nba,1st,C,DeAndre Jordan,jordade01,27,317,645,0.491,39,36,14
2016,nba,all_nba,2nd,F,Kevin Durant,duranke01,27,452,645,0.701,36,90,2
2016,nba,all_nba,2nd,F,Draymond Green,greendr01,25,431,645,0.668,40,74,9
2016,nba,all_nba,2nd,G,Chris Paul,paulch01,30,353,645,0.547,8,101,10
2016,nba,all_nba,2nd,C,DeMarcus Cousins,couside01,25,277,645,0.429,32,28,33
2016,nba,all_nba,2nd,G,Damian Lillard,lillada01,25,217,645,0.336,0,48,73
2016,nba,all_nba,3rd,C,Andre Drummond,drumman01,22,173,645,0.268,13,26,30
2016,nba,all_nba,3rd,G,Klay Thompson,thompkl01,25,164,645,0.254,0,37,53
2016,nba,all_nba,3rd,F,Paul George,georgpa01,25,157,645,0.243,0,28,73
2016,nba,all_nba,3rd,G,Kyle Lowry,lowryky01,29,155,645,0.24,0,35,50
2016,nba,all_nba,3rd,F,LaMarcus Aldridge,aldrila01,30,103,645,0.16,3,11,55
2016,nba,all_nba,ORV,G,James Harden,hardeja01,26,106,645,0.164,0,NA,NA
2016,nba,all_nba,ORV,F,Paul Millsap,millspa01,30,84,645,0.13,0,NA,NA
2016,nba,all_nba,ORV,C,Al Horford,horfoal01,29,76,645,0.118,2,NA,NA
2016,nba,all_nba,ORV,C,Anthony Davis,davisan02,22,76,645,0.118,1,NA,NA
2016,nba,all_nba,ORV,C,Karl-Anthony Towns,townska01,20,44,645,0.068,0,NA,NA
2016,nba,all_nba,ORV,G,DeMar DeRozan,derozde01,26,26,645,0.04,0,NA,NA
2016,nba,all_nba,ORV,C,Hassan Whiteside,whiteha01,26,24,645,0.037,1,NA,NA
2016,nba,all_nba,ORV,G,Isaiah Thomas,thomais02,26,20,645,0.031,0,NA,NA
2016,nba,all_nba,ORV,F,Pau Gasol,gasolpa01,35,16,645,0.025,2,NA,NA
2016,nba,all_nba,ORV,G,Jimmy Butler,butleji01,26,12,645,0.019,0,NA,NA
2016,nba,all_nba,ORV,F,Dirk Nowitzki,nowitdi01,37,8,645,0.012,0,NA,NA
2016,nba,all_nba,ORV,G,John Wall,walljo01,25,7,645,0.011,0,NA,NA
2016,nba,all_nba,ORV,G,Kemba Walker,walkeke02,25,6,645,0.009,0,NA,NA
2016,nba,all_nba,ORV,F,Tim Duncan,duncati01,39,3,645,0.005,0,NA,NA
2016,nba,all_nba,ORV,F,Gordon Hayward,haywago01,25,3,645,0.005,0,NA,NA
2016,nba,all_nba,ORV,C,Dwight Howard,howardw01,30,3,645,0.005,0,NA,NA
2016,nba,all_nba,ORV,F,Carmelo Anthony,anthoca01,31,2,645,0.003,0,0,2
2016,nba,all_nba,ORV,C,Marc Gasol,gasolma01,31,2,645,0.003,0,0,2
2016,nba,all_nba,ORV,C,Andrew Bogut,bogutan01,31,1,645,0.002,0,0,1
2016,nba,all_nba,ORV,F,Blake Griffin,griffbl01,26,1,645,0.002,0,0,1
2016,nba,all_nba,ORV,C,Brook Lopez,lopezbr01,27,1,645,0.002,0,0,1
2016,nba,all_nba,ORV,G,Tony Parker,parketo01,33,1,645,0.002,0,0,1
2015,nba,all_nba,1st,G,Stephen Curry,curryst01,26,645,645,1,129,0,0
2015,nba,all_nba,1st,F,LeBron James,jamesle01,30,645,645,1,129,0,0
2015,nba,all_nba,1st,G,James Harden,hardeja01,25,637,645,0.988,125,NA,NA
2015,nba,all_nba,1st,F,Anthony Davis,davisan02,21,625,645,0.969,119,NA,NA
