season,lg,team,abbreviation,playoffs
2023,NBA,Dallas Mavericks,DAL,FALSE
2023,NBA,Denver Nuggets,DEN,TRUE
2023,NBA,Detroit Pistons,DET,FALSE
2023,NBA,Golden State Warriors,GSW,TRUE
2023,NBA,Houston Rockets,HOU,FALSE
2023,NBA,Indiana Pacers,IND,FALSE
2023,NBA,Los Angeles Clippers,LAC,TRUE
2023,NBA,Los Angeles Lakers,LAL,TRUE
2023,NBA,Memphis Grizzlies,MEM,TRUE
2023,NBA,Miami Heat,MIA,TRUE
2023,NBA,Milwaukee Bucks,MIL,TRUE
2023,NBA,Minnesota Timberwolves,MIN,TRUE
2023,NBA,New Orleans Pelicans,NOP,FALSE
2023,NBA,New York Knicks,NYK,TRUE
2023,NBA,Oklahoma City Thunder,OKC,FALSE
2023,NBA,Orlando Magic,ORL,FALSE
2023,NBA,Philadelphia 76ers,PHI,TRUE
2023,NBA,Phoenix Suns,PHO,TRUE
2023,NBA,Portland Trail Blazers,POR,FALSE
2023,NBA,Sacramento Kings,SAC,TRUE
2023,NBA,San Antonio Spurs,SAS,FALSE
2023,NBA,Toronto Raptors,TOR,FALSE
2023,NBA,Utah Jazz,UTA,FALSE
2023,NBA,Washington Wizards,WAS,FALSE
2022,NBA,Atlanta Hawks,ATL,TRUE
2022,NBA,Boston Celtics,BOS,TRUE
2022,NBA,Brooklyn Nets,BRK,TRUE
2022,NBA,Chicago Bulls,CHI,TRUE
2022,NBA,Charlotte Hornets,CHO,FALSE
2022,NBA,Cleveland Cavaliers,CLE,FALSE
2022,NBA,Dallas Mavericks,DAL,TRUE
2022,NBA,Denver Nuggets,DEN,TRUE
2022,NBA,Detroit Pistons,DET,FALSE
2022,NBA,Golden State Warriors,GSW,TRUE
2022,NBA,Houston Rockets,HOU,FALSE
2022,NBA,Indiana Pacers,IND,FALSE
2022,NBA,Los Angeles Clippers,LAC,FALSE
2022,NBA,Los Angeles Lakers,LAL,FALSE
2022,NBA,Memphis Grizzlies,MEM,TRUE
2022,NBA,Miami Heat,MIA,TRUE
2022,NBA,Milwaukee Bucks,MIL,TRUE
2022,NBA,Minnesota Timberwolves,MIN,TRUE
2022,NBA,New Orleans Pelicans,NOP,TRUE
2022,NBA,New York Knicks,NYK,FALSE
2022,NBA,Oklahoma City Thunder,OKC,FALSE
2022,NBA,Orlando Magic,ORL,FALSE
2022,NBA,Philadelphia 76ers,PHI,TRUE
2022,NBA,Phoenix Suns,PHO,TRUE
2022,NBA,Portland Trail Blazers,POR,FALSE
2022,NBA,Sacramento Kings,SAC,FALSE
2022,NBA,San Antonio Spurs,SAS,FALSE
2022,NBA,Toronto Raptors,TOR,TRUE
2022,NBA,Utah Jazz,UTA,TRUE
2022,NBA,Washington Wizards,WAS,FALSE
2021,NBA,Atlanta Hawks,ATL,TRUE
2021,NBA,Boston Celtics,BOS,TRUE
2021,NBA,Brooklyn Nets,BRK,TRUE
2021,NBA,Chicago Bulls,CHI,FALSE
2021,NBA,Charlotte Hornets,CHO,FALSE
2021,NBA,Cleveland Cavaliers,CLE,FALSE
2021,NBA,Dallas Mavericks,DAL,TRUE
2021,NBA,Denver Nuggets,DEN,TRUE
2021,NBA,Detroit Pistons,DET,FALSE
2021,NBA,Golden State Warriors,GSW,FALSE
2021,NBA,Houston Rockets,HOU,FALSE
2021,NBA,Indiana Pacers,IND,FALSE
2021,NBA,Los Angeles Clippers,LAC,TRUE
2021,NBA,Los Angeles Lakers,LAL,TRUE
2021,NBA,Memphis Grizzlies,MEM,TRUE
2021,NBA,Miami Heat,MIA,TRUE
2021,NBA,Milwaukee Bucks,MIL,TRUE
2021,NBA,Minnesota Timberwolves,MIN,FALSE
2021,NBA,New Orleans Pelicans,NOP,FALSE
2021,NBA,New York Knicks,NYK,TRUE
2021,NBA,Oklahoma City Thunder,OKC,FALSE
2021,NBA,Orlando Magic,ORL,FALSE
2021,NBA,Philadelphia 76ers,PHI,TRUE
2021,NBA,Phoenix Suns,PHO,TRUE
2021,NBA,Portland Trail Blazers,POR,TRUE
2021,NBA,Sacramento Kings,SAC,FALSE
2021,NBA,San Antonio Spurs,SAS,FALSE
2021,NBA,Toronto Raptors,TOR,FALSE
2021,NBA,Utah Jazz,UTA,TRUE
2021,NBA,Washington Wizards,WAS,TRUE
2020,NBA,Atlanta Hawks,ATL,FALSE
2020,NBA,Boston Celtics,BOS,TRUE
2020,NBA,Brooklyn Nets,BRK,TRUE
2020,NBA,Chicago Bulls,CHI,FALSE
2020,NBA,Charlotte Hornets,CHO,FALSE
2020,NBA,Cleveland Cavaliers,CLE,FALSE
2020,NBA,Dallas Mavericks,DAL,TRUE
2020,NBA,Denver Nuggets,DEN,TRUE
2020,NBA,Detroit Pistons,DET,FALSE
2020,NBA,Golden State Warriors,GSW,FALSE
2020,NBA,Houston Rockets,HOU,TRUE
2020,NBA,Indiana Pacers,IND,TRUE
2020,NBA,Los Angeles Clippers,LAC,TRUE
2020,NBA,Los Angeles Lakers,LAL,TRUE
2020,NBA,Memphis Grizzlies,MEM,FALSE
2020,NBA,Miami Heat,MIA,TRUE
2020,NBA,Milwaukee Bucks,MIL,TRUE
2020,NBA,Minnesota Timberwolves,MIN,FALSE
2020,NBA,New Orleans Pelicans,NOP,FALSE
2020,NBA,New York Knicks,NYK,FALSE
2020,NBA,Oklahoma City Thunder,OKC,TRUE
2020,NBA,Orlando Magic,ORL,TRUE
2020,NBA,Philadelphia 76ers,PHI,TRUE
2020,NBA,Phoenix Suns,PHO,FALSE
2020,NBA,Portland Trail Blazers,POR,TRUE
2020,NBA,Sacramento Kings,SAC,FALSE
2020,NBA,San Antonio Spurs,SAS,FALSE
2020,NBA,Toronto Raptors,TOR,TRUE
2020,NBA,Utah Jazz,UTA,TRUE
2020,NBA,Washington Wizards,WAS,FALSE
2019,NBA,Atlanta Hawks,ATL,FALSE
2019,NBA,Boston Celtics,BOS,TRUE
2019,NBA,Brooklyn Nets,BRK,TRUE
2019,NBA,Chicago Bulls,CHI,FALSE
2019,NBA,Charlotte Hornets,CHO,FALSE
2019,NBA,Cleveland Cavaliers,CLE,FALSE
2019,NBA,Dallas Mavericks,DAL,FALSE
2019,NBA,Denver Nuggets,DEN,TRUE
2019,NBA,Detroit Pistons,DET,TRUE
2019,NBA,Golden State Warriors,GSW,TRUE
2019,NBA,Houston Rockets,HOU,TRUE
2019,NBA,Indiana Pacers,IND,TRUE
2019,NBA,Los Angeles Clippers,LAC,TRUE
2019,NBA,Los Angeles Lakers,LAL,FALSE
2019,NBA,Memphis Grizzlies,MEM,FALSE
2019,NBA,Miami Heat,MIA,FALSE
2019,NBA,Milwaukee Bucks,MIL,TRUE
2019,NBA,Minnesota Timberwolves,MIN,FALSE
2019,NBA,New Orleans Pelicans,NOP,FALSE
2019,NBA,New York Knicks,NYK,FALSE
2019,NBA,Oklahoma City Thunder,OKC,TRUE
2019,NBA,Orlando Magic,ORL,TRUE
2019,NBA,Philadelphia 76ers,PHI,TRUE
2019,NBA,Phoenix Suns,PHO,FALSE
2019,NBA,Portland Trail Blazers,POR,TRUE
2019,NBA,Sacramento Kings,SAC,FALSE
2019,NBA,San Antonio Spurs,SAS,TRUE
2019,NBA,Toronto Raptors,TOR,TRUE
2019,NBA,Utah Jazz,UTA,TRUE
2019,NBA,Washington Wizards,WAS,FALSE
2018,NBA,Atlanta Hawks,ATL,FALSE
2018,NBA,Boston Celtics,BOS,TRUE
2018,NBA,Brooklyn Nets,BRK,FALSE
2018,NBA,Chicago Bulls,CHI,FALSE
2018,NBA,Charlotte Hornets,CHO,FALSE
2018,NBA,Cleveland Cavaliers,CLE,TRUE
2018,NBA,Dallas Mavericks,DAL,FALSE
2018,NBA,Denver Nuggets,DEN,FALSE
2018,NBA,Detroit Pistons,DET,FALSE
2018,NBA,Golden State Warriors,GSW,TRUE
2018,NBA,Houston Rockets,HOU,TRUE
2018,NBA,Indiana Pacers,IND,TRUE
2018,NBA,Los Angeles Clippers,LAC,FALSE
2018,NBA,Los Angeles Lakers,LAL,FALSE
2018,NBA,Memphis Grizzlies,MEM,FALSE
2018,NBA,Miami Heat,MIA,TRUE
2018,NBA,Milwaukee Bucks,MIL,TRUE
2018,NBA,Minnesota Timberwolves,MIN,TRUE
2018,NBA,New Orleans Pelicans,NOP,TRUE
2018,NBA,New York Knicks,NYK,FALSE
2018,NBA,Oklahoma City Thunder,OKC,TRUE
2018,NBA,Orlando Magic,ORL,FALSE
2018,NBA,Philadelphia 76ers,PHI,TRUE
2018,NBA,Phoenix Suns,PHO,FALSE
2018,NBA,Portland Trail Blazers,POR,TRUE
2018,NBA,Sacramento Kings,SAC,FALSE
2018,NBA,San Antonio Spurs,SAS,TRUE
2018,NBA,Toronto Raptors,TOR,TRUE
2018,NBA,Utah Jazz,UTA,TRUE
2018,NBA,Washington Wizards,WAS,TRUE
2017,NBA,Atlanta Hawks,ATL,TRUE
2017,NBA,Boston Celtics,BOS,TRUE
2017,NBA,Brooklyn Nets,BRK,FALSE
2017,NBA,Chicago Bulls,CHI,TRUE
2017,NBA,Charlotte Hornets,CHO,FALSE
2017,NBA,Cleveland Cavaliers,CLE,TRUE
2017,NBA,Dallas Mavericks,DAL,FALSE
2017,NBA,Denver Nuggets,DEN,FALSE
2017,NBA,Detroit Pistons,DET,FALSE
2017,NBA,Golden State Warriors,GSW,TRUE
2017,NBA,Houston Rockets,HOU,TRUE
2017,NBA,Indiana Pacers,IND,TRUE
2017,NBA,Los Angeles Clippers,LAC,TRUE
2017,NBA,Los Angeles Lakers,LAL,FALSE
2017,NBA,Memphis Grizzlies,MEM,TRUE
2017,NBA,Miami Heat,MIA,FALSE
2017,NBA,Milwaukee Bucks,MIL,TRUE
2017,NBA,Minnesota Timberwolves,MIN,FALSE
2017,NBA,New Orleans Pelicans,NOP,FALSE
2017,NBA,New York Knicks,NYK,FALSE
2017,NBA,Oklahoma City Thunder,OKC,TRUE
2017,NBA,Orlando Magic,ORL,FALSE
2017,NBA,Philadelphia 76ers,PHI,FALSE
2017,NBA,Phoenix Suns,PHO,FALSE
2017,NBA,Portland Trail Blazers,POR,TRUE
2017,NBA,Sacramento Kings,SAC,FALSE
2017,NBA,San Antonio Spurs,SAS,TRUE
2017,NBA,Toronto Raptors,TOR,TRUE
2017,NBA,Utah Jazz,UTA,TRUE
2017,NBA,Washington Wizards,WAS,TRUE
2016,NBA,Atlanta Hawks,ATL,TRUE
2016,NBA,Boston Celtics,BOS,TRUE
2016,NBA,Brooklyn Nets,BRK,FALSE
2016,NBA,Chicago Bulls,CHI,FALSE
2016,NBA,Charlotte Hornets,CHO,TRUE
2016,NBA,Cleveland Cavaliers,CLE,TRUE
2016,NBA,Dallas Mavericks,DAL,TRUE
2016,NBA,Denver Nuggets,DEN,FALSE
2016,NBA,Detroit Pistons,DET,TRUE
2016,NBA,Golden State Warriors,GSW,TRUE
2016,NBA,Houston Rockets,HOU,TRUE
2016,NBA,Indiana Pacers,IND,TRUE
2016,NBA,Los Angeles Clippers,LAC,TRUE
2016,NBA,Los Angeles Lakers,LAL,FALSE
2016,NBA,Memphis Grizzlies,MEM,TRUE
2016,NBA,Miami Heat,MIA,TRUE
2016,NBA,Milwaukee Bucks,MIL,FALSE
2016,NBA,Minnesota Timberwolves,MIN,FALSE
2016,NBA,New Orleans Pelicans,NOP,FALSE
2016,NBA,New York Knicks,NYK,FALSE
2016,NBA,Oklahoma City Thunder,OKC,TRUE
2016,NBA,Orlando Magic,ORL,FALSE
2016,NBA,Philadelphia 76ers,PHI,FALSE
2016,NBA,Phoenix Suns,PHO,FALSE
2016,NBA,Portland Trail Blazers,POR,TRUE
2016,NBA,Sacramento Kings,SAC,FALSE
2016,NBA,San Antonio Spurs,SAS,TRUE
2016,NBA,Toronto Raptors,TOR,TRUE
2016,NBA,Utah Jazz,UTA,FALSE
2016,NBA,Washington Wizards,WAS,FALSE
2015,NBA,Atlanta Hawks,ATL,TRUE
2015,NBA,Boston Celtics,BOS,TRUE
2015,NBA,Brooklyn Nets,BRK,TRUE
2015,NBA,Chicago Bulls,CHI,TRUE
2015,NBA,Charlotte Hornets,CHO,FALSE
2015,NBA,Cleveland Cavaliers,CLE,TRUE
2015,NBA,Dallas Mavericks,DAL,TRUE
2015,NBA,Denver Nuggets,DEN,FALSE
2015,NBA,Detroit Pistons,DET,FALSE
2015,NBA,Golden State Warriors,GSW,TRUE
2015,NBA,Houston Rockets,HOU,TRUE
2015,NBA,Indiana Pacers,IND,FALSE
2015,NBA,Los Angeles Clippers,LAC,TRUE
2015,NBA,Los Angeles Lakers,LAL,FALSE
2015,NBA,Memphis Grizzlies,MEM,TRUE
2015,NBA,Miami Heat,MIA,FALSE
2015,NBA,Milwaukee Bucks,MIL,TRUE
2015,NBA,Minnesota Timberwolves,MIN,FALSE
2015,NBA,New Orleans Pelicans,NOP,TRUE
2015,NBA,New York Knicks,NYK,FALSE
2015,NBA,Oklahoma City Thunder,OKC,FALSE
2015,NBA,Orlando Magic,ORL,FALSE
2015,NBA,Philadelphia 76ers,PHI,FALSE
2015,NBA,Phoenix Suns,PHO,FALSE
2015,NBA,Portland Trail Blazers,POR,TRUE
2015,NBA,Sacramento Kings,SAC,FALSE
2015,NBA,San Antonio Spurs,SAS,TRUE
2015,NBA,Toronto Raptors,TOR,TRUE
2015,NBA,Utah Jazz,UTA,FALSE
2015,NBA,Washington Wizards,WAS,TRUE
2014,NBA,Atlanta Hawks,ATL,TRUE
2014,NBA,Boston Celtics,BOS,FALSE
2014,NBA,Brooklyn Nets,BRK,TRUE
2014,NBA,Charlotte Bobcats,CHA,TRUE
2014,NBA,Chicago Bulls,CHI,TRUE
2014,NBA,Cleveland Cavaliers,CLE,FALSE
2014,NBA,Dallas Mavericks,DAL,TRUE
2014,NBA,Denver Nuggets,DEN,FALSE
2014,NBA,Detroit Pistons,DET,FALSE
2014,NBA,Golden State Warriors,GSW,TRUE
2014,NBA,Houston Rockets,HOU,TRUE
2014,NBA,Indiana Pacers,IND,TRUE
2014,NBA,Los Angeles Clippers,LAC,TRUE
2014,NBA,Los Angeles Lakers,LAL,FALSE
2014,NBA,Memphis Grizzlies,MEM,TRUE
2014,NBA,Miami Heat,MIA,TRUE
2014,NBA,Milwaukee Bucks,MIL,FALSE
2014,NBA,Minnesota Timberwolves,MIN,FALSE
2014,NBA,New Orleans Pelicans,NOP,FALSE
2014,NBA,New York Knicks,NYK,FALSE
2014,NBA,Oklahoma City Thunder,OKC,TRUE
2014,NBA,Orlando Magic,ORL,FALSE
2014,NBA,Philadelphia 76ers,PHI,FALSE
2014,NBA,Phoenix Suns,PHO,FALSE
2014,NBA,Portland Trail Blazers,POR,TRUE
2014,NBA,Sacramento Kings,SAC,FALSE
2014,NBA,San Antonio Spurs,SAS,TRUE
2014,NBA,Toronto Raptors,TOR,TRUE
2014,NBA,Utah Jazz,UTA,FALSE
2014,NBA,Washington Wizards,WAS,TRUE
2013,NBA,Atlanta Hawks,ATL,TRUE
2013,NBA,Boston Celtics,BOS,TRUE
2013,NBA,Brooklyn Nets,BRK,TRUE
2013,NBA,Charlotte Bobcats,CHA,FALSE
2013,NBA,Chicago Bulls,CHI,TRUE
2013,NBA,Cleveland Cavaliers,CLE,FALSE
2013,NBA,Dallas Mavericks,DAL,FALSE
2013,NBA,Denver Nuggets,DEN,TRUE
2013,NBA,Detroit Pistons,DET,FALSE
2013,NBA,Golden State Warriors,GSW,TRUE
2013,NBA,Houston Rockets,HOU,TRUE
2013,NBA,Indiana Pacers,IND,TRUE
2013,NBA,Los Angeles Clippers,LAC,TRUE
2013,NBA,Los Angeles Lakers,LAL,TRUE
2013,NBA,Memphis Grizzlies,MEM,TRUE
2013,NBA,Miami Heat,MIA,TRUE
2013,NBA,Milwaukee Bucks,MIL,TRUE
2013,NBA,Minnesota Timberwolves,MIN,FALSE
2013,NBA,New Orleans Hornets,NOH,FALSE
2013,NBA,New York Knicks,NYK,TRUE
2013,NBA,Oklahoma City Thunder,OKC,TRUE
2013,NBA,Orlando Magic,ORL,FALSE
2013,NBA,Philadelphia 76ers,PHI,FALSE
2013,NBA,Phoenix Suns,PHO,FALSE
2013,NBA,Portland Trail Blazers,POR,FALSE
2013,NBA,Sacramento Kings,SAC,FALSE
2013,NBA,San Antonio Spurs,SAS,TRUE
2013,NBA,Toronto Raptors,TOR,FALSE
2013,NBA,Utah Jazz,UTA,FALSE
2013,NBA,Washington Wizards,WAS,FALSE
2012,NBA,Atlanta Hawks,ATL,TRUE
2012,NBA,Boston Celtics,BOS,TRUE
2012,NBA,Charlotte Bobcats,CHA,FALSE
2012,NBA,Chicago Bulls,CHI,TRUE
2012,NBA,Cleveland Cavaliers,CLE,FALSE
2012,NBA,Dallas Mavericks,DAL,TRUE
2012,NBA,Denver Nuggets,DEN,TRUE
2012,NBA,Detroit Pistons,DET,FALSE
2012,NBA,Golden State Warriors,GSW,FALSE
2012,NBA,Houston Rockets,HOU,FALSE
2012,NBA,Indiana Pacers,IND,TRUE
2012,NBA,Los Angeles Clippers,LAC,TRUE
2012,NBA,Los Angeles Lakers,LAL,TRUE
2012,NBA,Memphis Grizzlies,MEM,TRUE
2012,NBA,Miami Heat,MIA,TRUE
2012,NBA,Milwaukee Bucks,MIL,FALSE
2012,NBA,Minnesota Timberwolves,MIN,FALSE
2012,NBA,New Jersey Nets,NJN,FALSE
2012,NBA,New Orleans Hornets,NOH,FALSE
2012,NBA,New York Knicks,NYK,TRUE
2012,NBA,Oklahoma City Thunder,OKC,TRUE
2012,NBA,Orlando Magic,ORL,TRUE
2012,NBA,Philadelphia 76ers,PHI,TRUE
2012,NBA,Phoenix Suns,PHO,FALSE
2012,NBA,Portland Trail Blazers,POR,FALSE
2012,NBA,Sacramento Kings,SAC,FALSE
2012,NBA,San Antonio Spurs,SAS,TRUE
2012,NBA,Toronto Raptors,TOR,FALSE
2012,NBA,Utah Jazz,UTA,TRUE
2012,NBA,Washington Wizards,WAS,FALSE
2011,NBA,Atlanta Hawks,ATL,TRUE
2011,NBA,Boston Celtics,BOS,TRUE
2011,NBA,Charlotte Bobcats,CHA,FALSE
2011,NBA,Chicago Bulls,CHI,TRUE
2011,NBA,Cleveland Cavaliers,CLE,FALSE
2011,NBA,Dallas Mavericks,DAL,TRUE
2011,NBA,Denver Nuggets,DEN,TRUE
2011,NBA,Detroit Pistons,DET,FALSE
2011,NBA,Golden State Warriors,GSW,FALSE
2011,NBA,Houston Rockets,HOU,FALSE
2011,NBA,Indiana Pacers,IND,TRUE
2011,NBA,Los Angeles Clippers,LAC,FALSE
2011,NBA,Los Angeles Lakers,LAL,TRUE
2011,NBA,Memphis Grizzlies,MEM,TRUE
2011,NBA,Miami Heat,MIA,TRUE
2011,NBA,Milwaukee Bucks,MIL,FALSE
2011,NBA,Minnesota Timberwolves,MIN,FALSE
2011,NBA,New Jersey Nets,NJN,FALSE
2011,NBA,New Orleans Hornets,NOH,TRUE
2011,NBA,New York Knicks,NYK,TRUE
2011,NBA,Oklahoma City Thunder,OKC,TRUE
2011,NBA,Orlando Magic,ORL,TRUE
2011,NBA,Philadelphia 76ers,PHI,TRUE
2011,NBA,Phoenix Suns,PHO,FALSE
2011,NBA,Portland Trail Blazers,POR,TRUE
2011,NBA,Sacramento Kings,SAC,FALSE
2011,NBA,San Antonio Spurs,SAS,TRUE
2011,NBA,Toronto Raptors,TOR,FALSE
2011,NBA,Utah Jazz,UTA,FALSE
2011,NBA,Washington Wizards,WAS,FALSE
2010,NBA,Atlanta Hawks,ATL,TRUE
2010,NBA,Boston Celtics,BOS,TRUE
2010,NBA,Charlotte Bobcats,CHA,TRUE
2010,NBA,Chicago Bulls,CHI,TRUE
2010,NBA,Cleveland Cavaliers,CLE,TRUE
2010,NBA,Dallas Mavericks,DAL,TRUE
2010,NBA,Denver Nuggets,DEN,TRUE
2010,NBA,Detroit Pistons,DET,FALSE
2010,NBA,Golden State Warriors,GSW,FALSE
2010,NBA,Houston Rockets,HOU,FALSE
2010,NBA,Indiana Pacers,IND,FALSE
2010,NBA,Los Angeles Clippers,LAC,FALSE
2010,NBA,Los Angeles Lakers,LAL,TRUE
2010,NBA,Memphis Grizzlies,MEM,FALSE
2010,NBA,Miami Heat,MIA,TRUE
2010,NBA,Milwaukee Bucks,MIL,TRUE
2010,NBA,Minnesota Timberwolves,MIN,FALSE
2010,NBA,New Jersey Nets,NJN,FALSE
2010,NBA,New Orleans Hornets,NOH,FALSE
2010,NBA,New York Knicks,NYK,FALSE
2010,NBA,Oklahoma City Thunder,OKC,TRUE
2010,NBA,Orlando Magic,ORL,TRUE
2010,NBA,Philadelphia 76ers,PHI,FALSE
2010,NBA,Phoenix Suns,PHO,TRUE
2010,NBA,Portland Trail Blazers,POR,TRUE
2010,NBA,Sacramento Kings,SAC,FALSE
2010,NBA,San Antonio Spurs,SAS,TRUE
2010,NBA,Toronto Raptors,TOR,FALSE
2010,NBA,Utah Jazz,UTA,TRUE
2010,NBA,Washington Wizards,WAS,FALSE
2009,NBA,Atlanta Hawks,ATL,TRUE
2009,NBA,Boston Celtics,BOS,TRUE
2009,NBA,Charlotte Bobcats,CHA,FALSE
2009,NBA,Chicago Bulls,CHI,TRUE
2009,NBA,Cleveland Cavaliers,CLE,TRUE
2009,NBA,Dallas Mavericks,DAL,TRUE
2009,NBA,Denver Nuggets,DEN,TRUE
2009,NBA,Detroit Pistons,DET,TRUE
2009,NBA,Golden State Warriors,GSW,FALSE
2009,NBA,Houston Rockets,HOU,TRUE
2009,NBA,Indiana Pacers,IND,FALSE
2009,NBA,Los Angeles Clippers,LAC,FALSE
2009,NBA,Los Angeles Lakers,LAL,TRUE
2009,NBA,Memphis Grizzlies,MEM,FALSE
2009,NBA,Miami Heat,MIA,TRUE
2009,NBA,Milwaukee Bucks,MIL,FALSE
2009,NBA,Minnesota Timberwolves,MIN,FALSE
2009,NBA,New Jersey Nets,NJN,FALSE
2009,NBA,New Orleans Hornets,NOH,TRUE
2009,NBA,New York Knicks,NYK,FALSE
2009,NBA,Oklahoma City Thunder,OKC,FALSE
2009,NBA,Orlando Magic,ORL,TRUE
2009,NBA,Philadelphia 76ers,PHI,TRUE
2009,NBA,Phoenix Suns,PHO,FALSE
2009,NBA,Portland Trail Blazers,POR,TRUE
2009,NBA,Sacramento Kings,SAC,FALSE
2009,NBA,San Antonio Spurs,SAS,TRUE
2009,NBA,Toronto Raptors,TOR,FALSE
2009,NBA,Utah Jazz,UTA,TRUE
2009,NBA,Washington Wizards,WAS,FALSE
2008,NBA,Atlanta Hawks,ATL,TRUE
2008,NBA,Boston Celtics,BOS,TRUE
2008,NBA,Charlotte Bobcats,CHA,FALSE
2008,NBA,Chicago Bulls,CHI,FALSE
2008,NBA,Cleveland Cavaliers,CLE,TRUE
2008,NBA,Dallas Mavericks,DAL,TRUE
2008,NBA,Denver Nuggets,DEN,TRUE
2008,NBA,Detroit Pistons,DET,TRUE
2008,NBA,Golden State Warriors,GSW,FALSE
2008,NBA,Houston Rockets,HOU,TRUE
2008,NBA,Indiana Pacers,IND,FALSE
2008,NBA,Los Angeles Clippers,LAC,FALSE
2008,NBA,Los Angeles Lakers,LAL,TRUE
2008,NBA,Memphis Grizzlies,MEM,FALSE
2008,NBA,Miami Heat,MIA,FALSE
2008,NBA,Milwaukee Bucks,MIL,FALSE
2008,NBA,Minnesota Timberwolves,MIN,FALSE
2008,NBA,New Jersey Nets,NJN,FALSE
2008,NBA,New Orleans Hornets,NOH,TRUE
2008,NBA,New York Knicks,NYK,FALSE
2008,NBA,Orlando Magic,ORL,TRUE
2008,NBA,Philadelphia 76ers,PHI,TRUE
2008,NBA,Phoenix Suns,PHO,TRUE
2008,NBA,Portland Trail Blazers,POR,FALSE
2008,NBA,Sacramento Kings,SAC,FALSE
2008,NBA,San Antonio Spurs,SAS,TRUE
2008,NBA,Seattle SuperSonics,SEA,FALSE
2008,NBA,Toronto Raptors,TOR,TRUE
2008,NBA,Utah Jazz,UTA,TRUE
2008,NBA,Washington Wizards,WAS,TRUE
2007,NBA,Atlanta Hawks,ATL,FALSE
2007,NBA,Boston Celtics,BOS,FALSE
2007,NBA,Charlotte Bobcats,CHA,FALSE
2007,NBA,Chicago Bulls,CHI,TRUE
2007,NBA,Cleveland Cavaliers,CLE,TRUE
2007,NBA,Dallas Mavericks,DAL,TRUE
2007,NBA,Denver Nuggets,DEN,TRUE
