season,lg,team,abbreviation,playoffs,g,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss
2024,NBA,Houston Rockets,HOU,FALSE,3,745,39.4,89.7,0.439,9.7,33,0.293,29.7,56.7,0.524,12.7,18.3,0.691,9.3,29.4,38.7,23.7,6.7,3,14.7,23.4,101.1
2024,NBA,Indiana Pacers,IND,FALSE,3,720,45.2,94.6,0.478,15.2,41,0.37,30,53.6,0.56,14.8,17.4,0.852,10.3,36.8,47.1,32.3,6.5,5.5,11.9,21.6,120.4
2024,NBA,Los Angeles Clippers,LAC,FALSE,4,960,44.2,85.7,0.516,14.8,35.1,0.423,29.4,50.6,0.58,15.8,21.7,0.727,9.4,33.3,42.7,25.9,10.9,5.4,16.3,20.7,119
2024,NBA,Los Angeles Lakers,LAL,FALSE,4,985,39.2,85,0.462,9.2,31.5,0.292,30,53.5,0.561,18.9,24.5,0.772,7.7,35.6,43.3,24.7,7.3,6.1,13.6,19.4,106.5
2024,NBA,Memphis Grizzlies,MEM,FALSE,4,960,38,87.4,0.435,13.4,39,0.344,24.6,48.5,0.508,13.9,17.8,0.781,9,33.4,42.4,22.9,9,6.3,15.6,20.7,103.3
2024,NBA,Miami Heat,MIA,FALSE,4,960,38.4,90.1,0.427,12.5,32.3,0.386,25.9,57.7,0.449,17,21.1,0.807,10.9,33.6,44.5,24.7,8.1,3.1,12.5,16.8,106.3
2024,NBA,Milwaukee Bucks,MIL,FALSE,3,720,40.3,82.5,0.488,12.7,36.1,0.351,27.6,46.5,0.594,20.5,27.9,0.733,9.4,31.2,40.6,21.4,8.8,3.9,16.9,22.1,113.7
2024,NBA,Minnesota Timberwolves,MIN,FALSE,3,720,40.9,92.5,0.442,12.1,32.9,0.367,28.8,59.7,0.483,11.1,15.1,0.733,11.1,38.2,49.3,24.8,7.4,5.7,14.8,16.1,104.9
2024,NBA,New Orleans Pelicans,NOP,FALSE,3,720,39.2,87.9,0.445,11,34.5,0.317,28.2,53.4,0.528,13.3,21.2,0.625,9.6,34.8,44.5,21.6,8,4.3,14.9,20.2,102.5
2024,NBA,New York Knicks,NYK,FALSE,4,960,38,91.9,0.413,14.7,39.5,0.372,23.3,52.4,0.444,17.2,24.5,0.701,14.4,35.9,50.4,23,8.6,2.5,15.2,19.5,107.8
2024,NBA,Oklahoma City Thunder,OKC,FALSE,4,960,41.1,84.6,0.485,12.6,31.2,0.405,28.4,53.4,0.532,16.8,20.5,0.819,5.9,34.4,40.3,23.5,7.7,6.9,14.6,17.1,111.6
2024,NBA,Orlando Magic,ORL,FALSE,4,960,39.3,87.2,0.45,9.9,32.4,0.307,29.3,54.8,0.535,19.4,27.8,0.697,11.7,35.7,47.4,23.5,9.4,4.3,14.5,20.9,107.8
2024,NBA,Philadelphia 76ers,PHI,FALSE,3,720,41.7,83.3,0.5,12.4,30.6,0.407,29.2,52.8,0.554,24.2,29.9,0.809,8.1,36.3,44.4,26.2,8.7,9.4,14.1,22.2,120
2024,NBA,Phoenix Suns,PHO,FALSE,4,960,40.3,85,0.474,11.9,34.6,0.343,28.4,50.4,0.564,17,20.5,0.831,9.9,37.3,47.2,24.5,7.4,5.9,18,19.8,109.4
2024,NBA,Portland Trail Blazers,POR,FALSE,4,960,39.1,92.1,0.425,9.5,33.3,0.285,29.7,58.8,0.504,15.9,19.2,0.827,14.6,31.5,46.1,18.9,8.2,5.4,16.9,22.8,103.6
2024,NBA,Sacramento Kings,SAC,FALSE,3,745,42.5,93,0.457,14.9,43.1,0.345,27.6,49.9,0.553,16.7,22.6,0.74,9.6,31.6,41.2,25.7,6.8,5.6,11.2,21.4,116.6
2024,NBA,San Antonio Spurs,SAS,FALSE,4,985,39,83.9,0.465,11.6,34.7,0.333,27.4,49.1,0.558,15.1,20.3,0.744,8.3,30,38.3,26.2,9,5.7,17.5,18.9,104.7
2024,NBA,Toronto Raptors,TOR,FALSE,4,985,37.8,88.8,0.425,11,33,0.333,26.8,55.8,0.48,13,18.8,0.693,10.8,36.3,47,24.8,7.3,5.5,15.5,20.8,99.6
2024,NBA,Utah Jazz,UTA,FALSE,4,960,41.7,95,0.439,12.1,36.1,0.336,29.6,58.9,0.502,15.7,20.7,0.756,16.4,32.8,49.3,26.5,6.3,3.3,15.2,21.5,111.1
2024,NBA,Washington Wizards,WAS,FALSE,3,720,39,87.5,0.446,11.4,33.6,0.34,27.6,53.9,0.512,18.4,24.4,0.753,10.5,30.8,41.2,24.7,8.6,5.7,13,12.4,107.8
2023,NBA,Atlanta Hawks,ATL,FALSE,82,19855,43.9,90.9,0.483,10.6,30.1,0.352,33.3,60.9,0.548,18.2,22.2,0.818,11,32.6,43.7,24.6,7,4.8,12.7,18.5,116.6
2023,NBA,Boston Celtics,BOS,FALSE,82,19980,42.2,88.8,0.475,16,42.6,0.377,26.2,46.2,0.567,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,118
2023,NBA,Brooklyn Nets,BRK,FALSE,82,19730,42,86.3,0.487,13,34.3,0.378,29.1,52,0.559,17.9,22.4,0.8,8.3,32.8,41.1,25.9,7.2,6.3,13.9,21.4,115
2023,NBA,Chicago Bulls,CHI,FALSE,82,19905,42.7,87.1,0.49,10.4,29,0.361,32.2,58.1,0.555,17.7,21.9,0.809,8.5,34,42.5,24.5,7.9,4.5,13.4,19,113.5
2023,NBA,Charlotte Hornets,CHO,FALSE,82,19830,40.6,89,0.457,10.6,32,0.33,30.1,56.9,0.528,17.4,23.2,0.749,10.8,33,43.8,24.7,7.6,5.1,14,19.9,109.2
2023,NBA,Cleveland Cavaliers,CLE,FALSE,82,19880,43,88.1,0.488,12,32.7,0.367,31,55.4,0.559,18.2,23.3,0.78,10,32.5,42.5,25.8,7.4,4.8,13.8,19.7,116.1
2023,NBA,Dallas Mavericks,DAL,FALSE,82,19930,40.9,86.2,0.475,15.5,41.9,0.371,25.4,44.2,0.574,19.4,25.7,0.755,7.8,31.9,39.7,23.4,6.4,3.8,12.5,21.2,116.8
2023,NBA,Denver Nuggets,DEN,FALSE,82,19755,44.2,87.8,0.504,12,31.7,0.379,32.3,56.1,0.575,17.1,22.7,0.751,10.3,33.4,43.7,29.3,7.7,4.6,14.8,18.9,117.6
2023,NBA,Detroit Pistons,DET,FALSE,82,19805,39.7,87.4,0.454,11.4,32.5,0.351,28.3,54.8,0.516,19.9,25.8,0.771,11.2,31.4,42.6,23.1,7,3.8,15.1,22.2,110.7
2023,NBA,Golden State Warriors,GSW,FALSE,82,19830,42.1,88,0.479,16.2,42.2,0.385,25.9,45.9,0.564,15.6,19.7,0.794,10.3,33.3,43.6,29.1,7,3.8,15.9,20.9,116.1
2023,NBA,Houston Rockets,HOU,FALSE,82,19755,40.9,89.4,0.457,10.5,32.1,0.327,30.3,57.3,0.53,19.2,25.5,0.754,13.5,33.1,46.6,22.5,7.4,4.6,16.3,20.6,111.4
2023,NBA,Indiana Pacers,IND,FALSE,82,19755,41.4,88.3,0.469,13.4,36.4,0.367,28,51.8,0.54,18.4,23.4,0.79,10,30.9,40.9,26.6,7.6,5.7,14.7,20.9,114.6
2023,NBA,Los Angeles Clippers,LAC,FALSE,82,19830,41.6,87.2,0.477,12.9,33.8,0.381,28.8,53.4,0.539,18.9,24.2,0.781,9.9,33.9,43.8,24.2,7.2,4.5,14.4,19.7,115
2023,NBA,Los Angeles Lakers,LAL,FALSE,82,19880,41.9,87,0.482,10.5,30.5,0.346,31.4,56.5,0.555,20.2,26,0.775,9.7,34.9,44.7,24.7,6.3,4.5,13.8,17.5,114.5
2023,NBA,Memphis Grizzlies,MEM,FALSE,82,19780,43,90.6,0.475,11.8,33.7,0.351,31.2,56.9,0.548,17.2,23.5,0.733,11.9,34,45.9,25.6,8.2,5.7,13.4,19.7,115.1
2023,NBA,Miami Heat,MIA,FALSE,82,19805,40.5,88,0.46,12.3,35.9,0.344,28.1,52.1,0.54,19.7,23.7,0.831,10,31.9,41.9,24.6,8.2,3.1,13.9,19.1,113
2023,NBA,Milwaukee Bucks,MIL,FALSE,82,19830,42.2,89.2,0.473,14.7,39.8,0.368,27.5,49.4,0.557,16.4,22.1,0.743,11,37,48,25.5,6.3,4.9,14.4,17.8,115.4
2023,NBA,Minnesota Timberwolves,MIN,FALSE,82,19830,42.1,85.9,0.49,11.9,32.7,0.365,30.2,53.1,0.568,17.6,23.3,0.755,9,32.2,41.1,25.7,7.9,5.3,15.1,21.2,113.7
2023,NBA,New Orleans Pelicans,NOP,FALSE,82,19855,42.1,87.6,0.48,11,30.1,0.364,31.1,57.5,0.541,19.3,24.4,0.793,10.6,33.2,43.7,25.9,8.3,4.1,14.6,20.5,114.4
2023,NBA,New York Knicks,NYK,FALSE,82,19955,42.6,90.7,0.47,12.8,36.3,0.354,29.8,54.5,0.547,19.7,25.8,0.761,12.8,34.6,47.3,23.3,6.5,4.2,13.2,20.6,117.8
2023,NBA,Oklahoma City Thunder,OKC,FALSE,82,19855,42.3,90.8,0.465,11.9,33.5,0.356,30.4,57.3,0.53,18.8,23.3,0.809,11.2,31.6,42.8,23.9,8.1,4.1,12.8,20.6,115.2
2023,NBA,Orlando Magic,ORL,FALSE,82,19780,40.6,86.4,0.47,10.8,31.2,0.346,29.8,55.3,0.539,19.6,25,0.784,10.2,33.1,43.3,23.3,7.4,4.7,15.1,20.2,111.6
2023,NBA,Philadelphia 76ers,PHI,FALSE,82,19880,41.7,85.6,0.487,12.9,33.3,0.387,28.8,52.3,0.551,21.4,25.6,0.835,8.9,32.9,41.8,25.7,7.9,4.8,14,20.9,117.7
2023,NBA,Phoenix Suns,PHO,FALSE,82,19780,42.7,91.3,0.467,12.4,33,0.374,30.3,58.2,0.52,17.4,22,0.793,12,32.8,44.8,27.6,7.2,5.3,13.7,21.5,115.1
2023,NBA,Portland Trail Blazers,POR,FALSE,82,19730,40.9,86.4,0.474,13,35.7,0.365,27.9,50.7,0.55,19.9,24.9,0.796,9.6,31.5,41,24.5,6.8,4.6,14.6,20.3,114.8
2023,NBA,Sacramento Kings,SAC,FALSE,82,19830,43.1,87.3,0.494,13.6,36.9,0.369,29.5,50.3,0.586,19.6,24.8,0.79,9.4,32.6,42,27,6.9,3.3,13.3,19.5,119.4
2023,NBA,San Antonio Spurs,SAS,FALSE,82,19855,42,90.3,0.465,10.8,31.4,0.345,31.2,58.9,0.529,15.4,20.7,0.743,11.5,31.1,42.6,26.5,6.8,3.8,14.9,19.4,110.2
2023,NBA,Toronto Raptors,TOR,FALSE,82,19805,42.9,93.5,0.459,11,32.8,0.335,31.9,60.7,0.525,18.8,24,0.784,13,31,44,24.5,9.6,5.3,11.9,20.5,115.5
2023,NBA,Utah Jazz,UTA,FALSE,82,19805,42,88.8,0.473,13.2,37.4,0.353,28.8,51.4,0.56,18.5,23.6,0.786,11.7,33.7,45.4,25.7,6,5.2,15.2,20.2,115.8
2023,NBA,Washington Wizards,WAS,FALSE,82,19755,42.6,87.9,0.485,11.4,32.1,0.356,31.2,55.8,0.559,17.8,22.7,0.785,9.5,34.6,44.1,25.7,6.9,5.2,14.3,19,114.4
2022,NBA,Atlanta Hawks,ATL,TRUE,82,19705,42.4,90.3,0.47,13.2,35.2,0.374,29.2,55.1,0.531,18.5,22.8,0.812,10.3,34.7,45,25.2,7.3,4.3,12.1,19.1,116.5
2022,NBA,Boston Celtics,BOS,TRUE,82,19905,41.7,89.5,0.466,13.5,38,0.356,28.2,51.5,0.547,17.4,21.4,0.816,10.8,36.4,47.2,25.4,7.4,6,14,19,114.4
2022,NBA,Brooklyn Nets,BRK,TRUE,82,19755,42.2,89,0.475,11.5,31.9,0.361,30.7,57,0.538,17.6,21.9,0.805,10.4,34.3,44.7,25.4,7.1,5.5,14.1,20.5,113.6
2022,NBA,Chicago Bulls,CHI,TRUE,82,19730,42.3,88.2,0.48,10.8,29.3,0.369,31.6,58.9,0.535,17.8,21.9,0.813,8.8,34.2,42.9,24.2,7.2,4.2,13,19.1,113.2
2022,NBA,Charlotte Hornets,CHO,FALSE,82,19880,42.3,90.5,0.468,13.8,37.8,0.365,28.5,52.7,0.542,15.7,21.2,0.74,10.7,33.4,44.1,27.8,8.5,4.9,13.1,19.7,114.1
2022,NBA,Cleveland Cavaliers,CLE,FALSE,82,19730,41.2,87.8,0.469,12.1,34,0.355,29.1,53.8,0.541,17.4,22.9,0.76,10.6,35.3,45.9,26.1,7.3,4.3,14.9,18.1,111.9
2022,NBA,Dallas Mavericks,DAL,TRUE,82,19755,41,88.9,0.461,13.7,39,0.35,27.4,49.9,0.548,17.1,22.2,0.771,9.7,35.3,44.9,24.4,7,4.1,13.1,20.5,112.8
2022,NBA,Denver Nuggets,DEN,TRUE,82,19805,42.3,87.7,0.483,12.9,36.5,0.353,29.4,51.2,0.575,17,21.4,0.795,9.3,35.5,44.8,28.2,7.3,3.8,14.7,20.3,114.5
2022,NBA,Detroit Pistons,DET,FALSE,82,19780,38.6,89.6,0.431,11.4,35,0.326,27.2,54.6,0.498,17.4,22.3,0.782,11.1,32.4,43.5,23.7,7.8,4.8,14.3,22.2,106
2022,NBA,Golden State Warriors,GSW,TRUE,82,19730,41.1,87.6,0.469,14.5,39.9,0.364,26.5,47.6,0.557,15.8,20.6,0.769,9.9,36.2,46.1,27.5,8.9,4.6,15.1,21.3,112.5
2022,NBA,Houston Rockets,HOU,FALSE,82,19755,38.9,85.3,0.456,13.3,38.2,0.349,25.6,47.1,0.543,17.3,24.2,0.713,9.5,32,41.5,23.3,7.2,4.6,16.3,20.4,108.4
2022,NBA,Indiana Pacers,IND,FALSE,82,19880,41.9,90.4,0.463,12.3,35.7,0.344,29.6,54.7,0.541,16.6,21.6,0.768,11.4,32.9,44.3,25.6,7.2,5.6,14.6,20.6,112.6
2022,NBA,Los Angeles Clippers,LAC,FALSE,82,19780,40.7,88.8,0.458,13,34.7,0.374,27.7,54.1,0.512,15.8,19.9,0.793,9.3,35.4,44.7,24.4,7.5,5,13.9,18.9,110.1
2022,NBA,Los Angeles Lakers,LAL,FALSE,82,19980,41,87.3,0.469,11.8,33.9,0.347,29.2,53.4,0.546,16.6,22.6,0.732,9.4,33.9,43.3,23.6,7.5,5.1,14.3,19.8,110.3
2022,NBA,Memphis Grizzlies,MEM,TRUE,82,19780,43.2,93.6,0.461,11.4,32.4,0.353,31.8,61.2,0.519,16.8,23,0.734,14,34.7,48.8,25.8,9.7,6.4,13.1,19.6,114.6
2022,NBA,Miami Heat,MIA,TRUE,82,19855,40.9,87.6,0.467,14,37,0.379,26.9,50.6,0.531,17.8,22.1,0.808,10.2,35,45.2,26.3,7.6,3.3,15,21.2,113.7
2022,NBA,Milwaukee Bucks,MIL,TRUE,82,19755,41.7,89.1,0.468,14,38.3,0.366,27.7,50.8,0.544,17.7,22.9,0.776,10.2,36.3,46.6,23.8,7.6,4,13.4,18.2,115.1
2022,NBA,Minnesota Timberwolves,MIN,TRUE,82,19780,41,89.7,0.457,14.6,40.7,0.358,26.5,49,0.54,17.7,22.8,0.778,11.1,32.5,43.5,25.3,8.7,5.5,14.1,21.5,114.3
2022,NBA,New Orleans Pelicans,NOP,TRUE,82,19755,41.2,90.1,0.457,10.9,32.8,0.332,30.2,57.3,0.528,18.8,23.8,0.789,12.3,34.1,46.3,25.6,8.5,4.1,14.4,20.1,112
2022,NBA,New York Knicks,NYK,FALSE,82,19780,39.1,89.4,0.437,13.7,38.3,0.357,25.4,51.1,0.497,18.6,25,0.744,11.9,35.9,47.8,22.7,7.2,5,13.7,21.1,110.4
2022,NBA,Oklahoma City Thunder,OKC,FALSE,82,19805,38.6,89.9,0.43,12.2,37.7,0.323,26.4,52.2,0.507,15.2,20.1,0.756,10.5,35.5,46,22.4,7.6,4.7,14.1,18.4,104.6
2022,NBA,Orlando Magic,ORL,FALSE,82,19780,38.4,88.5,0.434,12.2,36.9,0.331,26.2,51.6,0.507,15.5,19.7,0.787,9.1,35.3,44.4,23.8,6.8,4.5,14.5,19.7,104.5
2022,NBA,Philadelphia 76ers,PHI,TRUE,82,19805,40.7,87.3,0.466,12,32.8,0.364,28.7,54.4,0.527,20.2,24.6,0.821,8.8,34.9,43.7,24.5,8,5.5,12.9,20,113.5
2022,NBA,Phoenix Suns,PHO,TRUE,82,19730,43.7,90.1,0.485,11.6,31.9,0.364,32.1,58.2,0.551,15.9,19.9,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8
2022,NBA,Portland Trail Blazers,POR,FALSE,82,19730,39.1,88.4,0.442,12.9,37.4,0.346,26.2,51.1,0.513,16.7,21.9,0.76,10.6,32.9,43.5,23.3,8.1,4.5,14.7,21.4,107.8
2022,NBA,Sacramento Kings,SAC,FALSE,82,19805,40.3,87.7,0.46,11.4,33.1,0.344,29,54.7,0.53,17.8,23.2,0.768,9.5,33.2,42.8,23.6,7.1,4.5,14,18.9,109.9
2022,NBA,San Antonio Spurs,SAS,FALSE,82,19805,43,92.1,0.467,11.2,31.8,0.352,31.7,60.3,0.527,15.3,20.3,0.754,10.9,34.1,45,27.7,7.6,4.9,12.6,18,112.4
2022,NBA,Toronto Raptors,TOR,TRUE,82,19855,41.9,94.3,0.445,12.3,35.3,0.349,29.6,58.9,0.503,16.7,22,0.759,13.8,33,46.8,22.8,9.3,4.7,12.9,20.2,112.9
2022,NBA,Utah Jazz,UTA,TRUE,82,19730,41.7,88.5,0.471,14.9,41.4,0.36,26.7,47.1,0.568,18.4,24,0.767,11.1,36.5,47.6,23,7.4,5,14.4,19.4,116.7
2022,NBA,Washington Wizards,WAS,FALSE,82,19830,41.5,88,0.472,10.7,31.3,0.342,30.8,56.7,0.543,17.4,22.2,0.783,9.2,34.9,44.1,25.6,6.5,5.1,13.4,19.3,111.1
2021,NBA,Atlanta Hawks,ATL,TRUE,72,17405,41.5,88.8,0.468,12.6,33.9,0.373,28.9,54.8,0.526,20,24.7,0.812,10.7,35.7,46.4,24.5,7.1,4.8,13.5,19.7,115.7
2021,NBA,Boston Celtics,BOS,TRUE,72,17380,42,90,0.466,13.8,36.8,0.374,28.2,53.2,0.53,16.3,21,0.775,10.8,34,44.8,23.7,7.8,5.4,14.2,20.7,114
2021,NBA,Brooklyn Nets,BRK,TRUE,72,17405,43,87.1,0.494,14.1,36,0.392,28.9,51.1,0.565,18.1,22.5,0.804,8.9,35.5,44.3,26.7,6.7,5.3,13.5,19,118.3
2021,NBA,Chicago Bulls,CHI,FALSE,72,17380,42.3,89,0.476,12.6,34.1,0.37,29.7,54.9,0.542,13.9,17.5,0.791,9.7,35.5,45.1,26.9,6.7,4.2,15.2,19,111.1
2021,NBA,Charlotte Hornets,CHO,FALSE,72,17355,40.4,89,0.455,13.9,37.5,0.369,26.6,51.5,0.517,16.1,21.2,0.761,10.7,33.6,44.3,27.2,7.9,4.8,15,18.3,110.9
2021,NBA,Cleveland Cavaliers,CLE,FALSE,72,17430,39.3,87.4,0.45,10.2,30.3,0.336,29.1,57.1,0.51,17,22.8,0.743,10.6,32.9,43.5,24.3,7.9,4.6,15.8,18.5,105.8
2021,NBA,Dallas Mavericks,DAL,TRUE,72,17305,42.2,89.6,0.47,14.2,39.1,0.362,28,50.5,0.554,16.9,21.7,0.778,9.4,35.1,44.5,23.5,6.4,4.4,12.4,19.9,115.4
2021,NBA,Denver Nuggets,DEN,TRUE,72,17480,44,90.8,0.485,13.1,34.8,0.377,30.9,56,0.552,16,19.9,0.803,10.7,34.5,45.2,27.3,8.2,4.6,13.7,19.4,117.1
2021,NBA,Detroit Pistons,DET,FALSE,72,17430,39.2,86.7,0.452,11.7,33.3,0.351,27.5,53.4,0.515,18,23.7,0.759,9.8,33.5,43.3,24.5,7.5,5.2,15.1,20.8,108
2021,NBA,Golden State Warriors,GSW,FALSE,72,17305,40.3,86.1,0.468,14.2,37.9,0.376,26.1,48.3,0.541,16.2,20.6,0.785,7.8,34.3,42,27,8,4.6,14.7,20.7,111.1
2021,NBA,Houston Rockets,HOU,FALSE,72,17305,38.6,87.1,0.444,13.6,40,0.339,25.1,47.2,0.532,16.3,22,0.74,9.2,32.8,41.9,23.2,7.5,4.9,14.5,19.2,107.1
2021,NBA,Indiana Pacers,IND,FALSE,72,17455,42.2,88.9,0.474,12,33.1,0.364,30.1,55.8,0.54,16,20.2,0.792,8.8,32.8,41.6,26.7,8.3,6.2,13.2,19.7,112.4
2021,NBA,Los Angeles Clippers,LAC,TRUE,72,17280,43.1,89.4,0.482,14.7,35.8,0.411,28.4,53.6,0.529,16.7,19.9,0.839,9.7,35.8,45.5,25.2,7.3,4.2,13.6,19.8,117.6
2021,NBA,Los Angeles Lakers,LAL,TRUE,72,17455,40.8,86.4,0.472,11.1,31.3,0.354,29.7,55,0.539,17.3,23.4,0.739,9.7,34.7,44.4,24.7,7.8,5.4,15.3,19.2,109.9
2021,NBA,Memphis Grizzlies,MEM,TRUE,72,17405,42.4,90.8,0.467,11,31,0.356,31.3,59.8,0.525,16.3,21.1,0.771,11,34.9,46,26.6,9,5,13.1,18.5,112
2021,NBA,Miami Heat,MIA,TRUE,72,17380,40.4,86.2,0.468,13.3,37.2,0.358,27,48.9,0.553,17.2,21.7,0.79,8.3,34.4,42.7,27.1,8.1,4.1,14.5,19.5,111.2
2021,NBA,Milwaukee Bucks,MIL,TRUE,72,17330,43.6,89.6,0.487,14.1,36.2,0.389,29.6,53.4,0.554,15.8,20.9,0.76,10,36.9,46.9,24.9,7.9,4.5,13.5,16.9,117.2
2021,NBA,Minnesota Timberwolves,MIN,FALSE,72,17405,39.8,88.8,0.448,12.8,36.7,0.349,27,52.1,0.518,17.2,22.6,0.761,10.3,32.2,42.5,25,8.6,5.4,13.9,20.4,109.5
2021,NBA,New Orleans Pelicans,NOP,FALSE,72,17430,42.1,88.2,0.477,10.5,30.1,0.348,31.6,58.1,0.544,18.8,25.8,0.729,11.6,35.3,47,25.8,7.5,4.3,14.5,17.8,113.5
2021,NBA,New York Knicks,NYK,TRUE,72,17430,40.7,89.3,0.456,12.2,31,0.392,28.6,58.3,0.49,17,21.6,0.784,10,36.7,46.6,22.1,7.3,5.2,13.4,21.1,110.6
2021,NBA,Oklahoma City Thunder,OKC,FALSE,72,17355,38.3,86.8,0.441,11.7,34.6,0.339,26.5,52.2,0.509,15.2,21,0.725,9.8,35.2,45,21.7,6.9,4.3,15.9,17.9,103.5
2021,NBA,Orlando Magic,ORL,FALSE,72,17330,38.7,90.2,0.429,11,32.1,0.343,27.7,58,0.476,16.8,21.7,0.775,10.5,35.4,45.9,22.1,7,4.5,13,17.4,105.1
2021,NBA,Philadelphia 76ers,PHI,TRUE,72,17430,41.2,86.6,0.476,11.2,30,0.374,30,56.6,0.531,19.5,25.4,0.767,10,34.9,44.9,23.6,9.1,6.2,14.4,20.1,113.2
2021,NBA,Phoenix Suns,PHO,TRUE,72,17480,44,89.8,0.49,13.3,35.2,0.378,30.8,54.6,0.563,15.9,19,0.834,8.9,34.8,43.7,27.4,7.3,4.4,12.7,19.4,117.2
2021,NBA,Portland Trail Blazers,POR,TRUE,72,17305,41.9,92.4,0.453,16,41.4,0.385,25.9,51,0.509,18.1,22,0.823,10.8,34.4,45.2,21.6,7,5.1,11.3,19.2,117.8
2021,NBA,Sacramento Kings,SAC,FALSE,72,17305,42.5,88.5,0.481,12.1,33.3,0.364,30.4,55.2,0.551,16.4,22,0.745,9.3,32,41.3,25.5,7.5,5,13.4,19.4,113.6
2021,NBA,San Antonio Spurs,SAS,FALSE,72,17480,41.8,90.5,0.462,9.9,28.4,0.35,31.9,62.1,0.514,17.4,22,0.792,9.3,34.6,43.8,24.4,7,5.1,11.4,17.9,111
2021,NBA,Toronto Raptors,TOR,FALSE,72,17305,40,89.3,0.448,14.6,39.6,0.368,25.4,49.7,0.512,17.5,21.5,0.815,9.5,32.4,41.9,24.3,8.6,5.4,13.3,21.3,112
2021,NBA,Utah Jazz,UTA,TRUE,72,17355,41.7,89,0.468,16.9,43.5,0.389,24.8,45.6,0.544,17.3,21.7,0.799,10.7,38,48.8,23.9,6.7,5.2,14.4,18.7,117.6
2021,NBA,Washington Wizards,WAS,TRUE,72,17405,41.2,86.7,0.475,9.7,27.7,0.351,31.5,59.1,0.533,19.2,25,0.769,9.2,33.9,43.1,24.3,7,3.9,13.7,20.6,111.2
2020,NBA,Atlanta Hawks,ATL,FALSE,67,16280,39,86.8,0.449,11.5,34.6,0.333,27.4,52.2,0.525,17.7,22.4,0.79,9.5,32,41.5,23,7.5,4.9,15.5,22.2,107.2
2020,NBA,Boston Celtics,BOS,TRUE,72,17430,41.1,89.3,0.461,12.5,34.4,0.364,28.6,54.8,0.522,18.5,23.1,0.801,10.6,35.3,45.9,22.9,8.2,5.6,13.8,21.5,113.3
