season,lg,team,abbreviation,playoffs,g,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
2024,NBA,Los Angeles Clippers,LAC,FALSE,4,240,44.8,86.8,0.516,15,35.5,0.423,29.8,51.3,0.58,16,22,0.727,9.5,33.8,43.3,26.3,11,5.5,16.5,21,120.5
2024,NBA,Los Angeles Lakers,LAL,FALSE,4,246.3,40.5,87.8,0.462,9.5,32.5,0.292,31,55.3,0.561,19.5,25.3,0.772,8,36.8,44.8,25.5,7.5,6.3,14,20,110
2024,NBA,Memphis Grizzlies,MEM,FALSE,4,240,39,89.8,0.435,13.8,40,0.344,25.3,49.8,0.508,14.3,18.3,0.781,9.3,34.3,43.5,23.5,9.3,6.5,16,21.3,106
2024,NBA,Miami Heat,MIA,FALSE,4,240,37.8,88.5,0.427,12.3,31.8,0.386,25.5,56.8,0.449,16.8,20.8,0.807,10.8,33,43.8,24.3,8,3,12.3,16.5,104.5
2024,NBA,Milwaukee Bucks,MIL,FALSE,3,240,41.3,84.7,0.488,13,37,0.351,28.3,47.7,0.594,21,28.7,0.733,9.7,32,41.7,22,9,4,17.3,22.7,116.7
2024,NBA,Minnesota Timberwolves,MIN,FALSE,3,240,40.7,92,0.442,12,32.7,0.367,28.7,59.3,0.483,11,15,0.733,11,38,49,24.7,7.3,5.7,14.7,16,104.3
2024,NBA,New Orleans Pelicans,NOP,FALSE,3,240,39.3,88.3,0.445,11,34.7,0.317,28.3,53.7,0.528,13.3,21.3,0.625,9.7,35,44.7,21.7,8,4.3,15,20.3,103
2024,NBA,New York Knicks,NYK,FALSE,4,240,37.5,90.8,0.413,14.5,39,0.372,23,51.8,0.444,17,24.3,0.701,14.3,35.5,49.8,22.8,8.5,2.5,15,19.3,106.5
2024,NBA,Oklahoma City Thunder,OKC,FALSE,4,240,41.5,85.5,0.485,12.8,31.5,0.405,28.8,54,0.532,17,20.8,0.819,6,34.8,40.8,23.8,7.8,7,14.8,17.3,112.8
2024,NBA,Orlando Magic,ORL,FALSE,4,240,38.5,85.5,0.45,9.8,31.8,0.307,28.8,53.8,0.535,19,27.3,0.697,11.5,35,46.5,23,9.3,4.3,14.3,20.5,105.8
2024,NBA,Philadelphia 76ers,PHI,FALSE,3,240,41.3,82.7,0.5,12.3,30.3,0.407,29,52.3,0.554,24,29.7,0.809,8,36,44,26,8.7,9.3,14,22,119
2024,NBA,Phoenix Suns,PHO,FALSE,4,240,40.8,86,0.474,12,35,0.343,28.8,51,0.564,17.3,20.8,0.831,10,37.8,47.8,24.8,7.5,6,18.3,20,110.8
2024,NBA,Portland Trail Blazers,POR,FALSE,4,240,38.3,90,0.425,9.3,32.5,0.285,29,57.5,0.504,15.5,18.8,0.827,14.3,30.8,45,18.5,8,5.3,16.5,22.3,101.3
2024,NBA,Sacramento Kings,SAC,FALSE,3,248.3,45.7,100,0.457,16,46.3,0.345,29.7,53.7,0.553,18,24.3,0.74,10.3,34,44.3,27.7,7.3,6,12,23,125.3
2024,NBA,San Antonio Spurs,SAS,FALSE,4,246.3,41.3,88.8,0.465,12.3,36.8,0.333,29,52,0.558,16,21.5,0.744,8.8,31.8,40.5,27.8,9.5,6,18.5,20,110.8
2024,NBA,Toronto Raptors,TOR,FALSE,4,246.3,37.8,88.8,0.425,11,33,0.333,26.8,55.8,0.48,13,18.8,0.693,10.8,36.3,47,24.8,7.3,5.5,15.5,20.8,99.5
2024,NBA,Utah Jazz,UTA,FALSE,4,240,41.3,94,0.439,12,35.8,0.336,29.3,58.3,0.502,15.5,20.5,0.756,16.3,32.5,48.8,26.3,6.3,3.3,15,21.3,110
2024,NBA,Washington Wizards,WAS,FALSE,3,240,41,92,0.446,12,35.3,0.34,29,56.7,0.512,19.3,25.7,0.753,11,32.3,43.3,26,9,6,13.7,13,113.3
2024,NBA,League Average,NA,FALSE,4,241.4,41.3,89.8,0.46,12.4,35.3,0.351,28.9,54.5,0.531,16.5,21.7,0.76,10.8,34.5,45.3,25.1,8,5.4,14.9,20,111.5
2023,NBA,Atlanta Hawks,ATL,FALSE,82,242.1,44.6,92.4,0.483,10.8,30.5,0.352,33.9,61.8,0.548,18.5,22.6,0.818,11.2,33.2,44.4,25,7.1,4.9,12.9,18.8,118.4
2023,NBA,Boston Celtics,BOS,FALSE,82,243.7,42.2,88.8,0.475,16,42.6,0.377,26.2,46.2,0.567,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9
2023,NBA,Brooklyn Nets,BRK,FALSE,82,240.6,41.5,85.1,0.487,12.8,33.8,0.378,28.7,51.3,0.559,17.7,22.1,0.8,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4
2023,NBA,Chicago Bulls,CHI,FALSE,82,242.7,42.5,86.8,0.49,10.4,28.9,0.361,32.1,57.9,0.555,17.6,21.8,0.809,8.5,33.9,42.4,24.5,7.9,4.5,13.4,18.9,113.1
2023,NBA,Charlotte Hornets,CHO,FALSE,82,241.8,41.3,90.4,0.457,10.7,32.5,0.33,30.5,57.9,0.528,17.6,23.6,0.749,11,33.5,44.5,25.1,7.7,5.2,14.2,20.3,111
2023,NBA,Cleveland Cavaliers,CLE,FALSE,82,242.4,41.6,85.2,0.488,11.6,31.6,0.367,30,53.6,0.559,17.5,22.5,0.78,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19,112.3
2023,NBA,Dallas Mavericks,DAL,FALSE,82,243,40,84.3,0.475,15.2,41,0.371,24.8,43.3,0.574,19,25.1,0.755,7.6,31.2,38.8,22.9,6.3,3.7,12.2,20.7,114.2
2023,NBA,Denver Nuggets,DEN,FALSE,82,240.9,43.6,86.4,0.504,11.8,31.2,0.379,31.8,55.2,0.575,16.8,22.4,0.751,10.1,32.9,43,28.9,7.5,4.5,14.5,18.6,115.8
2023,NBA,Detroit Pistons,DET,FALSE,82,241.5,39.6,87.1,0.454,11.4,32.4,0.351,28.2,54.6,0.516,19.8,25.7,0.771,11.2,31.3,42.4,23,7,3.8,15.1,22.1,110.3
2023,NBA,Golden State Warriors,GSW,FALSE,82,241.8,43.1,90.2,0.479,16.6,43.2,0.385,26.5,47,0.564,16,20.2,0.794,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9
2023,NBA,Houston Rockets,HOU,FALSE,82,240.9,40.6,88.9,0.457,10.4,31.9,0.327,30.2,56.9,0.53,19.1,25.3,0.754,13.4,32.9,46.3,22.4,7.3,4.6,16.2,20.5,110.7
2023,NBA,Indiana Pacers,IND,FALSE,82,240.9,42,89.6,0.469,13.6,37,0.367,28.4,52.6,0.54,18.7,23.7,0.79,10.1,31.4,41.5,27,7.7,5.8,14.9,21.2,116.3
2023,NBA,Los Angeles Clippers,LAC,FALSE,82,241.8,41.1,86.1,0.477,12.7,33.4,0.381,28.4,52.7,0.539,18.7,23.9,0.781,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,113.6
2023,NBA,Los Angeles Lakers,LAL,FALSE,82,242.4,42.9,89,0.482,10.8,31.2,0.346,32.1,57.8,0.555,20.6,26.6,0.775,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2
2023,NBA,Memphis Grizzlies,MEM,FALSE,82,241.2,43.7,92.1,0.475,12,34.2,0.351,31.7,57.9,0.548,17.5,23.8,0.733,12,34.6,46.6,26,8.3,5.8,13.6,20,116.9
2023,NBA,Miami Heat,MIA,FALSE,82,241.5,39.2,85.3,0.46,12,34.8,0.344,27.3,50.5,0.54,19.1,23,0.831,9.7,30.9,40.6,23.8,8,3,13.5,18.5,109.5
2023,NBA,Milwaukee Bucks,MIL,FALSE,82,241.8,42.7,90.4,0.473,14.8,40.3,0.368,27.9,50.1,0.557,16.6,22.4,0.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9
2023,NBA,Minnesota Timberwolves,MIN,FALSE,82,241.8,42.9,87.4,0.49,12.2,33.3,0.365,30.7,54.1,0.568,17.9,23.7,0.755,9.1,32.8,41.9,26.2,8,5.4,15.3,21.6,115.8
2023,NBA,New Orleans Pelicans,NOP,FALSE,82,242.1,42,87.6,0.48,11,30.1,0.364,31.1,57.5,0.541,19.3,24.4,0.793,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5,114.4
2023,NBA,New York Knicks,NYK,FALSE,82,243.4,42,89.4,0.47,12.6,35.7,0.354,29.4,53.6,0.547,19.4,25.5,0.761,12.6,34,46.6,22.9,6.4,4.1,13,20.3,116
2023,NBA,Oklahoma City Thunder,OKC,FALSE,82,242.1,43.1,92.6,0.465,12.1,34.1,0.356,31,58.5,0.53,19.2,23.7,0.809,11.4,32.3,43.6,24.4,8.2,4.2,13,21,117.5
2023,NBA,Orlando Magic,ORL,FALSE,82,241.2,40.5,86.3,0.47,10.8,31.1,0.346,29.8,55.2,0.539,19.6,25,0.784,10.2,33.1,43.2,23.2,7.4,4.7,15.1,20.1,111.4
2023,NBA,Philadelphia 76ers,PHI,FALSE,82,242.4,40.8,83.8,0.487,12.6,32.6,0.387,28.2,51.2,0.551,21,25.1,0.835,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,115.2
2023,NBA,Phoenix Suns,PHO,FALSE,82,241.2,42.1,90.1,0.467,12.2,32.6,0.374,29.9,57.5,0.52,17.2,21.7,0.793,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2,113.6
2023,NBA,Portland Trail Blazers,POR,FALSE,82,240.6,40.5,85.4,0.474,12.9,35.3,0.365,27.6,50.1,0.55,19.6,24.6,0.796,9.4,31.1,40.5,24.2,6.7,4.6,14.5,20,113.4
2023,NBA,Sacramento Kings,SAC,FALSE,82,241.8,43.6,88.2,0.494,13.8,37.3,0.369,29.8,50.9,0.586,19.8,25.1,0.79,9.5,32.9,42.5,27.3,7,3.4,13.5,19.7,120.7
2023,NBA,San Antonio Spurs,SAS,FALSE,82,242.1,43.1,92.6,0.465,11.1,32.2,0.345,32,60.4,0.529,15.8,21.2,0.743,11.8,31.9,43.7,27.2,7,3.9,15.3,19.9,113
2023,NBA,Toronto Raptors,TOR,FALSE,82,241.5,41.9,91.3,0.459,10.7,32,0.335,31.1,59.3,0.525,18.4,23.4,0.784,12.7,30.3,43,23.9,9.4,5.2,11.7,20,112.9
2023,NBA,Utah Jazz,UTA,FALSE,82,241.5,42.5,89.8,0.473,13.3,37.8,0.353,29.2,52,0.56,18.7,23.8,0.786,11.8,34.1,45.9,26,6.1,5.2,15.4,20.5,117.1
2023,NBA,Washington Wizards,WAS,FALSE,82,240.9,42.1,86.9,0.485,11.3,31.7,0.356,30.9,55.2,0.559,17.6,22.4,0.785,9.4,34.2,43.6,25.4,6.8,5.2,14.1,18.8,113.2
2023,NBA,League Average,NA,FALSE,82,241.8,42,88.3,0.475,12.3,34.2,0.361,29.6,54.1,0.548,18.4,23.5,0.782,10.4,33,43.4,25.3,7.3,4.7,14.1,20,114.7
2022,NBA,Atlanta Hawks,ATL,TRUE,82,240.3,41.5,88.3,0.47,12.9,34.4,0.374,28.6,53.9,0.531,18.1,22.3,0.812,10,33.9,44,24.6,7.2,4.2,11.9,18.7,113.9
2022,NBA,Boston Celtics,BOS,TRUE,82,242.7,40.7,87.4,0.466,13.2,37.1,0.356,27.5,50.3,0.547,17,20.9,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8
2022,NBA,Brooklyn Nets,BRK,TRUE,82,240.9,42,88.4,0.475,11.5,31.7,0.361,30.5,56.7,0.538,17.5,21.7,0.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9
2022,NBA,Chicago Bulls,CHI,TRUE,82,240.6,41.7,86.9,0.48,10.6,28.8,0.369,31.1,58.1,0.535,17.5,21.5,0.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6
2022,NBA,Charlotte Hornets,CHO,FALSE,82,242.4,42.8,91.4,0.468,13.9,38.2,0.365,28.8,53.3,0.542,15.8,21.4,0.74,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3
2022,NBA,Cleveland Cavaliers,CLE,FALSE,82,240.6,39.7,84.6,0.469,11.6,32.8,0.355,28.1,51.9,0.541,16.8,22.1,0.76,10.2,34,44.2,25.2,7.1,4.2,14.4,17.5,107.8
2022,NBA,Dallas Mavericks,DAL,TRUE,82,240.9,39.3,85.1,0.461,13.1,37.4,0.35,26.2,47.8,0.548,16.4,21.2,0.771,9.3,33.8,43,23.4,6.7,4,12.5,19.7,108
2022,NBA,Denver Nuggets,DEN,TRUE,82,241.5,41.7,86.3,0.483,12.7,35.9,0.353,29,50.4,0.575,16.7,21,0.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20,112.7
2022,NBA,Detroit Pistons,DET,FALSE,82,241.2,38.2,88.6,0.431,11.3,34.6,0.326,26.9,54,0.498,17.2,22,0.782,11,32,43,23.5,7.7,4.8,14.2,21.9,104.8
2022,NBA,Golden State Warriors,GSW,TRUE,82,240.6,40.5,86.4,0.469,14.3,39.4,0.364,26.2,47,0.557,15.6,20.3,0.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21,111
2022,NBA,Houston Rockets,HOU,FALSE,82,240.9,39.4,86.4,0.456,13.5,38.7,0.349,25.9,47.7,0.543,17.5,24.5,0.713,9.6,32.4,42,23.6,7.3,4.7,16.5,20.6,109.7
2022,NBA,Indiana Pacers,IND,FALSE,82,242.4,41.4,89.5,0.463,12.2,35.4,0.344,29.3,54.1,0.541,16.4,21.4,0.768,11.3,32.6,43.9,25.4,7.1,5.6,14.4,20.4,111.5
2022,NBA,Los Angeles Clippers,LAC,FALSE,82,241.2,40.1,87.4,0.458,12.8,34.2,0.374,27.3,53.3,0.512,15.5,19.6,0.793,9.1,34.9,44,24,7.4,5,13.7,18.6,108.4
2022,NBA,Los Angeles Lakers,LAL,FALSE,82,243.7,41.6,88.8,0.469,12,34.5,0.347,29.7,54.3,0.546,16.8,23,0.732,9.5,34.5,44,24,7.6,5.2,14.5,20.2,112.1
2022,NBA,Memphis Grizzlies,MEM,TRUE,82,241.2,43.5,94.4,0.461,11.5,32.7,0.353,32,61.7,0.519,17,23.1,0.734,14.1,35,49.2,26,9.8,6.5,13.2,19.8,115.6
2022,NBA,Miami Heat,MIA,TRUE,82,242.1,39.6,84.8,0.467,13.6,35.8,0.379,26,49,0.531,17.3,21.4,0.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110
2022,NBA,Milwaukee Bucks,MIL,TRUE,82,240.9,41.8,89.4,0.468,14.1,38.4,0.366,27.8,51,0.544,17.8,22.9,0.776,10.2,36.5,46.7,23.9,7.6,4,13.4,18.2,115.5
2022,NBA,Minnesota Timberwolves,MIN,TRUE,82,241.2,41.6,91,0.457,14.8,41.3,0.358,26.8,49.7,0.54,18,23.1,0.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9
2022,NBA,New Orleans Pelicans,NOP,TRUE,82,240.9,40.2,88,0.457,10.6,32.1,0.332,29.5,55.9,0.528,18.3,23.2,0.789,12,33.2,45.2,25,8.3,4,14.1,19.7,109.3
2022,NBA,New York Knicks,NYK,FALSE,82,241.2,37.7,86.2,0.437,13.2,36.9,0.357,24.5,49.3,0.497,18,24.1,0.744,11.5,34.6,46.1,21.9,7,4.9,13.3,20.4,106.5
2022,NBA,Oklahoma City Thunder,OKC,FALSE,82,241.5,38.3,89.1,0.43,12.1,37.4,0.323,26.2,51.8,0.507,15,19.9,0.756,10.4,35.2,45.6,22.2,7.6,4.6,14,18.3,103.7
2022,NBA,Orlando Magic,ORL,FALSE,82,241.2,38.3,88.3,0.434,12.2,36.9,0.331,26.1,51.4,0.507,15.5,19.7,0.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2
2022,NBA,Philadelphia 76ers,PHI,TRUE,82,241.5,39.4,84.5,0.466,11.6,31.8,0.364,27.8,52.7,0.527,19.6,23.8,0.821,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9
2022,NBA,Phoenix Suns,PHO,TRUE,82,240.6,43.7,90.1,0.485,11.6,31.9,0.364,32.1,58.2,0.551,15.9,19.9,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8
2022,NBA,Portland Trail Blazers,POR,FALSE,82,240.6,38.5,87.1,0.442,12.7,36.8,0.346,25.8,50.3,0.513,16.4,21.6,0.76,10.4,32.5,42.9,22.9,8,4.5,14.5,21.1,106.2
2022,NBA,Sacramento Kings,SAC,FALSE,82,241.5,40.5,88.1,0.46,11.4,33.2,0.344,29.1,54.9,0.53,17.9,23.3,0.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3
2022,NBA,San Antonio Spurs,SAS,FALSE,82,241.5,43.2,92.7,0.467,11.3,32,0.352,32,60.7,0.527,15.4,20.4,0.754,11,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2
2022,NBA,Toronto Raptors,TOR,TRUE,82,242.1,40.6,91.3,0.445,11.9,34.2,0.349,28.7,57.1,0.503,16.2,21.3,0.759,13.4,32,45.3,22.1,9,4.6,12.5,19.6,109.4
2022,NBA,Utah Jazz,UTA,TRUE,82,240.6,40.6,86.2,0.471,14.5,40.3,0.36,26,45.8,0.568,17.9,23.4,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14,18.9,113.6
2022,NBA,Washington Wizards,WAS,FALSE,82,241.8,40.6,86,0.472,10.5,30.6,0.342,30.1,55.4,0.543,17,21.7,0.783,9,34.1,43.1,25,6.4,5,13.1,18.8,108.6
2022,NBA,League Average,NA,FALSE,82,241.4,40.6,88.1,0.461,12.4,35.2,0.354,28.2,52.9,0.533,16.9,21.9,0.775,10.3,34.1,44.5,24.6,7.6,4.7,13.8,19.6,110.6
2021,NBA,Atlanta Hawks,ATL,TRUE,72,241.7,40.8,87.2,0.468,12.4,33.4,0.373,28.4,53.9,0.526,19.7,24.2,0.812,10.6,35.1,45.6,24.1,7,4.8,13.2,19.3,113.7
2021,NBA,Boston Celtics,BOS,TRUE,72,241.4,41.5,88.9,0.466,13.6,36.4,0.374,27.9,52.5,0.53,16.1,20.8,0.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6
2021,NBA,Brooklyn Nets,BRK,TRUE,72,241.7,43.1,87.3,0.494,14.2,36.1,0.392,29,51.2,0.565,18.1,22.5,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19,118.6
2021,NBA,Chicago Bulls,CHI,FALSE,72,241.4,42.2,88.6,0.476,12.6,34,0.37,29.6,54.6,0.542,13.8,17.5,0.791,9.6,35.3,45,26.8,6.7,4.2,15.1,18.9,110.7
2021,NBA,Charlotte Hornets,CHO,FALSE,72,241,39.9,87.8,0.455,13.7,37,0.369,26.3,50.8,0.517,15.9,20.9,0.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18,109.5
2021,NBA,Cleveland Cavaliers,CLE,FALSE,72,242.1,38.6,85.8,0.45,10,29.7,0.336,28.6,56,0.51,16.7,22.4,0.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8
2021,NBA,Dallas Mavericks,DAL,TRUE,72,240.3,41.1,87.3,0.47,13.8,38.1,0.362,27.3,49.2,0.554,16.5,21.2,0.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4
2021,NBA,Denver Nuggets,DEN,TRUE,72,242.8,43.3,89.2,0.485,12.9,34.2,0.377,30.4,55,0.552,15.7,19.5,0.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1
2021,NBA,Detroit Pistons,DET,FALSE,72,242.1,38.7,85.6,0.452,11.6,32.9,0.351,27.1,52.7,0.515,17.8,23.4,0.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6
2021,NBA,Golden State Warriors,GSW,FALSE,72,240.3,41.3,88.2,0.468,14.6,38.7,0.376,26.7,49.4,0.541,16.6,21.1,0.785,8,35.1,43,27.7,8.2,4.8,15,21.2,113.7
2021,NBA,Houston Rockets,HOU,FALSE,72,240.3,39.3,88.5,0.444,13.8,40.6,0.339,25.5,47.9,0.532,16.5,22.3,0.74,9.3,33.3,42.6,23.6,7.6,5,14.7,19.5,108.8
2021,NBA,Indiana Pacers,IND,FALSE,72,242.4,43.3,91.2,0.474,12.3,34,0.364,30.9,57.3,0.54,16.4,20.7,0.792,9,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3
2021,NBA,Los Angeles Clippers,LAC,TRUE,72,240,41.8,86.7,0.482,14.3,34.7,0.411,27.5,52,0.529,16.2,19.3,0.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114
2021,NBA,Los Angeles Lakers,LAL,TRUE,72,242.4,40.6,86.1,0.472,11.1,31.2,0.354,29.6,54.8,0.539,17.2,23.3,0.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5
2021,NBA,Memphis Grizzlies,MEM,TRUE,72,241.7,42.8,91.8,0.467,11.2,31.4,0.356,31.7,60.4,0.525,16.4,21.3,0.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3
2021,NBA,Miami Heat,MIA,TRUE,72,241.4,39.2,83.7,0.468,12.9,36.2,0.358,26.3,47.5,0.553,16.7,21.1,0.79,8,33.5,41.5,26.3,7.9,4,14.1,18.9,108.1
2021,NBA,Milwaukee Bucks,MIL,TRUE,72,240.7,44.7,91.8,0.487,14.4,37.1,0.389,30.3,54.7,0.554,16.2,21.4,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1
2021,NBA,Minnesota Timberwolves,MIN,FALSE,72,241.7,40.7,90.9,0.448,13.1,37.6,0.349,27.6,53.3,0.518,17.6,23.1,0.761,10.5,33,43.5,25.6,8.8,5.5,14.3,20.9,112.1
2021,NBA,New Orleans Pelicans,NOP,FALSE,72,242.1,42.5,89.1,0.477,10.6,30.4,0.348,31.9,58.6,0.544,19,26.1,0.729,11.7,35.7,47.4,26,7.6,4.4,14.6,18,114.6
2021,NBA,New York Knicks,NYK,TRUE,72,242.1,39.4,86.5,0.456,11.8,30,0.392,27.7,56.4,0.49,16.4,20.9,0.784,9.7,35.5,45.1,21.4,7,5.1,12.9,20.5,107
2021,NBA,Oklahoma City Thunder,OKC,FALSE,72,241,38.8,88,0.441,11.9,35.1,0.339,26.9,52.9,0.509,15.5,21.3,0.725,9.9,35.7,45.6,22.1,7,4.4,16.1,18.1,105
2021,NBA,Orlando Magic,ORL,FALSE,72,240.7,38.3,89.2,0.429,10.9,31.8,0.343,27.4,57.4,0.476,16.6,21.4,0.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104
2021,NBA,Philadelphia 76ers,PHI,TRUE,72,242.1,41.4,86.9,0.476,11.3,30.1,0.374,30.1,56.8,0.531,19.6,25.5,0.767,10,35,45.1,23.7,9.1,6.2,14.4,20.2,113.6
2021,NBA,Phoenix Suns,PHO,TRUE,72,242.8,43.3,88.3,0.49,13.1,34.6,0.378,30.3,53.7,0.563,15.6,18.7,0.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3
2021,NBA,Portland Trail Blazers,POR,TRUE,72,240.3,41.3,91.1,0.453,15.7,40.8,0.385,25.6,50.3,0.509,17.8,21.6,0.823,10.6,33.9,44.5,21.3,6.9,5,11.1,18.9,116.1
2021,NBA,Sacramento Kings,SAC,FALSE,72,240.3,42.6,88.6,0.481,12.1,33.3,0.364,30.5,55.3,0.551,16.4,22,0.745,9.4,32,41.4,25.5,7.5,5,13.4,19.4,113.7
2021,NBA,San Antonio Spurs,SAS,FALSE,72,242.8,41.9,90.5,0.462,9.9,28.4,0.35,31.9,62.1,0.514,17.4,22,0.792,9.3,34.6,43.9,24.4,7,5.1,11.4,18,111.1
2021,NBA,Toronto Raptors,TOR,FALSE,72,240.3,39.7,88.7,0.448,14.5,39.3,0.368,25.3,49.3,0.512,17.4,21.3,0.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3
2021,NBA,Utah Jazz,UTA,TRUE,72,241,41.3,88.1,0.468,16.7,43,0.389,24.5,45.1,0.544,17.2,21.5,0.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4
2021,NBA,Washington Wizards,WAS,TRUE,72,241.7,43.2,90.9,0.475,10.2,29,0.351,33,61.9,0.533,20.1,26.2,0.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6
2021,NBA,League Average,NA,FALSE,72,241.4,41.2,88.4,0.466,12.7,34.6,0.367,28.5,53.8,0.53,17,21.8,0.778,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1
