season,lg,player,player_id,age,team,pos,g,gs,mp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made
2025,NBA,Giannis Antetokounmpo,antetgi01,30,MIL,PF,67,67,2289,0.601,7,0.952,0.511,0.195,0.096,0.15,0.048,0.62,0.773,0.428,0.48,0.439,0.222,0.429,0.5,0.205,243,0.048,0,1,0
2025,NBA,Cole Anthony,anthoco01,24,ORL,PG,67,22,1234,0.424,15.6,0.599,0.129,0.25,0.175,0.044,0.401,0.471,0.714,0.449,0.337,0.417,0.353,0.261,0.766,0.007,2,0.151,0.455,2,0
2025,NBA,OG Anunoby,anunoog01,27,NYK,PF,74,74,2706,0.476,13.5,0.552,0.338,0.123,0.055,0.037,0.448,0.561,0.706,0.349,0.321,0.289,0.372,0.717,0.93,0.14,132,0.45,0.377,1,0
2025,NBA,Armel Traoré,armeltr01,22,LAL,SF,9,0,67,0.316,10.3,0.632,0.474,0.158,0,0,0.368,0.5,0.556,0.333,NA,NA,0,0.833,NA,0.105,2,0.714,0,0,0
2025,NBA,Deni Avdija,avdijde01,24,POR,SF,72,54,2161,0.476,12.9,0.595,0.322,0.219,0.026,0.027,0.405,0.552,0.665,0.416,0.364,0.478,0.365,0.448,0.848,0.027,20,0.181,0.323,1,0
2025,NBA,Deandre Ayton,aytonde01,26,POR,C,40,40,1206,0.566,8.4,0.932,0.344,0.269,0.205,0.113,0.068,0.594,0.82,0.468,0.49,0.396,0.188,0.741,1,0.165,71,0.469,0.067,0,0
2025,NBA,Marvin Bagley III,baglema01,25,2TM,PF,31,2,265,0.519,7.8,0.821,0.5,0.264,0.057,0,0.179,0.598,0.736,0.393,0.333,NA,0.158,0.538,1,0.208,21,0.316,0.167,0,0
2025,NBA,Marvin Bagley III,baglema01,25,WAS,C,19,1,166,0.535,7.2,0.859,0.479,0.31,0.07,0,0.141,0.59,0.765,0.409,0.2,NA,0.2,0.472,1,0.211,14,0.2,0,0,0
2025,NBA,Marvin Bagley III,baglema01,25,MEM,PF,12,1,99,0.486,8.3,0.743,0.543,0.171,0.029,0,0.257,0.615,0.684,0.333,1,NA,0.111,0.688,1,0.2,7,0.444,0.25,0,0
2025,NBA,Marcus Bagley,baglema02,23,PHI,SF,10,4,253,0.391,13.4,0.536,0.391,0.087,0.043,0.014,0.464,0.595,0.704,0.333,0.333,0,0.156,0.545,0.8,0.159,10,0.406,0.308,0,0
2025,NBA,Patrick Baldwin Jr.,baldwpa01,22,2TM,SF,24,0,107,0.543,21.2,0.343,0.229,0.114,0,0,0.657,0.5,0.625,0.25,NA,NA,0.565,0.833,1,0.114,4,0.174,0.75,0,0
2025,NBA,Patrick Baldwin Jr.,baldwpa01,22,WAS,SF,22,0,101,0.515,17.6,0.364,0.242,0.121,0,0,0.636,0.5,0.625,0.25,NA,NA,0.524,0.833,1,0.121,4,0.19,0.75,0,0
2025,NBA,Patrick Baldwin Jr.,baldwpa01,22,LAC,SF,2,0,6,1,24.8,0,0,0,0,0,1,NA,NA,NA,NA,NA,1,NA,1,0,0,0,NA,0,0
2025,NBA,LaMelo Ball,ballla01,23,CHO,PG,47,47,1505,0.405,17.8,0.474,0.138,0.208,0.093,0.035,0.526,0.478,0.601,0.426,0.452,0.371,0.339,0.233,0.62,0.005,4,0.089,0.319,7,0
2025,NBA,Lonzo Ball,balllo01,27,CHI,PG,35,14,777,0.366,23,0.198,0.07,0.058,0.037,0.033,0.802,0.458,0.529,0.5,0.333,0.375,0.344,0.545,0.881,0.021,4,0.221,0.372,4,0
2025,NBA,Mo Bamba,bambamo01,26,2TM,C,32,2,413,0.464,13.3,0.518,0.259,0.214,0.027,0.018,0.482,0.638,0.793,0.458,0.667,0.5,0.278,0.649,1,0.107,10,0.352,0.263,0,0
2025,NBA,Mo Bamba,bambamo01,26,LAC,C,28,2,352,0.466,14.3,0.515,0.252,0.214,0.029,0.019,0.485,0.623,0.769,0.455,0.667,0.5,0.3,0.636,1,0.097,8,0.34,0.294,0,0
2025,NBA,Mo Bamba,bambamo01,26,NOP,C,4,0,61,0.444,12.4,0.556,0.333,0.222,0,0,0.444,0.8,1,0.5,NA,NA,0,0.75,NA,0.222,2,0.5,0,0,0
2025,NBA,Paolo Banchero,banchpa01,22,ORL,PF,46,46,1582,0.452,13.8,0.701,0.213,0.21,0.165,0.114,0.299,0.509,0.691,0.45,0.44,0.375,0.32,0.378,0.494,0.055,40,0.092,0.28,5,0
2025,NBA,Desmond Bane,banede01,26,MEM,SG,69,68,2205,0.484,14.7,0.589,0.188,0.246,0.093,0.063,0.411,0.548,0.712,0.492,0.4,0.5,0.392,0.426,0.634,0.005,5,0.187,0.308,0,0
2025,NBA,Dalano Banton,bantoda01,25,POR,PG,67,7,1120,0.391,14.4,0.562,0.249,0.227,0.059,0.028,0.438,0.442,0.635,0.278,0.333,0.286,0.324,0.373,0.875,0.024,11,0.198,0.409,2,0
2025,NBA,Dominick Barlow,barlodo01,21,ATL,SF,35,4,375,0.531,9.3,0.761,0.416,0.195,0.133,0.018,0.239,0.616,0.766,0.5,0.333,0.5,0.259,0.717,1,0.159,18,0.815,0.182,0,0
2025,NBA,Harrison Barnes,barneha02,32,SAS,PF,82,82,2230,0.508,14.8,0.473,0.25,0.184,0.038,0,0.527,0.591,0.69,0.468,0.538,NA,0.433,0.586,0.981,0.042,29,0.547,0.477,2,0
2025,NBA,Scottie Barnes,barnesc01,23,TOR,PF,65,65,2134,0.446,12.6,0.737,0.219,0.26,0.176,0.082,0.263,0.508,0.687,0.428,0.476,0.356,0.271,0.452,0.737,0.066,60,0.132,0.351,5,0
2025,NBA,RJ Barrett,barrerj01,24,TOR,SF,58,58,1869,0.468,10.9,0.688,0.354,0.273,0.049,0.012,0.312,0.522,0.624,0.392,0.542,0.417,0.35,0.459,0.925,0.032,27,0.229,0.4,1,0
2025,NBA,Charles Bassey,bassech01,24,SAS,C,36,1,376,0.581,3.5,1,0.598,0.299,0.094,0.009,0,0.581,0.614,0.571,0.455,0,NA,0.779,NA,0.325,30,NA,NA,0,0
2025,NBA,Emoni Bates,batesem01,21,CLE,SF,10,0,75,0.342,23.4,0.211,0.105,0,0.053,0.053,0.789,0.25,0.5,NA,0,0,0.367,0,0.909,0,0,0.1,0.667,0,0
2025,NBA,Jamison Battle,battlja01,23,TOR,SF,59,10,1042,0.429,20.4,0.254,0.098,0.075,0.058,0.023,0.746,0.5,0.588,0.385,0.5,0.5,0.405,0.818,0.971,0.02,4,0.394,0.412,0,0
2025,NBA,Nicolas Batum,batumni01,36,LAC,PF,78,8,1367,0.437,22.1,0.147,0.059,0.055,0.008,0.025,0.853,0.457,0.571,0.385,0,0.5,0.433,0.5,0.989,0.021,4,0.478,0.474,0,0
2025,NBA,Damion Baugh,baughda01,24,CHO,SG,15,2,370,0.323,13.7,0.569,0.208,0.323,0.031,0.008,0.431,0.405,0.63,0.286,0.25,0,0.214,0.433,1,0.008,0,0.339,0.105,0,0
2025,NBA,Bradley Beal,bealbr01,31,PHO,SG,53,38,1702,0.497,15.2,0.62,0.159,0.199,0.143,0.12,0.38,0.565,0.764,0.536,0.505,0.422,0.386,0.519,0.873,0.024,16,0.303,0.413,0,0
2025,NBA,Malik Beasley,beaslma01,28,DET,SG,82,18,2283,0.43,20.8,0.285,0.057,0.132,0.055,0.041,0.715,0.466,0.656,0.447,0.356,0.409,0.416,0.634,0.937,0.022,20,0.209,0.531,2,0
2025,NBA,MarJon Beauchamp,beaucma01,24,3TM,SF,35,0,156,0.415,16,0.554,0.215,0.138,0.031,0.169,0.446,0.472,0.786,0.222,0.5,0.273,0.345,0.294,0.7,0.046,2,0.345,0.3,0,0
2025,NBA,MarJon Beauchamp,beaucma01,24,MIL,SF,26,0,122,0.383,16.5,0.553,0.17,0.17,0.043,0.17,0.447,0.423,0.75,0.25,0.5,0.25,0.333,0.182,0.857,0.043,1,0.476,0.3,0,0
2025,NBA,MarJon Beauchamp,beaucma01,24,LAC,SF,3,0,17,0.571,16.7,0.571,0.286,0,0,0.286,0.429,0.5,0.5,NA,NA,0.5,0.667,0.5,0.5,0,0,0,NA,0,0
2025,NBA,MarJon Beauchamp,beaucma01,24,NYK,SF,6,0,17,0.455,14.7,0.545,0.364,0.091,0,0.091,0.455,0.667,1,0,NA,0,0.2,0.5,0,0.091,1,0,NA,0,0
2025,NBA,Reece Beekman,beekmre01,23,2TM,PG,36,4,469,0.327,8.2,0.626,0.215,0.318,0.047,0.047,0.374,0.418,0.609,0.382,0,0.2,0.175,0.464,1,0.009,1,0.4,0.25,0,0
2025,NBA,Reece Beekman,beekmre01,23,GSW,PG,2,0,4,1,3.3,1,0,1,0,0,0,1,NA,1,NA,NA,NA,1,NA,0,0,NA,NA,0,0
2025,NBA,Reece Beekman,beekmre01,23,BRK,PG,34,4,465,0.321,13.1,0.623,0.217,0.311,0.047,0.047,0.377,0.409,0.609,0.364,0,0.2,0.175,0.444,1,0.009,1,0.4,0.25,0,0
2025,NBA,Goga Bitadze,bitadgo01,25,ORL,C,70,42,1430,0.611,4.9,0.917,0.599,0.265,0.035,0.018,0.083,0.656,0.739,0.544,0.333,0.167,0.107,0.676,1,0.289,87,0.214,0,1,0
2025,NBA,Bismack Biyombo,biyombi01,32,SAS,C,28,26,528,0.588,4.4,1,0.465,0.447,0.088,0,0,0.588,0.698,0.569,0.1,NA,NA,0.791,NA,0.123,11,NA,NA,0,0
2025,NBA,Anthony Black,blackan01,21,ORL,PG,78,10,1887,0.423,12,0.685,0.255,0.308,0.071,0.052,0.315,0.471,0.627,0.414,0.25,0.344,0.318,0.435,0.839,0.06,30,0.39,0.395,1,0
2025,NBA,Bogdan Bogdanović,bogdabo01,32,2TM,SG,54,4,1348,0.427,18.7,0.413,0.11,0.128,0.12,0.055,0.587,0.517,0.574,0.476,0.525,0.481,0.363,0.524,0.848,0.002,1,0.208,0.367,1,0
2025,NBA,Bogdan Bogdanović,bogdabo01,32,ATL,SG,24,0,598,0.371,19.1,0.348,0.152,0.076,0.063,0.058,0.652,0.5,0.588,0.353,0.429,0.538,0.301,0.769,0.909,0.004,1,0.267,0.308,0,0
2025,NBA,Bogdan Bogdanović,bogdabo01,32,LAC,SG,30,4,750,0.474,18.3,0.466,0.075,0.172,0.168,0.052,0.534,0.528,0.55,0.522,0.556,0.429,0.427,0.379,0.803,0,0,0.147,0.476,1,0
2025,NBA,Bol Bol,bolbo01,25,PHO,PF,36,10,448,0.525,17.3,0.492,0.098,0.158,0.153,0.082,0.508,0.711,0.833,0.759,0.679,0.533,0.344,0.844,1,0.055,10,0.548,0.353,0,0
2025,NBA,Adem Bona,bonaad01,21,PHI,C,58,11,905,0.703,2.3,0.995,0.755,0.229,0.01,0,0.005,0.707,0.731,0.659,0,NA,0,0.696,NA,0.401,64,1,0,0,0
2025,NBA,Devin Booker,bookede01,28,PHO,SG,75,75,2795,0.461,16.2,0.612,0.109,0.175,0.206,0.123,0.388,0.542,0.69,0.492,0.531,0.5,0.332,0.431,0.716,0.013,14,0.123,0.338,0,0
2025,NBA,Brandon Boston Jr.,bostobr01,23,NOP,SG,42,10,993,0.436,14.9,0.633,0.234,0.11,0.171,0.118,0.367,0.485,0.674,0.262,0.369,0.489,0.35,0.504,0.857,0.066,21,0.229,0.313,0,0
2025,NBA,Chris Boucher,bouchch01,32,TOR,PF,50,0,862,0.492,14.9,0.478,0.292,0.114,0.054,0.019,0.522,0.633,0.75,0.429,0.5,0.429,0.363,0.643,0.986,0.111,32,0.42,0.395,0,0
2025,NBA,Jamaree Bouyea,bouyeja01,25,MIL,PG,5,1,62,0.5,14.2,0.583,0.333,0.167,0.083,0,0.417,0.714,0.75,0.5,1,NA,0.2,0.4,0,0,0,0,NA,0,0
2025,NBA,Tony Bradley,bradlto01,27,IND,C,14,0,113,0.644,4.3,0.933,0.556,0.356,0,0.022,0.067,0.667,0.68,0.625,NA,1,0.333,0.75,1,0.089,4,0.667,0,0,0
2025,NBA,Malaki Branham,branhma01,21,SAS,SG,47,0,427,0.458,15.3,0.558,0.184,0.195,0.126,0.053,0.442,0.5,0.8,0.351,0.333,0.4,0.405,0.509,0.941,0.026,4,0.19,0.438,0,0
2025,NBA,Christian Braun,braunch01,23,DEN,SG,79,77,2675,0.58,9.9,0.727,0.418,0.245,0.027,0.038,0.273,0.648,0.758,0.522,0.409,0.419,0.397,0.762,0.888,0.124,94,0.317,0.352,1,0
2025,NBA,Jalen Bridges,bridgja01,23,PHO,SF,8,0,30,0.286,25.3,0,0,0,0,0,1,NA,NA,NA,NA,NA,0.286,NA,1,0,0,0.429,0.667,0,0
2025,NBA,Mikal Bridges,bridgmi01,28,NYK,SF,82,82,3036,0.5,14.7,0.609,0.185,0.189,0.192,0.042,0.391,0.594,0.785,0.513,0.507,0.52,0.354,0.682,0.957,0.025,28,0.449,0.423,12,0
2025,NBA,Miles Bridges,bridgmi02,26,CHO,PF,64,64,2029,0.431,13.8,0.587,0.242,0.274,0.051,0.02,0.413,0.513,0.712,0.393,0.309,0.273,0.313,0.482,0.908,0.058,55,0.236,0.396,6,0
2025,NBA,Oshae Brissett,brissos01,26,PHI,SF,6,2,142,0.487,13.2,0.538,0.333,0.205,0,0,0.462,0.619,0.692,0.5,NA,NA,0.333,0.615,0.667,0.026,1,0.333,0.333,0,0
2025,NBA,Malcolm Brogdon,brogdma01,32,WAS,PG,24,13,564,0.433,11.5,0.767,0.296,0.242,0.129,0.1,0.233,0.478,0.676,0.362,0.355,0.333,0.286,0.364,0.938,0,0,0.089,0.4,1,0
2025,NBA,Dillon Brooks,brookdi01,29,HOU,SF,75,75,2388,0.429,17.3,0.476,0.127,0.155,0.135,0.058,0.524,0.465,0.544,0.475,0.372,0.481,0.397,0.444,0.962,0.019,15,0.23,0.38,1,0
2025,NBA,Keion Brooks Jr.,brookke02,24,NOP,SF,14,6,332,0.486,13.3,0.606,0.275,0.202,0.11,0.018,0.394,0.591,0.8,0.318,0.5,1,0.326,0.718,1,0.092,8,0.395,0.412,0,0
2025,NBA,Bruce Brown,brownbr01,28,2TM,PG,41,12,922,0.421,11.1,0.738,0.265,0.278,0.172,0.023,0.262,0.452,0.646,0.337,0.358,0.286,0.333,0.65,0.963,0.023,6,0.506,0.39,1,0
2025,NBA,Bruce Brown,brownbr01,28,TOR,PG,18,0,353,0.435,11.2,0.725,0.275,0.267,0.153,0.031,0.275,0.484,0.639,0.371,0.4,0.5,0.306,0.674,1,0.015,2,0.556,0.45,1,0
2025,NBA,Bruce Brown,brownbr01,28,NOP,PG,23,12,569,0.41,11.1,0.747,0.258,0.287,0.185,0.017,0.253,0.429,0.652,0.314,0.333,0,0.356,0.632,0.938,0.028,4,0.467,0.333,0,0
2025,NBA,Jaylen Brown,brownja02,28,BOS,SF,63,63,2158,0.463,13.4,0.68,0.197,0.265,0.145,0.073,0.32,0.529,0.75,0.456,0.407,0.439,0.324,0.386,0.724,0.045,43,0.184,0.439,0,0
2025,NBA,Kobe Brown,brownko01,25,LAC,PF,40,0,272,0.458,11.6,0.639,0.319,0.264,0.056,0,0.361,0.587,0.739,0.526,0,NA,0.231,0.556,1,0.097,6,0.231,0.5,0,0
2025,NBA,Moses Brown,brownmo01,25,2TM,C,13,2,119,0.694,3.2,1,0.612,0.347,0.041,0,0,0.694,0.933,0.353,0,NA,NA,0.647,NA,0.286,14,NA,NA,0,0
2025,NBA,Moses Brown,brownmo01,25,IND,C,9,0,46,0.65,3.3,1,0.65,0.25,0.1,0,0,0.65,0.846,0.4,0,NA,NA,0.615,NA,0.3,6,NA,NA,0,0
2025,NBA,Moses Brown,brownmo01,25,DAL,C,4,2,73,0.724,3,1,0.586,0.414,0,0,0,0.724,1,0.333,NA,NA,NA,0.667,NA,0.276,8,NA,NA,0,0
2025,NBA,Jalen Brunson,brunsja01,28,NYK,PG,65,65,2301,0.488,14.2,0.669,0.149,0.255,0.181,0.084,0.331,0.539,0.676,0.497,0.525,0.455,0.383,0.236,0.461,0,0,0.144,0.404,0,0
2025,NBA,Thomas Bryant,bryanth01,27,2TM,C,66,8,963,0.508,14.9,0.539,0.336,0.14,0.053,0.009,0.461,0.665,0.648,0.667,0.706,1,0.324,0.67,0.979,0.109,29,0.358,0.415,0,0
2025,NBA,Thomas Bryant,bryanth01,27,MIA,C,10,0,115,0.429,16.6,0.393,0.321,0.036,0.036,0,0.607,0.545,0.556,1,0,NA,0.353,0.667,1,0,0,0.176,0.333,0,0
2025,NBA,Thomas Bryant,bryanth01,27,IND,C,56,8,848,0.515,13.3,0.553,0.338,0.15,0.055,0.01,0.447,0.673,0.657,0.659,0.75,1,0.321,0.67,0.976,0.119,29,0.382,0.42,0,0
2025,NBA,Kobe Bufkin,bufkiko01,21,ATL,SG,10,0,124,0.383,14.2,0.596,0.255,0.191,0.106,0.043,0.404,0.5,0.417,0.778,0.2,0.5,0.211,0.429,1,0,0,0.316,0.167,1,0
2025,NBA,Alec Burks,burksal01,33,MIA,SG,49,14,863,0.424,20.8,0.236,0.059,0.1,0.041,0.037,0.764,0.422,0.5,0.296,0.545,0.5,0.425,0.556,0.955,0,0,0.488,0.406,1,0
2025,NBA,Jared Butler,butleja02,24,2TM,SG,60,17,1044,0.448,13.4,0.627,0.196,0.287,0.119,0.026,0.373,0.504,0.663,0.438,0.407,0.417,0.355,0.259,0.783,0,0,0.213,0.472,0,0
2025,NBA,Jared Butler,butleja02,24,WAS,PG,32,0,362,0.483,11.2,0.767,0.233,0.398,0.108,0.034,0.233,0.519,0.707,0.443,0.421,0.333,0.366,0.229,0.733,0,0,0.122,0.4,0,0
2025,NBA,Jared Butler,butleja02,24,PHI,SG,28,17,682,0.426,15.7,0.538,0.173,0.217,0.126,0.022,0.462,0.49,0.625,0.433,0.4,0.5,0.352,0.288,0.8,0,0,0.242,0.484,0,0
2025,NBA,Jimmy Butler,butleji01,35,2TM,SF,55,55,1746,0.504,9,0.826,0.317,0.335,0.127,0.047,0.174,0.546,0.741,0.43,0.487,0.214,0.308,0.554,0.875,0.092,52,0.5,0.385,2,0
2025,NBA,Jimmy Butler,butleji01,35,MIA,PF,25,25,766,0.54,8.1,0.863,0.361,0.335,0.133,0.034,0.137,0.568,0.758,0.432,0.486,0.222,0.361,0.519,0.846,0.099,26,0.583,0.429,1,0
2025,NBA,Jimmy Butler,butleji01,35,GSW,SF,30,30,980,0.476,9.9,0.796,0.281,0.335,0.123,0.057,0.204,0.526,0.723,0.429,0.488,0.211,0.279,0.586,0.895,0.087,26,0.456,0.355,1,0
2025,NBA,Matas Buzelis,buzelma01,20,CHI,SF,80,31,1511,0.454,13.7,0.521,0.305,0.178,0.023,0.014,0.479,0.54,0.633,0.434,0.154,0.5,0.361,0.699,0.979,0.141,65,0.504,0.366,0,0
2025,NBA,Jamal Cain,cainja01,25,NOP,SF,37,0,502,0.43,15.4,0.494,0.19,0.215,0.07,0.019,0.506,0.538,0.767,0.471,0.273,0,0.325,0.595,0.885,0.044,6,0.488,0.308,0,0
2025,NBA,Kentavious Caldwell-Pope,caldwke01,31,ORL,SG,77,77,2279,0.439,19.3,0.393,0.123,0.063,0.064,0.143,0.607,0.589,0.761,0.412,0.543,0.538,0.342,0.698,0.929,0.029,16,0.348,0.339,0,0
2025,NBA,Toumani Camara,camarto01,24,POR,PF,78,78,2548,0.458,14,0.497,0.289,0.198,0.008,0.001,0.503,0.542,0.652,0.401,0.167,0,0.375,0.658,0.956,0.084,49,0.419,0.358,1,0
2025,NBA,Vlatko Čančar,cancavl01,27,DEN,PF,13,0,136,0.385,16.4,0.423,0.231,0.192,0,0,0.577,0.545,0.333,0.8,NA,NA,0.267,0.667,1,0.077,2,0.267,0.5,0,0
2025,NBA,Clint Capela,capelca01,30,ATL,C,55,41,1176,0.559,3,0.997,0.638,0.323,0.033,0.003,0.003,0.56,0.643,0.429,0.308,0,0,0.775,NA,0.262,87,0,NA,0,0
2025,NBA,Branden Carlson,carlsbr01,25,OKC,C,32,0,246,0.443,18.3,0.32,0.186,0.124,0,0.01,0.68,0.677,0.778,0.583,NA,0,0.333,0.524,1,0.124,10,0.273,0.333,0,0
2025,NBA,Bub Carrington,carrica01,19,WAS,PG,82,57,2458,0.401,19.1,0.456,0.102,0.114,0.102,0.139,0.544,0.475,0.553,0.353,0.553,0.462,0.339,0.481,0.667,0.027,18,0.135,0.327,1,0
2025,NBA,Devin Carter,cartede02,22,SAC,PG,36,0,396,0.37,15.6,0.52,0.15,0.268,0.079,0.016,0.48,0.439,0.579,0.412,0.4,0,0.295,0.345,0.778,0.063,8,0.23,0.214,0,0
2025,NBA,Jevon Carter,carteje01,29,CHI,PG,36,1,321,0.377,20.3,0.281,0.103,0.082,0.068,0.027,0.719,0.488,0.533,0.417,0.5,0.5,0.333,0.6,0.743,0.007,1,0.238,0.4,0,0
2025,NBA,Wendell Carter Jr.,cartewe01,25,ORL,C,68,51,1758,0.46,12.1,0.678,0.324,0.196,0.1,0.059,0.322,0.568,0.748,0.417,0.429,0.31,0.234,0.757,1,0.179,78,0.361,0.263,0,0
2025,NBA,D.J. Carton,cartodj01,24,TOR,SG,4,0,33,0.143,13.6,0.571,0.143,0.429,0,0,0.429,0.25,1,0,NA,NA,0,1,NA,0,0,0.333,0,0,0
2025,NBA,Alex Caruso,carusal01,30,OKC,SG,54,3,1041,0.446,15.2,0.459,0.287,0.124,0.025,0.022,0.541,0.556,0.656,0.41,0.5,0.143,0.353,0.688,0.933,0.029,9,0.365,0.419,0,0
2025,NBA,Colin Castleton,castlco01,24,3TM,C,26,4,432,0.469,9.1,0.837,0.337,0.388,0.112,0,0.163,0.537,0.697,0.421,0.455,NA,0.125,0.682,1,0.102,8,0.563,0.111,0,0
2025,NBA,Colin Castleton,castlco01,24,MEM,C,10,0,46,0.2,12.1,0.6,0.3,0.3,0,0,0.4,0.333,0.333,0.333,NA,NA,0,0.5,NA,0,0,0.5,0,0,0
2025,NBA,Colin Castleton,castlco01,24,TOR,C,11,4,288,0.5,7.2,0.875,0.328,0.438,0.109,0,0.125,0.536,0.762,0.357,0.571,NA,0.25,0.733,1,0.125,6,0.625,0.2,0,0
2025,NBA,Colin Castleton,castlco01,24,PHI,C,5,0,98,0.5,7.9,0.833,0.375,0.292,0.167,0,0.167,0.6,0.667,0.714,0.25,NA,0,0.583,NA,0.083,2,0.5,0,0,0
2025,NBA,Stephon Castle,castlst01,20,SAS,PG,81,47,2162,0.428,12.6,0.663,0.311,0.217,0.084,0.052,0.337,0.501,0.655,0.369,0.373,0.333,0.285,0.46,0.789,0.078,69,0.147,0.347,4,0
2025,NBA,Justin Champagnie,champju01,23,WAS,SF,62,31,1340,0.511,13.9,0.53,0.324,0.182,0.022,0,0.47,0.624,0.767,0.413,0.333,NA,0.383,0.566,0.986,0.075,30,0.316,0.377,1,0
2025,NBA,Julian Champagnie,champju02,23,SAS,SF,82,29,1932,0.415,19.3,0.278,0.159,0.095,0.009,0.015,0.722,0.53,0.623,0.381,0.667,0.4,0.371,0.735,0.972,0.047,23,0.302,0.421,1,0
2025,NBA,Ulrich Chomche,chomcul01,19,TOR,PF,7,0,32,0.4,6.9,1,0.4,0.2,0.4,0,0,0.4,0.5,0,0.5,NA,NA,1,NA,0.2,1,NA,NA,0,0
2025,NBA,Cam Christie,chrisca02,19,LAC,SG,13,0,59,0.292,15.9,0.458,0.292,0.125,0,0.042,0.542,0.455,0.429,0.667,NA,0,0.154,0.6,1,0.083,1,0.154,0,0,0
2025,NBA,Josh Christopher,chrisjo01,23,MIA,SG,14,0,69,0.355,11.5,0.645,0.419,0.161,0.065,0,0.355,0.45,0.538,0.2,0.5,NA,0.182,0.556,1,0.097,2,0.182,0,0,0
