player,player_id,team,season,lg,replaced
Stephen Curry,curryst01,Team Giannis,2019,NBA,FALSE
Joel Embiid,embiijo01,Team Giannis,2019,NBA,FALSE
Paul George,georgpa01,Team Giannis,2019,NBA,FALSE
Blake Griffin,griffbl01,Team Giannis,2019,NBA,FALSE
Nikola Jokić,jokicni01,Team Giannis,2019,NBA,FALSE
Kyle Lowry,lowryky01,Team Giannis,2019,NBA,FALSE
Khris Middleton,middlkh01,Team Giannis,2019,NBA,FALSE
Dirk Nowitzki,nowitdi01,Team Giannis,2019,NBA,FALSE
Victor Oladipo,oladivi01,Team Giannis,2019,NBA,TRUE
D'Angelo Russell,russeda01,Team Giannis,2019,NBA,FALSE
Nikola Vučević,vucevni01,Team Giannis,2019,NBA,FALSE
Kemba Walker,walkeke02,Team Giannis,2019,NBA,FALSE
Russell Westbrook,westbru01,Team Giannis,2019,NBA,FALSE
LaMarcus Aldridge,aldrila01,Team LeBron,2019,NBA,FALSE
Bradley Beal,bealbr01,Team LeBron,2019,NBA,FALSE
Anthony Davis,davisan02,Team LeBron,2019,NBA,FALSE
Kevin Durant,duranke01,Team LeBron,2019,NBA,FALSE
James Harden,hardeja01,Team LeBron,2019,NBA,FALSE
Kyrie Irving,irvinky01,Team LeBron,2019,NBA,FALSE
LeBron James,jamesle01,Team LeBron,2019,NBA,FALSE
Kawhi Leonard,leonaka01,Team LeBron,2019,NBA,FALSE
Damian Lillard,lillada01,Team LeBron,2019,NBA,FALSE
Ben Simmons,simmobe01,Team LeBron,2019,NBA,FALSE
Klay Thompson,thompkl01,Team LeBron,2019,NBA,FALSE
Karl-Anthony Towns,townska01,Team LeBron,2019,NBA,FALSE
Dwyane Wade,wadedw01,Team LeBron,2019,NBA,FALSE
LaMarcus Aldridge,aldrila01,Team LeBron,2018,NBA,FALSE
Bradley Beal,bealbr01,Team LeBron,2018,NBA,FALSE
DeMarcus Cousins,couside01,Team LeBron,2018,NBA,TRUE
Anthony Davis,davisan02,Team LeBron,2018,NBA,FALSE
Goran Dragić,dragigo01,Team LeBron,2018,NBA,FALSE
Andre Drummond,drumman01,Team LeBron,2018,NBA,FALSE
Kevin Durant,duranke01,Team LeBron,2018,NBA,FALSE
Paul George,georgpa01,Team LeBron,2018,NBA,FALSE
Kyrie Irving,irvinky01,Team LeBron,2018,NBA,FALSE
LeBron James,jamesle01,Team LeBron,2018,NBA,FALSE
Kevin Love,loveke01,Team LeBron,2018,NBA,TRUE
Victor Oladipo,oladivi01,Team LeBron,2018,NBA,FALSE
Kristaps Porziņģis,porzikr01,Team LeBron,2018,NBA,TRUE
Kemba Walker,walkeke02,Team LeBron,2018,NBA,FALSE
John Wall,walljo01,Team LeBron,2018,NBA,TRUE
Russell Westbrook,westbru01,Team LeBron,2018,NBA,FALSE
Giannis Antetokounmpo,antetgi01,Team Stephen,2018,NBA,FALSE
Jimmy Butler,butleji01,Team Stephen,2018,NBA,TRUE
Stephen Curry,curryst01,Team Stephen,2018,NBA,FALSE
DeMar DeRozan,derozde01,Team Stephen,2018,NBA,FALSE
Joel Embiid,embiijo01,Team Stephen,2018,NBA,FALSE
Draymond Green,greendr01,Team Stephen,2018,NBA,FALSE
James Harden,hardeja01,Team Stephen,2018,NBA,FALSE
Al Horford,horfoal01,Team Stephen,2018,NBA,FALSE
Damian Lillard,lillada01,Team Stephen,2018,NBA,FALSE
Kyle Lowry,lowryky01,Team Stephen,2018,NBA,FALSE
Klay Thompson,thompkl01,Team Stephen,2018,NBA,FALSE
Karl-Anthony Towns,townska01,Team Stephen,2018,NBA,FALSE
Giannis Antetokounmpo,antetgi01,East,2017,NBA,FALSE
Carmelo Anthony,anthoca01,East,2017,NBA,FALSE
Jimmy Butler,butleji01,East,2017,NBA,FALSE
DeMar DeRozan,derozde01,East,2017,NBA,FALSE
Paul George,georgpa01,East,2017,NBA,FALSE
Kyrie Irving,irvinky01,East,2017,NBA,FALSE
LeBron James,jamesle01,East,2017,NBA,FALSE
Kevin Love,loveke01,East,2017,NBA,TRUE
Kyle Lowry,lowryky01,East,2017,NBA,FALSE
Paul Millsap,millspa01,East,2017,NBA,FALSE
Isaiah Thomas,thomais02,East,2017,NBA,FALSE
Kemba Walker,walkeke02,East,2017,NBA,FALSE
John Wall,walljo01,East,2017,NBA,FALSE
DeMarcus Cousins,couside01,West,2017,NBA,FALSE
Stephen Curry,curryst01,West,2017,NBA,FALSE
Anthony Davis,davisan02,West,2017,NBA,FALSE
Kevin Durant,duranke01,West,2017,NBA,FALSE
Marc Gasol,gasolma01,West,2017,NBA,FALSE
Draymond Green,greendr01,West,2017,NBA,FALSE
James Harden,hardeja01,West,2017,NBA,FALSE
Gordon Hayward,haywago01,West,2017,NBA,FALSE
DeAndre Jordan,jordade01,West,2017,NBA,FALSE
Kawhi Leonard,leonaka01,West,2017,NBA,FALSE
Klay Thompson,thompkl01,West,2017,NBA,FALSE
Russell Westbrook,westbru01,West,2017,NBA,FALSE
Carmelo Anthony,anthoca01,East,2016,NBA,FALSE
Chris Bosh,boshch01,East,2016,NBA,TRUE
Jimmy Butler,butleji01,East,2016,NBA,TRUE
DeMar DeRozan,derozde01,East,2016,NBA,FALSE
Andre Drummond,drumman01,East,2016,NBA,FALSE
Pau Gasol,gasolpa01,East,2016,NBA,FALSE
Paul George,georgpa01,East,2016,NBA,FALSE
Al Horford,horfoal01,East,2016,NBA,FALSE
LeBron James,jamesle01,East,2016,NBA,FALSE
Kyle Lowry,lowryky01,East,2016,NBA,FALSE
Paul Millsap,millspa01,East,2016,NBA,FALSE
Isaiah Thomas,thomais02,East,2016,NBA,FALSE
Dwyane Wade,wadedw01,East,2016,NBA,FALSE
John Wall,walljo01,East,2016,NBA,FALSE
LaMarcus Aldridge,aldrila01,West,2016,NBA,FALSE
Kobe Bryant,bryanko01,West,2016,NBA,FALSE
DeMarcus Cousins,couside01,West,2016,NBA,FALSE
Stephen Curry,curryst01,West,2016,NBA,FALSE
Anthony Davis,davisan02,West,2016,NBA,FALSE
Kevin Durant,duranke01,West,2016,NBA,FALSE
Draymond Green,greendr01,West,2016,NBA,FALSE
James Harden,hardeja01,West,2016,NBA,FALSE
Kawhi Leonard,leonaka01,West,2016,NBA,FALSE
Chris Paul,paulch01,West,2016,NBA,FALSE
Klay Thompson,thompkl01,West,2016,NBA,FALSE
Russell Westbrook,westbru01,West,2016,NBA,FALSE
Carmelo Anthony,anthoca01,East,2015,NBA,FALSE
Chris Bosh,boshch01,East,2015,NBA,FALSE
Jimmy Butler,butleji01,East,2015,NBA,FALSE
Pau Gasol,gasolpa01,East,2015,NBA,FALSE
Al Horford,horfoal01,East,2015,NBA,FALSE
Kyrie Irving,irvinky01,East,2015,NBA,FALSE
LeBron James,jamesle01,East,2015,NBA,FALSE
Kyle Korver,korveky01,East,2015,NBA,FALSE
Kyle Lowry,lowryky01,East,2015,NBA,FALSE
Paul Millsap,millspa01,East,2015,NBA,FALSE
Jeff Teague,teaguje01,East,2015,NBA,FALSE
Dwyane Wade,wadedw01,East,2015,NBA,TRUE
John Wall,walljo01,East,2015,NBA,FALSE
LaMarcus Aldridge,aldrila01,West,2015,NBA,FALSE
Kobe Bryant,bryanko01,West,2015,NBA,TRUE
DeMarcus Cousins,couside01,West,2015,NBA,FALSE
Stephen Curry,curryst01,West,2015,NBA,FALSE
Anthony Davis,davisan02,West,2015,NBA,TRUE
Tim Duncan,duncati01,West,2015,NBA,FALSE
Kevin Durant,duranke01,West,2015,NBA,FALSE
Marc Gasol,gasolma01,West,2015,NBA,FALSE
Blake Griffin,griffbl01,West,2015,NBA,TRUE
James Harden,hardeja01,West,2015,NBA,FALSE
Damian Lillard,lillada01,West,2015,NBA,FALSE
Dirk Nowitzki,nowitdi01,West,2015,NBA,FALSE
Chris Paul,paulch01,West,2015,NBA,FALSE
Klay Thompson,thompkl01,West,2015,NBA,FALSE
Russell Westbrook,westbru01,West,2015,NBA,FALSE
Carmelo Anthony,anthoca01,East,2014,NBA,FALSE
Chris Bosh,boshch01,East,2014,NBA,FALSE
DeMar DeRozan,derozde01,East,2014,NBA,FALSE
Paul George,georgpa01,East,2014,NBA,FALSE
Roy Hibbert,hibbero01,East,2014,NBA,FALSE
Kyrie Irving,irvinky01,East,2014,NBA,FALSE
LeBron James,jamesle01,East,2014,NBA,FALSE
Joe Johnson,johnsjo02,East,2014,NBA,FALSE
Paul Millsap,millspa01,East,2014,NBA,FALSE
Joakim Noah,noahjo01,East,2014,NBA,FALSE
Dwyane Wade,wadedw01,East,2014,NBA,FALSE
John Wall,walljo01,East,2014,NBA,FALSE
LaMarcus Aldridge,aldrila01,West,2014,NBA,FALSE
Kobe Bryant,bryanko01,West,2014,NBA,TRUE
Stephen Curry,curryst01,West,2014,NBA,FALSE
Anthony Davis,davisan02,West,2014,NBA,FALSE
Kevin Durant,duranke01,West,2014,NBA,FALSE
Blake Griffin,griffbl01,West,2014,NBA,FALSE
James Harden,hardeja01,West,2014,NBA,FALSE
Dwight Howard,howardw01,West,2014,NBA,FALSE
Damian Lillard,lillada01,West,2014,NBA,FALSE
Kevin Love,loveke01,West,2014,NBA,FALSE
Dirk Nowitzki,nowitdi01,West,2014,NBA,FALSE
Tony Parker,parketo01,West,2014,NBA,FALSE
Chris Paul,paulch01,West,2014,NBA,FALSE
Carmelo Anthony,anthoca01,East,2013,NBA,FALSE
Chris Bosh,boshch01,East,2013,NBA,FALSE
Tyson Chandler,chandty01,East,2013,NBA,FALSE
Luol Deng,denglu01,East,2013,NBA,FALSE
Kevin Garnett,garneke01,East,2013,NBA,FALSE
Paul George,georgpa01,East,2013,NBA,FALSE
Jrue Holiday,holidjr01,East,2013,NBA,FALSE
Kyrie Irving,irvinky01,East,2013,NBA,FALSE
LeBron James,jamesle01,East,2013,NBA,FALSE
Brook Lopez,lopezbr01,East,2013,NBA,TRUE
Joakim Noah,noahjo01,East,2013,NBA,FALSE
Rajon Rondo,rondora01,East,2013,NBA,TRUE
Dwyane Wade,wadedw01,East,2013,NBA,FALSE
LaMarcus Aldridge,aldrila01,West,2013,NBA,FALSE
Kobe Bryant,bryanko01,West,2013,NBA,FALSE
Tim Duncan,duncati01,West,2013,NBA,FALSE
Kevin Durant,duranke01,West,2013,NBA,FALSE
Blake Griffin,griffbl01,West,2013,NBA,FALSE
James Harden,hardeja01,West,2013,NBA,FALSE
Dwight Howard,howardw01,West,2013,NBA,FALSE
David Lee,leeda02,West,2013,NBA,FALSE
Tony Parker,parketo01,West,2013,NBA,FALSE
Chris Paul,paulch01,West,2013,NBA,FALSE
Zach Randolph,randoza01,West,2013,NBA,FALSE
Russell Westbrook,westbru01,West,2013,NBA,FALSE
Carmelo Anthony,anthoca01,East,2012,NBA,FALSE
Chris Bosh,boshch01,East,2012,NBA,FALSE
Luol Deng,denglu01,East,2012,NBA,FALSE
Roy Hibbert,hibbero01,East,2012,NBA,FALSE
Dwight Howard,howardw01,East,2012,NBA,FALSE
Andre Iguodala,iguodan01,East,2012,NBA,FALSE
LeBron James,jamesle01,East,2012,NBA,FALSE
Joe Johnson,johnsjo02,East,2012,NBA,TRUE
Paul Pierce,piercpa01,East,2012,NBA,FALSE
Rajon Rondo,rondora01,East,2012,NBA,TRUE
Derrick Rose,rosede01,East,2012,NBA,FALSE
Dwyane Wade,wadedw01,East,2012,NBA,FALSE
Deron Williams,willide01,East,2012,NBA,FALSE
LaMarcus Aldridge,aldrila01,West,2012,NBA,FALSE
Kobe Bryant,bryanko01,West,2012,NBA,FALSE
Andrew Bynum,bynuman01,West,2012,NBA,FALSE
Kevin Durant,duranke01,West,2012,NBA,FALSE
Marc Gasol,gasolma01,West,2012,NBA,FALSE
Blake Griffin,griffbl01,West,2012,NBA,FALSE
Kevin Love,loveke01,West,2012,NBA,FALSE
Steve Nash,nashst01,West,2012,NBA,FALSE
Dirk Nowitzki,nowitdi01,West,2012,NBA,FALSE
Tony Parker,parketo01,West,2012,NBA,FALSE
Chris Paul,paulch01,West,2012,NBA,FALSE
Russell Westbrook,westbru01,West,2012,NBA,FALSE
Ray Allen,allenra02,East,2011,NBA,FALSE
Chris Bosh,boshch01,East,2011,NBA,FALSE
Kevin Garnett,garneke01,East,2011,NBA,FALSE
Al Horford,horfoal01,East,2011,NBA,FALSE
Dwight Howard,howardw01,East,2011,NBA,FALSE
LeBron James,jamesle01,East,2011,NBA,FALSE
Joe Johnson,johnsjo02,East,2011,NBA,FALSE
Paul Pierce,piercpa01,East,2011,NBA,FALSE
Rajon Rondo,rondora01,East,2011,NBA,FALSE
Derrick Rose,rosede01,East,2011,NBA,FALSE
Amar'e Stoudemire,stoudam01,East,2011,NBA,FALSE
Dwyane Wade,wadedw01,East,2011,NBA,FALSE
Carmelo Anthony,anthoca01,West,2011,NBA,FALSE
Kobe Bryant,bryanko01,West,2011,NBA,FALSE
Tim Duncan,duncati01,West,2011,NBA,FALSE
Kevin Durant,duranke01,West,2011,NBA,FALSE
Pau Gasol,gasolpa01,West,2011,NBA,FALSE
Manu Ginóbili,ginobma01,West,2011,NBA,FALSE
Blake Griffin,griffbl01,West,2011,NBA,FALSE
Kevin Love,loveke01,West,2011,NBA,TRUE
Yao Ming,mingya01,West,2011,NBA,TRUE
Dirk Nowitzki,nowitdi01,West,2011,NBA,FALSE
Chris Paul,paulch01,West,2011,NBA,FALSE
Russell Westbrook,westbru01,West,2011,NBA,FALSE
Deron Williams,willide01,West,2011,NBA,FALSE
Chris Bosh,boshch01,East,2010,NBA,FALSE
Kevin Garnett,garneke01,East,2010,NBA,FALSE
Al Horford,horfoal01,East,2010,NBA,FALSE
Dwight Howard,howardw01,East,2010,NBA,FALSE
Allen Iverson,iversal01,East,2010,NBA,TRUE
LeBron James,jamesle01,East,2010,NBA,FALSE
Joe Johnson,johnsjo02,East,2010,NBA,FALSE
David Lee,leeda02,East,2010,NBA,TRUE
Paul Pierce,piercpa01,East,2010,NBA,FALSE
Rajon Rondo,rondora01,East,2010,NBA,FALSE
Derrick Rose,rosede01,East,2010,NBA,FALSE
Dwyane Wade,wadedw01,East,2010,NBA,FALSE
Gerald Wallace,wallage01,East,2010,NBA,FALSE
Carmelo Anthony,anthoca01,West,2010,NBA,FALSE
Chauncey Billups,billuch01,West,2010,NBA,TRUE
Kobe Bryant,bryanko01,West,2010,NBA,TRUE
Tim Duncan,duncati01,West,2010,NBA,FALSE
Kevin Durant,duranke01,West,2010,NBA,FALSE
Pau Gasol,gasolpa01,West,2010,NBA,FALSE
Chris Kaman,kamanch01,West,2010,NBA,TRUE
Jason Kidd,kiddja01,West,2010,NBA,TRUE
Steve Nash,nashst01,West,2010,NBA,FALSE
Dirk Nowitzki,nowitdi01,West,2010,NBA,FALSE
Chris Paul,paulch01,West,2010,NBA,TRUE
Zach Randolph,randoza01,West,2010,NBA,FALSE
Brandon Roy,roybr01,West,2010,NBA,TRUE
Amar'e Stoudemire,stoudam01,West,2010,NBA,FALSE
Deron Williams,willide01,West,2010,NBA,FALSE
Ray Allen,allenra02,East,2009,NBA,FALSE
Chris Bosh,boshch01,East,2009,NBA,TRUE
Kevin Garnett,garneke01,East,2009,NBA,FALSE
Danny Granger,grangda01,East,2009,NBA,FALSE
Devin Harris,harride01,East,2009,NBA,FALSE
Dwight Howard,howardw01,East,2009,NBA,FALSE
Allen Iverson,iversal01,East,2009,NBA,FALSE
LeBron James,jamesle01,East,2009,NBA,FALSE
Joe Johnson,johnsjo02,East,2009,NBA,FALSE
Rashard Lewis,lewisra02,East,2009,NBA,FALSE
Jameer Nelson,nelsoja01,East,2009,NBA,TRUE
Paul Pierce,piercpa01,East,2009,NBA,FALSE
Dwyane Wade,wadedw01,East,2009,NBA,FALSE
Mo Williams,willima01,East,2009,NBA,TRUE
Chauncey Billups,billuch01,West,2009,NBA,FALSE
Kobe Bryant,bryanko01,West,2009,NBA,FALSE
Tim Duncan,duncati01,West,2009,NBA,FALSE
Pau Gasol,gasolpa01,West,2009,NBA,FALSE
Yao Ming,mingya01,West,2009,NBA,FALSE
Dirk Nowitzki,nowitdi01,West,2009,NBA,FALSE
Shaquille O'Neal,onealsh01,West,2009,NBA,FALSE
Tony Parker,parketo01,West,2009,NBA,FALSE
Chris Paul,paulch01,West,2009,NBA,FALSE
Brandon Roy,roybr01,West,2009,NBA,FALSE
Amar'e Stoudemire,stoudam01,West,2009,NBA,FALSE
David West,westda01,West,2009,NBA,FALSE
Ray Allen,allenra02,East,2008,NBA,TRUE
Chauncey Billups,billuch01,East,2008,NBA,FALSE
Chris Bosh,boshch01,East,2008,NBA,FALSE
Caron Butler,butleca01,East,2008,NBA,TRUE
Kevin Garnett,garneke01,East,2008,NBA,TRUE
Richard Hamilton,hamilri01,East,2008,NBA,FALSE
Dwight Howard,howardw01,East,2008,NBA,FALSE
LeBron James,jamesle01,East,2008,NBA,FALSE
Antawn Jamison,jamisan01,East,2008,NBA,FALSE
Joe Johnson,johnsjo02,East,2008,NBA,FALSE
Jason Kidd,kiddja01,East,2008,NBA,FALSE
Paul Pierce,piercpa01,East,2008,NBA,FALSE
Dwyane Wade,wadedw01,East,2008,NBA,FALSE
Rasheed Wallace,wallara01,East,2008,NBA,TRUE
Carmelo Anthony,anthoca01,West,2008,NBA,FALSE
Carlos Boozer,boozeca01,West,2008,NBA,FALSE
Kobe Bryant,bryanko01,West,2008,NBA,FALSE
Tim Duncan,duncati01,West,2008,NBA,FALSE
Allen Iverson,iversal01,West,2008,NBA,FALSE
Yao Ming,mingya01,West,2008,NBA,FALSE
Steve Nash,nashst01,West,2008,NBA,FALSE
Dirk Nowitzki,nowitdi01,West,2008,NBA,FALSE
Chris Paul,paulch01,West,2008,NBA,FALSE
Brandon Roy,roybr01,West,2008,NBA,FALSE
Amar'e Stoudemire,stoudam01,West,2008,NBA,FALSE
David West,westda01,West,2008,NBA,FALSE
Gilbert Arenas,arenagi01,East,2007,NBA,FALSE
Chauncey Billups,billuch01,East,2007,NBA,FALSE
Chris Bosh,boshch01,East,2007,NBA,FALSE
Caron Butler,butleca01,East,2007,NBA,FALSE
Vince Carter,cartevi01,East,2007,NBA,FALSE
Richard Hamilton,hamilri01,East,2007,NBA,FALSE
Dwight Howard,howardw01,East,2007,NBA,FALSE
LeBron James,jamesle01,East,2007,NBA,FALSE
Joe Johnson,johnsjo02,East,2007,NBA,TRUE
Jason Kidd,kiddja01,East,2007,NBA,TRUE
Jermaine O'Neal,onealje01,East,2007,NBA,FALSE
Shaquille O'Neal,onealsh01,East,2007,NBA,FALSE
Dwyane Wade,wadedw01,East,2007,NBA,FALSE
Ray Allen,allenra02,West,2007,NBA,TRUE
Carmelo Anthony,anthoca01,West,2007,NBA,TRUE
Carlos Boozer,boozeca01,West,2007,NBA,TRUE
Kobe Bryant,bryanko01,West,2007,NBA,FALSE
Tim Duncan,duncati01,West,2007,NBA,FALSE
Kevin Garnett,garneke01,West,2007,NBA,FALSE
Josh Howard,howarjo01,West,2007,NBA,TRUE
Allen Iverson,iversal01,West,2007,NBA,TRUE
Shawn Marion,mariosh01,West,2007,NBA,FALSE
Tracy McGrady,mcgratr01,West,2007,NBA,FALSE
Yao Ming,mingya01,West,2007,NBA,TRUE
Steve Nash,nashst01,West,2007,NBA,TRUE
Dirk Nowitzki,nowitdi01,West,2007,NBA,FALSE
Mehmet Okur ,okurme01,West,2007,NBA,TRUE
