player,player_id,pos,ht_in_in,wt,birth_date,colleges,from,to,debut,hof
Tom Callahan,callato01,G,73,180,1921-06-02,Rockhurst University,1947,1947,1946-11-02T00:00:00Z,FALSE
Ernie Calverley,calveer01,G,70,145,1924-01-30,Rhode Island,1947,1949,1946-11-02T00:00:00Z,FALSE
Don Carlson,carlsdo01,G-F,72,170,1919-03-22,Minnesota,1947,1951,1946-11-02T00:00:00Z,FALSE
Chuck Connors,connoch01,F-C,77,190,1921-04-10,Seton Hall,1947,1948,1946-11-02T00:00:00Z,FALSE
Aubrey Davis,davisau01,G-F,74,175,1921-03-28,Oklahoma Baptist University,1947,1947,1946-11-02T00:00:00Z,FALSE
Bill Davis,davisbi01,F,75,215,1920-10-03,Notre Dame,1947,1947,1946-11-02T00:00:00Z,FALSE
Bob Dille,dillebo01,F,75,190,1917-07-02,Valparaiso,1947,1947,1946-11-02T00:00:00Z,FALSE
Bob Doll,dollbo01,F-C,77,195,1919-08-10,Colorado,1947,1950,1946-11-02T00:00:00Z,FALSE
Bob Duffy,duffybo01,F,76,175,1922-07-05,Tulane,1947,1947,1946-11-02T00:00:00Z,FALSE
Bob Feerick,feeribo01,F-G,75,190,1920-01-02,Santa Clara,1947,1950,1946-11-02T00:00:00Z,FALSE
Warren Fenley,fenlewa01,F,75,190,1922-02-08,Manhattan University,1947,1947,1946-11-02T00:00:00Z,FALSE
Nat Frankel,frankna01,F-G,72,195,1913-11-03,Brooklyn College,1947,1947,1946-11-02T00:00:00Z,FALSE
Chuck Gilmur,gilmuch01,F-C,76,225,1922-08-13,Washington,1947,1951,1946-11-02T00:00:00Z,FALSE
Ben Goldfaden,goldfbe01,F,73,185,1913-09-06,George Washington,1947,1947,1946-11-02T00:00:00Z,FALSE
Pop Goodwin,goodwpo01,F-C,74,203,1920-12-22,NA,1947,1948,1946-11-02T00:00:00Z,FALSE
Wyndol Gray,graywy01,G-F,73,175,1922-03-20,Harvard University,1947,1948,1946-11-02T00:00:00Z,FALSE
Chick Halbert,halbech01,C,81,225,1919-02-27,West Texas A&M University,1947,1951,1946-11-02T00:00:00Z,FALSE
Cecil Hankins,hankice01,G,73,175,1922-01-06,Oklahoma State,1947,1948,1946-11-02T00:00:00Z,FALSE
Mel Hirsch,hirscme01,G,66,165,1921-07-31,Brooklyn College,1947,1947,1946-11-02T00:00:00Z,FALSE
Fred Jacobs,jacobfr01,F,75,175,1922-12-02,Denver,1947,1947,1946-11-02T00:00:00Z,FALSE
John Janisch,janisjo01,F-G,75,200,1920-03-15,Valparaiso,1947,1948,1946-11-02T00:00:00Z,FALSE
Tony Jaros,jarosto01,F-G,75,185,1920-02-22,Minnesota,1947,1951,1946-11-02T00:00:00Z,FALSE
Tony Kappen,kappeto01,G,70,165,1919-04-13,NA,1947,1947,1946-11-02T00:00:00Z,FALSE
Wilbert Kautz,kautzwi01,G-F,72,180,1915-09-07,Loyola Chicago,1947,1947,1946-11-02T00:00:00Z,FALSE
Grady Lewis,lewisgr01,F-C,79,215,1917-03-25,Oklahoma,1947,1949,1946-11-02T00:00:00Z,FALSE
John Logan,loganjo01,G,74,175,1921-01-01,Indiana,1947,1951,1946-11-02T00:00:00Z,FALSE
John Mahnken,mahnkjo01,C,80,220,1922-06-16,Georgetown,1947,1953,1946-11-02T00:00:00Z,FALSE
Press Maravich,maravpr01,G,72,185,1915-08-29,Davis & Elkins College,1947,1947,1946-11-02T00:00:00Z,FALSE
Dino Martin,martidi01,G,68,160,1920-05-25,Georgetown,1947,1948,1946-11-02T00:00:00Z,FALSE
Don Martin,martido01,C-F,79,210,1920-02-07,Central Missouri State University,1947,1949,1946-11-02T00:00:00Z,FALSE
Ariel Maughan,maughar01,F,76,190,1923-02-23,Utah State University,1947,1951,1946-11-02T00:00:00Z,FALSE
Bones McKinney,mckinbo01,F-C,78,185,1919-01-01,UNC,1947,1952,1946-11-02T00:00:00Z,FALSE
George Mearns,mearnge01,F,75,175,1922-04-18,Rhode Island,1947,1948,1946-11-02T00:00:00Z,FALSE
Ed Melvin,melvied01,G,69,170,1916-02-13,Duquesne,1947,1947,1946-11-02T00:00:00Z,FALSE
Stan Miasek,miasest01,C-F,77,210,1923-09-19,NA,1947,1953,1946-11-02T00:00:00Z,FALSE
Red Mihalik,mihalre01,G,72,180,1916-09-22,NA,1947,1947,1946-11-02T00:00:00Z,FALSE
Walt Miller,millewa01,F,74,190,1915-07-20,Duquesne,1947,1947,1946-11-02T00:00:00Z,FALSE
John Mills,millsjo01,C-F,80,203,1919-09-07,Western Kentucky,1947,1947,1946-11-02T00:00:00Z,FALSE
George Munroe,munroge01,G,71,170,1922-01-05,Dartmouth College,1947,1948,1946-11-02T00:00:00Z,FALSE
Al Negratti,negraal01,F-C,75,200,1921-06-12,Seton Hall,1947,1947,1946-11-02T00:00:00Z,FALSE
Johnny Norlander,norlajo01,F,75,180,1921-03-05,Hamline University,1947,1951,1946-11-02T00:00:00Z,FALSE
Stan Noszka,noszkst01,G,73,185,1920-09-09,Duquesne,1947,1949,1946-11-02T00:00:00Z,FALSE
Doyle Parrack,parrado01,F-G,72,165,1921-12-06,Oklahoma State,1947,1947,1946-11-02T00:00:00Z,FALSE
Henry Pearcy,pearche01,G,73,170,1922-07-21,Indiana State University,1947,1947,1946-11-02T00:00:00Z,FALSE
Don Putman,putnado01,G,73,170,1922-11-13,Colorado,1947,1950,1946-11-02T00:00:00Z,FALSE
Mickey Rottner,rottnmi01,G,70,180,1919-03-23,Loyola Chicago,1947,1948,1946-11-02T00:00:00Z,FALSE
Giff Roux,rouxgi01,F-C,77,195,1923-06-28,Kansas,1947,1949,1946-11-02T00:00:00Z,FALSE
Milt Schoon,schoomi01,C,79,230,1922-02-25,Valparaiso,1947,1950,1946-11-02T00:00:00Z,FALSE
Fred Scolari,scolafr01,G,70,180,1922-03-01,San Francisco,1947,1955,1946-11-02T00:00:00Z,FALSE
Jim Seminoff,seminji01,G-F,74,190,1922-09-01,USC,1947,1950,1946-11-02T00:00:00Z,FALSE
Earl Shannon,shannea01,G-F,71,170,1921-11-23,Rhode Island,1947,1949,1946-11-02T00:00:00Z,FALSE
Bob Shea,sheabo01,F,74,194,1924-09-11,Rhode Island,1947,1947,1946-11-02T00:00:00Z,FALSE
Connie Simmons,simmoco01,C-F,80,222,1925-03-15,NA,1947,1956,1946-11-02T00:00:00Z,FALSE
Johnny Simmons,simmojo01,G,73,184,1924-07-07,NYU,1947,1947,1946-11-02T00:00:00Z,FALSE
Deb Smith,smithde01,F,75,180,1920-01-07,Utah,1947,1947,1946-11-02T00:00:00Z,FALSE
Art Spector,spectar01,F,76,200,1918-10-17,Villanova,1947,1950,1946-11-02T00:00:00Z,FALSE
Irv Torgoff,torgoir01,F,74,192,1917-03-06,Long Island University,1947,1949,1946-11-02T00:00:00Z,FALSE
Virgil Vaughn,vaughvi01,F-C,76,205,1918-05-15,Western Kentucky,1947,1947,1946-11-02T00:00:00Z,FALSE
Red Wallace,wallare01,G,73,185,1918-07-12,University of Scranton,1947,1947,1946-11-02T00:00:00Z,FALSE
Max Zaslofsky,zasloma01,G-F,74,170,1925-12-07,St. John's,1947,1956,1946-11-02T00:00:00Z,FALSE
Harry Zeller,zelleha01,C-F,76,210,1919-07-10,"Washington & Jefferson College, Pitt",1947,1947,1946-11-02T00:00:00Z,FALSE
Frankie Baumholtz,baumhfr01,G,70,170,1918-10-07,Ohio University,1947,1947,1946-11-03T00:00:00Z,FALSE
Ned Endress,endrene01,F-G,74,200,1918-03-02,University of Akron,1947,1947,1946-11-03T00:00:00Z,FALSE
Kleggie Hermsen,hermskl01,C-F,81,225,1923-03-12,Minnesota,1947,1953,1946-11-03T00:00:00Z,FALSE
Leo Mogus,mogusle01,F-C,76,190,1921-04-13,Youngstown State University,1947,1951,1946-11-03T00:00:00Z,FALSE
Mel Riebe,riebeme01,G-F,71,180,1916-07-12,College of Wooster,1947,1949,1946-11-03T00:00:00Z,FALSE
Irv Rothenberg,rotheir01,C,79,215,1921-12-31,Long Island University,1947,1949,1946-11-03T00:00:00Z,FALSE
Kenny Sailors,sailoke01,G,70,175,1921-01-14,Wyoming,1947,1951,1946-11-03T00:00:00Z,FALSE
Ben Scharnus,scharbe01,F,74,173,1917-12-11,Seton Hall,1947,1949,1946-11-03T00:00:00Z,FALSE
Dick Schulz,schuldi01,F-G,74,192,1917-01-03,Wisconsin,1947,1950,1946-11-03T00:00:00Z,FALSE
Nick Shaback,shabani01,G,71,180,1918-09-10,NA,1947,1947,1946-11-03T00:00:00Z,FALSE
Gene Gallette,gillege01,F,74,205,1919-02-22,NA,1947,1947,1946-11-04T00:00:00Z,FALSE
Buddy O'Grady,ogradbu01,G,71,160,1920-01-19,Georgetown,1947,1949,1946-11-04T00:00:00Z,FALSE
Harold Johnson,johnsha01,C,78,240,1920-01-30,Indiana State University,1947,1947,1946-11-05T00:00:00Z,FALSE
Tom King,kingto01,G,72,165,1924-03-09,Michigan,1947,1947,1946-11-05T00:00:00Z,FALSE
Harold Kottman,kottmha01,C,80,220,1922-08-22,Culver-Stockton College,1947,1947,1946-11-05T00:00:00Z,FALSE
George Pearcy,pearcge01,G,73,165,1919-07-02,Indiana State University,1947,1947,1946-11-05T00:00:00Z,FALSE
Hank Beenders,beendha01,C-F,78,185,1916-06-02,Long Island University,1947,1949,1946-11-07T00:00:00Z,FALSE
Howie Dallmar,dallmho01,F,76,200,1922-05-24,Stanford,1947,1949,1946-11-07T00:00:00Z,FALSE
Jerry Fleishman,fleisje01,G-F,74,190,1922-02-14,NYU,1947,1953,1946-11-07T00:00:00Z,FALSE
Joe Fulks,fulksjo01,F-C,77,190,1921-10-26,"Millsaps College, Murray State",1947,1954,1946-11-07T00:00:00Z,TRUE
Matt Guokas,guokama01,F,75,195,1915-11-11,Saint Joseph's,1947,1947,1946-11-07T00:00:00Z,FALSE
Art Hillhouse,hillhar01,C,79,220,1916-06-12,Long Island University,1947,1948,1946-11-07T00:00:00Z,FALSE
John Murphy,murphjo01,F,74,175,1924-09-13,NA,1947,1947,1946-11-07T00:00:00Z,FALSE
Angelo Musi,musian01,G,69,145,1918-07-25,Temple,1947,1949,1946-11-07T00:00:00Z,FALSE
Petey Rosenberg,rosenpe01,G,70,165,1918-04-07,Saint Joseph's,1947,1947,1946-11-07T00:00:00Z,FALSE
George Senesky,senesge01,G,74,179,1922-04-04,Saint Joseph's,1947,1954,1946-11-07T00:00:00Z,FALSE
Fred Sheffield,shefffr01,F,74,165,1923-11-05,Utah,1947,1947,1946-11-07T00:00:00Z,FALSE
Armand Cure,curear01,F,72,198,1919-08-01,Rhode Island,1947,1947,1946-11-09T00:00:00Z,FALSE
Red Dehnert,dehnere01,F,75,175,1924-01-24,Columbia University,1947,1947,1946-11-09T00:00:00Z,FALSE
Ken Keller,kelleke01,G,73,180,1922-08-16,St. John's,1947,1947,1946-11-09T00:00:00Z,FALSE
Lou Spicer,spicelo01,F,74,195,1922-11-12,Syracuse,1947,1947,1946-11-09T00:00:00Z,FALSE
Bob Faught,faughbo01,F,77,185,1921-09-02,Notre Dame,1947,1947,1946-11-10T00:00:00Z,FALSE
Al Lujack,lujacal01,F,75,220,1920-10-05,Georgetown,1947,1947,1946-11-14T00:00:00Z,FALSE
Gorham Getchell,getchgo01,C,76,205,1920-08-14,Temple,1947,1947,1946-11-16T00:00:00Z,FALSE
Buck Sydnor,sydnobu01,G,70,175,1921-09-19,Western Kentucky,1947,1947,1946-11-16T00:00:00Z,FALSE
Bob Cluggish,cluggbo01,C,82,235,1917-09-18,Kentucky,1947,1947,1946-11-18T00:00:00Z,FALSE
Chet Carlisle,carlich01,F-C,77,195,1916-11-02,California,1947,1947,1946-11-20T00:00:00Z,FALSE
Gino Sovran,sovragi01,F-G,74,175,1924-12-17,Detroit Mercy,1947,1947,1946-11-22T00:00:00Z,FALSE
Joe Fabel,fabeljo01,F-G,73,190,1917-05-15,Pitt,1947,1947,1946-11-24T00:00:00Z,FALSE
Coulby Gunther,gunthco01,F,76,190,1923-02-05,"St. John's, Boston College",1947,1949,1946-11-24T00:00:00Z,FALSE
Bob Rensberger,rensbro01,F,74,170,1921-03-07,Notre Dame,1947,1947,1946-11-24T00:00:00Z,FALSE
Jerry Rullo,rulloje01,G,70,165,1923-06-23,Temple,1947,1950,1946-12-03T00:00:00Z,FALSE
Marty Passaglia,passama01,G,73,170,1919-04-22,Santa Clara,1947,1949,1946-12-04T00:00:00Z,FALSE
Don Eliason,eliasdo01,F,74,210,1918-07-24,Hamline University,1947,1947,1946-12-07T00:00:00Z,FALSE
Hal Crisler,crislha01,F,75,215,1923-12-31,Iowa State,1947,1947,1946-12-12T00:00:00Z,FALSE
Jerry Kelly,kellyje01,F,74,172,1918-06-14,NA,1947,1948,1946-12-12T00:00:00Z,FALSE
Bud Palmer,palmebu01,F-C,76,180,1921-09-14,Princeton,1947,1949,1946-12-18T00:00:00Z,FALSE
Jack Garfinkel,garfija01,G,72,190,1918-06-13,St. John's,1947,1949,1946-12-22T00:00:00Z,FALSE
Roger Jorgensen,jorgero01,C-F,77,200,1920-09-02,Ohio State,1947,1947,1946-12-23T00:00:00Z,FALSE
George Pastushok,pastuge01,G,73,195,1922-07-13,St. John's,1947,1947,1946-12-26T00:00:00Z,FALSE
Ed Kasid,kasided01,G,71,185,1923-08-13,NA,1947,1947,1946-12-27T00:00:00Z,FALSE
Pete Lalich,lalicpe01,F,74,190,1920-06-23,Ohio University,1947,1947,1946-12-31T00:00:00Z,FALSE
Garland O'Shields,oshiega01,G-F,73,195,1921-05-23,Tennessee,1947,1947,1947-01-08T00:00:00Z,FALSE
Howie McCarty,mccarho01,F-G,74,190,1919-04-15,Wayne State University,1947,1947,1947-01-11T00:00:00Z,FALSE
Ralph Siewert,siewera01,C,85,230,1923-12-31,Dakota Wesleyan University,1947,1947,1947-01-12T00:00:00Z,FALSE
Bob Gantt,ganttbo01,F-C,76,205,1922-06-22,Duke,1947,1947,1947-01-29T00:00:00Z,FALSE
Frank Mangiapane,mangifr01,G,70,195,1925-08-05,NYU,1947,1947,1947-01-29T00:00:00Z,FALSE
Hank Lefkowitz,lefkoha01,F,74,190,1923-08-31,Case Western Reserve University,1947,1947,1947-02-02T00:00:00Z,FALSE
Art Stolkey,stolkar01,G,73,180,1920-10-23,Detroit Mercy,1947,1947,1947-02-02T00:00:00Z,FALSE
Frido Frey,freyfr01,F,74,195,1921-10-26,Long Island University,1947,1947,1947-02-05T00:00:00Z,FALSE
Noble Jorgensen,jorgeno01,C,81,228,1925-05-18,Iowa,1947,1953,1947-02-06T00:00:00Z,FALSE
Woody Grimshaw,grimswo01,G,73,185,1919-09-24,Brown University,1947,1947,1947-02-08T00:00:00Z,FALSE
Lee Knorek,knorele01,C,79,215,1921-07-15,Detroit Mercy,1947,1950,1947-02-08T00:00:00Z,FALSE
Belus Smawley,smawlbe01,G-F,73,195,1918-03-20,Appalachian State University,1947,1952,1947-02-08T00:00:00Z,FALSE
Butch van Breda Kolff,vanbrbu01,G-F,75,185,1922-10-28,NYU,1947,1950,1947-02-08T00:00:00Z,FALSE
Leon Brown,brownle01,F,75,190,1919-10-12,Wyoming,1947,1947,1947-02-13T00:00:00Z,FALSE
Elmore Morgenthaler,morgeel01,C,81,230,1922-08-03,"New Mexico Tech, Boston College",1947,1949,1947-02-15T00:00:00Z,FALSE
Aud Brindley,brindau01,F,76,175,1923-12-31,Dartmouth College,1947,1947,1947-02-19T00:00:00Z,FALSE
Ken Corley,corleke01,C,77,210,1920-05-10,University of Central Oklahoma,1947,1947,NA,FALSE
Mike Bloom,bloommi01,F-C,78,190,1915-01-14,Temple,1948,1949,1947-11-12T00:00:00Z,FALSE
Herm Fuetsch,fuetshe01,G,72,170,1918-07-06,NA,1948,1948,1947-11-12T00:00:00Z,FALSE
Elmer Gainer,gaineel01,F-C,78,195,1918-11-22,DePaul,1948,1950,1947-11-12T00:00:00Z,FALSE
Paul Hoffman,hoffmpa01,G-F,74,195,1925-05-05,Purdue,1948,1955,1947-11-12T00:00:00Z,FALSE
Buddy Jeannette,jeannbu01,G,71,175,1917-09-15,Washington & Jefferson College,1948,1950,1947-11-12T00:00:00Z,TRUE
Carl Meinhold,meinhca01,G-F,74,185,1926-03-29,Long Island University,1948,1949,1947-11-12T00:00:00Z,FALSE
Dick O'Keefe,okeefdi01,G-F,74,185,1923-09-29,Santa Clara,1948,1951,1947-11-12T00:00:00Z,FALSE
Chick Reiser,reisech01,G-F,71,165,1914-12-17,NYU,1948,1950,1947-11-12T00:00:00Z,FALSE
Jack Tingle,tinglja01,F,76,205,1924-12-30,Kentucky,1948,1949,1947-11-12T00:00:00Z,FALSE
Carl Braun,braunca01,G-F,77,180,1927-09-25,Colgate,1948,1962,1947-11-13T00:00:00Z,TRUE
Stan Brown,brownst01,F,75,200,1929-06-27,NA,1948,1952,1947-11-13T00:00:00Z,FALSE
Chink Crossin,crossch01,G,73,165,1923-07-04,Penn,1948,1950,1947-11-13T00:00:00Z,FALSE
Bulbs Ehlers,ehlerbu01,F-G,75,198,1923-03-10,Purdue,1948,1949,1947-11-13T00:00:00Z,FALSE
Dick Holub,holubdi01,C,78,205,1921-10-29,Long Island University,1948,1948,1947-11-13T00:00:00Z,FALSE
Paul Huston,hustopa01,F,75,175,1925-06-02,Ohio State,1948,1948,1947-11-13T00:00:00Z,FALSE
Johnny Jorgensen,jorgejo01,G-F,74,185,1921-12-28,DePaul,1948,1949,1947-11-13T00:00:00Z,FALSE
Ray Kuka,kukara01,F,75,200,1922-02-17,Notre Dame,1948,1949,1947-11-13T00:00:00Z,FALSE
Saul Mariaschin,mariasa01,G,71,165,1924-09-01,Harvard University,1948,1948,1947-11-13T00:00:00Z,FALSE
Chet McNabb,mcnabch01,F,74,200,1920-09-19,Arizona State,1948,1948,1947-11-13T00:00:00Z,FALSE
Wat Misaka,misakwa01,G,67,150,1923-12-21,"Weber State, Utah",1948,1948,1947-11-13T00:00:00Z,FALSE
Paul Noel,noelpa01,F,76,185,1924-08-17,Kentucky,1948,1952,1947-11-13T00:00:00Z,FALSE
Andy Phillip,phillan01,G-F,74,195,1922-03-07,Illinois,1948,1958,1947-11-13T00:00:00Z,TRUE
Red Rocha,rochare01,C-F,81,185,1923-09-18,Oregon State,1948,1957,1947-11-13T00:00:00Z,FALSE
Ben Schadler,schadbe01,F,72,185,1924-03-09,Northwestern,1948,1948,1947-11-13T00:00:00Z,FALSE
Gene Stump,stumpge01,F-G,74,185,1925-08-09,DePaul,1948,1950,1947-11-13T00:00:00Z,FALSE
Jack Toomay,toomaja01,C-F,78,215,1922-08-09,University of the Pacific,1948,1950,1947-11-13T00:00:00Z,FALSE
Gene Vance,vancege01,G-F,75,195,1923-02-25,Illinois,1948,1952,1947-11-13T00:00:00Z,FALSE
Jack Hewson,hewsoja01,F-C,78,195,1924-09-07,Temple,1948,1948,1947-11-20T00:00:00Z,FALSE
Paul Seymour,seymopa01,G-F,73,180,1928-01-30,Toledo,1948,1960,1947-11-21T00:00:00Z,FALSE
Jack Rocker,rockeja01,C-F,77,185,1922-08-12,California,1948,1948,1947-12-15T00:00:00Z,FALSE
Lee Robbins,robbile01,F,75,175,1922-02-11,Colorado,1948,1949,1947-12-20T00:00:00Z,FALSE
Bob Hubbard,hubbabo01,C-F,78,215,1922-12-27,Springfield College,1948,1949,1948-01-03T00:00:00Z,FALSE
Bob O'Brien,obriebo01,F,76,190,1927-01-26,Pepperdine,1948,1949,1948-01-09T00:00:00Z,FALSE
Johnny Ezersky,ezersjo01,F-G,75,175,1922-03-21,Rhode Island,1948,1950,1948-01-10T00:00:00Z,FALSE
Sid Tanenbaum,tanensi01,G,72,160,1925-10-08,NYU,1948,1949,1948-01-17T00:00:00Z,FALSE
Nat Hickey,hickena01,G-F,71,180,1902-01-30,NA,1948,1948,1948-01-27T00:00:00Z,FALSE
Bill Downey,downebi01,C,78,210,1923-11-11,Marquette,1948,1948,1948-01-28T00:00:00Z,FALSE
Mel Thurston,thursme01,G,72,175,1919-01-16,Canisius,1948,1948,1948-02-07T00:00:00Z,FALSE
Gene Rock,rockge01,G,69,155,1921-11-04,USC,1948,1948,1948-02-11T00:00:00Z,FALSE
Red Klotz,klotzhe01,G,67,150,1920-10-21,Villanova,1948,1948,1948-02-12T00:00:00Z,FALSE
Charlie Black,blackch01,F-C,77,200,1921-06-15,Kansas,1949,1952,1948-11-01T00:00:00Z,FALSE
Price Brookfield,brookpr01,F-G,76,185,1920-05-11,West Texas A&M University,1949,1950,1948-11-01T00:00:00Z,FALSE
Lonnie Eggleston,egglelo01,G,72,170,1918-06-08,Oklahoma State,1949,1949,1948-11-01T00:00:00Z,FALSE
George Glamack,glamage01,C-F,78,225,1918-06-07,UNC,1949,1949,1948-11-01T00:00:00Z,FALSE
Bruce Hale,halebr01,G-F,73,170,1918-08-30,Santa Clara,1949,1951,1948-11-01T00:00:00Z,FALSE
Andy Kostecka,kostean01,F,75,203,1921-02-10,Georgetown,1949,1949,1948-11-01T00:00:00Z,FALSE
Freddie Lewis,lewisfr01,F-G,74,195,1921-01-06,Eastern Kentucky University,1949,1950,1948-11-01T00:00:00Z,FALSE
Ray Lumpp,lumppra01,G,73,178,1923-07-11,NYU,1949,1953,1948-11-01T00:00:00Z,FALSE
Fritz Nagy,nagyfr01,G-F,74,185,1924-01-03,University of Akron,1949,1949,1948-11-01T00:00:00Z,FALSE
Easy Parham,parhaea01,F-G,75,200,1921-12-27,Texas Wesleyan University,1949,1951,1948-11-01T00:00:00Z,FALSE
Hal Tidrick,tidriha01,F-G,73,190,1915-04-04,Washington & Jefferson College,1949,1949,1948-11-01T00:00:00Z,FALSE
Dick Wehr,wehrdi01,F,76,180,1925-12-09,Rice University,1949,1949,1948-11-01T00:00:00Z,FALSE
D.C. Wilcutt,wilcudc01,G,74,165,1923-03-25,Saint Louis,1949,1950,1948-11-01T00:00:00Z,FALSE
Curly Armstrong,armstcu01,G-F,71,170,1918-11-01,Indiana,1949,1951,1948-11-03T00:00:00Z,FALSE
Phil Farbman,farbmph01,F,73,185,1924-04-03,City College of New York,1949,1949,1948-11-03T00:00:00Z,FALSE
Ralph Hamilton,hamilra01,G-F,73,188,1921-06-10,Indiana,1949,1949,1948-11-03T00:00:00Z,FALSE
Bob Kinney,kinnebo01,C-F,78,215,1920-09-16,Rice University,1949,1950,1948-11-03T00:00:00Z,FALSE
Leo Klier,klierle01,F-G,74,170,1923-05-21,Notre Dame,1949,1950,1948-11-03T00:00:00Z,FALSE
Mel McGaha,mcgahme01,G,73,190,1926-09-26,Arkansas,1949,1949,1948-11-03T00:00:00Z,FALSE
Richie Niemiera,niemiri01,G-F,73,165,1921-05-26,Notre Dame,1949,1950,1948-11-03T00:00:00Z,FALSE
Jake Pelkington,pelkija01,C-F,78,220,1916-01-03,Manhattan University,1949,1949,1948-11-03T00:00:00Z,FALSE
Roy Pugh,pughro01,C-F,78,210,1922-10-16,SMU,1949,1949,1948-11-03T00:00:00Z,FALSE
Tex Ritter,rittete01,G-F,74,185,1924-02-26,Eastern Kentucky University,1949,1951,1948-11-03T00:00:00Z,FALSE
Jack Smiley,smileja01,F-G,75,190,1922-12-22,Illinois,1949,1950,1948-11-03T00:00:00Z,FALSE
Bob Tough,toughbo01,G-F,72,185,1920-08-28,St. John's,1949,1950,1948-11-03T00:00:00Z,FALSE
Blackie Towery,towerbl01,F-C,76,210,1920-06-20,Western Kentucky,1949,1950,1948-11-03T00:00:00Z,FALSE
Dick Triptow,triptdi01,G-F,72,170,1922-11-03,DePaul,1949,1950,1948-11-03T00:00:00Z,FALSE
Matt Zunic,zunicma01,G-F,75,195,1919-12-19,George Washington,1949,1949,1948-11-03T00:00:00Z,FALSE
Johnny Bach,bachjo01,F-G,74,180,1924-07-10,Fordham,1949,1949,1948-11-04T00:00:00Z,FALSE
Gale Bishop,bishoga01,F,75,195,1922-06-04,Washington State,1949,1949,1948-11-04T00:00:00Z,FALSE
